Artist,Song,Lyrics
The Clash,Rock The Casbah,"[Verse 1]
Now the king told the boogie men
You have to let that raga drop
The oil down the desert way
Has been shaken to the top
The Sheik he drove his Cadillac
He went a' cruisin' down the ville
The muezzin was a'standing
On the radiator grill

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 2]
By order of the prophet
We ban that boogie sound
Degenerate the faithful
With that crazy Casbah sound
But the Bedouin they brought out
The electric camel drum
The local guitar picker
Got his guitar pickin' thumb
As soon as the Sharif
Cleared the square
They began to wail

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 3]
Now over at the temple
Oh! They really pack 'em in
The in crowd say it's cool
To dig this chanting thing
But as the wind changed direction
And the temple band took five
The crowd caught a whiff
Of that crazy Casbah jive

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Verse 4]
The king called up his jet fighters
He said ""You better earn your pay
Drop your bombs between the minarets
Down the Casbah way""
As soon as the Sharif was
Chauffeured outta there
The jet pilots tuned to
The cockpit radio blare
As soon as the Sharif was
Out of their hair
The jet pilots wailed

[Chorus]
Shareef don't like it
Rockin' the Casbah
Rock the Casbah
Shareef don't like it
Rockin' the Casbah
Rock the Casbah

[Outro]
(Shareef don't like it)
Thinks its not kosher
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
Fundamentally cant take it
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
You know he really hates it
(Rockin' the Casbah
Rock the Casbah)
(Shareef don't like it)
Really, really hates it"
The Smiths,Panic,"[Verse 1]
Panic on the streets of London
Panic on the streets of Birmingham
I wonder to myself...
Could life ever be sane again?
The Leeds side-streets that you slip down
I wonder to myself...

[Verse 2]
Hopes may rise on the Grasmere
But Honey Pie, you're not safe here
So you run down to the safety of the town
But there's panic on the streets of Carlisle
Dublin, Dundee, Humberside
I wonder to myself...

[Chorus]
Burn down the disco
Hang the blessed DJ
Because the music that they constantly play
It says nothing to me about my life
Hang the blessed DJ
Because the music they constantly play

[Verse 3]
On the Leeds side-streets that you slip down
Provincial towns you jog 'round

[Outro]
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ
Hang the DJ, hang the DJ, hang the DJ
Hang the DJ, hang the DJ"
The Specials,Ghost Town,"

This town, is coming like a ghost town
All the clubs have been closed down
This place, is coming like a ghost town
Bands won't play no more
Too much fighting on the dance floor

Do you remember the good old days before the ghost town?
We danced and sang, and the music played in a de boomtown

This town, is coming like a ghost town
Why must the youth fight against themselves?
Government leaving the youth on the shelf
This place, is coming like a ghost town
No job to be found in this country
Can't go on no more
The people getting angry

This town, is coming like a ghost town
This town, is coming like a ghost town
This town, is coming like a ghost town
This town, is coming like a ghost town

"
U2,Sunday Bloody Sunday,"[Instrumental Intro]

[Verse 1]
I can't believe the news today
Oh, I can't close my eyes and make it go away
How long, how long must we sing this song?
How long? How long?
'Cause tonight, we can be as one
Tonight

[Pre-Chorus]
Broken bottles under children's feet
Bodies strewn across the dead end street
But I won't heed the battle call
It puts my back up
Puts my back up against the wall

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Alright, let's go!

[Verse 2]
And the battle's just begun
There's many lost, but tell me, who has won?
The trench is dug within our hearts
And mothers, children, brothers, sisters
Torn apart

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Bridge]
How long
How long must we sing this song?
How long, how long?
'Cause tonight, we can be as one
Tonight

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday
Come get some!

[Bridge]
Wipe the tears from your eyes
Wipe your tears away
Oh, wipe your tears away
Oh, wipe your tears away
Oh, wipe your bloodshot eyes

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday

[Verse 3]
And it's true, we are immune
When fact is fiction and TV reality
And today, the millions cry
We eat and drink while tomorrow, they die
The real battle just begun
To claim the victory Jesus won
On

[Chorus]
Sunday, Bloody Sunday
Sunday, Bloody Sunday"
Gil Scott-Heron,The Revolution Will Not Be Televised,"You will not be able to stay home, brother
You will not be able to plug in, turn on and cop out
You will not be able to lose yourself on skag and skip out for beer during commercials
Because the revolution will not be televised

The revolution will not be televised
The revolution will not be brought to you by Xerox in 4 parts without commercial interruptions
The revolution will not show you pictures of Nixon blowing a bugle and leading a charge by John Mitchell, General Abrams and Spiro Agnew to eat hog maws confiscated from a Harlem sanctuary
The revolution will not be televised

The revolution will not be brought to you by the Schaefer Award Theatre and will not star Natalie Wood and Steve McQueen or Bullwinkle and Julia
The revolution will not give your mouth sex appeal
The revolution will not get rid of the nubs
The revolution will not make you look five pounds thinner because the revolution will not be televised, Brother

There will be no pictures of you and Willie May pushing that shopping cart down the block on the dead run, or trying to slide that color TV into a stolen ambulance
NBC will not be able to predict the winner at 8:32 on reports from 29 districts
The revolution will not be televised

There will be no pictures of pigs shooting down brothers on the instant replay
There will be no pictures of pigs shooting down brothers on the instant replay
There will be no pictures of Whitney Young being run out of Harlem on a rail with a brand new process
There will be no slow motion or still life of Roy Wilkens strolling through Watts in a red, black and green liberation jumpsuit that he had been saving for just the proper occasion

Green Acres, The Beverly Hillbillies, and Hooterville Junction will no longer be so damned relevant, and women will not care if Dick finally screwed Jane on Search for Tomorrow because black people will be in the street looking for a brighter day
The revolution will not be televised

There will be no highlights on the eleven o'clock news, and no pictures of hairy armed women liberationists and Jackie Onassis blowing her nose
The theme song will not be written by Jim Webb or Francis Scott Key, nor sung by Glen Campbell, Tom Jones, Johnny Cash, Englebert Humperdink, or the Rare Earth
The revolution will not be televised

The revolution will not be right back after a message about a white tornado, white lightning, or white people
You will not have to worry about a dove in your bedroom, the tiger in your tank, or the giant in your toilet bowl
The revolution will not go better with Coke
The revolution will not fight germs that may cause bad breath
The revolution will put you in the driver's seat

The revolution will not be televised, will not be televised, will not be televised, will not be televised
The revolution will be no re-run, brothers
The revolution will be live"
Billy Bragg,Between The Wars,"[verse 1]
I was a miner
I was a docker
I was a railway man
Between the wars

[verse 2]
I raised a family
In time of austerity
With sweat at the foundry
Between the wars

[verse 3]
I paid the union
And as times got harder
I looked to the government
To help the working man

[verse 4]
But they brought prosperity
Down at the armory
We're arming for peace, me boys
Between the wars

[verse 5]
I kept the faith and
I kept voting
Not for the iron fist
But for the helping hand

[verse 6]
For theirs is a land
With a wall around it;
And mine is a faith
In my fellow man

[verse 7]
Theirs is a land of
Hope and glory;
Mine is the green field and
The factory floor

[verse 8]
Theirs are the skies all
Dark with bombers;
And mine is the peace we knew
Between the wars

[verse 9]
Call up the craftsmen
Bring me the draftsmen
Build me a path
From cradle to grave

[verse 10]
And I'll give my consent
To any government
That does not deny a man
A living wage

[verse 11]
Go find the young men
Never to fight again
Bring up the banners from the
Days gone by

[verse 12]
Sweet moderation
Heart of this nation:
Desert us not
We are between the wars"
Bruce Hornsby,The Way It Is,"[Verse 1]
Standin' in line, marking time
Waiting for the welfare dime
'Cause they can't buy a job
The man in the silk suit hurries by
As he catches the poor old lady's eyes
Just for fun, he says ""Get a job""

[Chorus]
That's just the way it is
Some things'll never change
That's just the way it is
Ha, but don't you believe them

[Verse 2]
Said, ""Hey little boy, you can't go where the others go
'Cause you don't look like they do""
Said, ""Hey old man, how can you stand to think that way?
Did you really think about it before you made the rules?""
He said

[Chorus]
That's just the way it is
Some things'll never change
That's just the way it is
Ha, but don't you believe them

[Instrumental Solo]

[Chorus]
That's just the way it is
That's just the way it is

[Verse 3]
Well, they passed a law in '64
To give those who ain't got, a little more
But it only goes so far
'Cause the law don't change another's mind
When all it sees at the hiring time
Is the line on the color bar
But who knows

[Chorus]
That's just the way it is
Some things'll never change
That's just the way it is
That's just the way it is, it is, it is, it is"
The Smiths,Meat Is Murder,"[Intro]

[Verse 1]
Heifer whines could be human cries
Closer comes the screaming knife
This beautiful creature must die
This beautiful creature must die
A death for no reason
And death for no reason is murder
And the flesh you so fancifully fry
Is not succulent, tasty or kind
It's death for no reason
And death for no reason is murder
And the calf that you carve with a smile
Is murder
And the turkey you festively slice
Is murder
Do you know how animals die?

[Verse 2]
Kitchen aromas aren't very homely
It's not comforting, cheery or kind
It's sizzling blood and the unholy stench of murder
It's not natural, normal or kind
The flesh you so fancifully fry
The meat in your mouth
As you savour the flavour of murder
No, no, no, it's murder
No, no, no, it's murder
Oh... and who hears when animals cry?


[Outro]"
Bruce Springsteen,Born In The USA,"[Verse 1]
Born down in a dead man's town
The first kick I took was when I hit the ground
You end up like a dog that's been beat too much
'Til you spend half your life just coverin' up

[Chorus]
Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
Born in the U.S.A

[Verse 2]
Got in a little hometown jam
So they put a rifle in my hand
Sent me off to a foreign land
To go and kill the yellow man

[Chorus]
Born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
I was born in the U.S.A
Born in the U.S.A

[Verse 3]
Come back home to the refinery
Hiring man says ""Son if it was up to me""
Went down to see my V.A. man
He said ""Son, don't you understand""

[Verse 4]
I had a brother at Khe Sanh fighting off the Viet Cong
They're still there, he's all gone
He had a woman he loved in Saigon
I got a picture of him in her arms now

[Verse 5]
Down in the shadow of the penitentiary
Out by the gas fires of the refinery
I'm ten years burning down the road
Nowhere to run ain't got nowhere to go

[Chorus]
Born in the U.S.A
I was born in the U.S.A
Born in the U.S.A
I'm a long gone Daddy in the U.S.A
Born in the U.S.A
Born in the U.S.A
Born in the U.S.A
I'm a cool rocking Daddy in the U.S.A"
Marvin Gaye,What's Goin' On,"[Intro]
Mother, mother
There's too many of you crying
Brother, brother, brother
There's far too many of you dying
You know we've got to find a way
To bring some loving here today - Ya

[Verse 1]
Father, father
We don't need to escalate
You see, war is not the answer
For only love can conquer hate
You know we've got to find a way
To bring some loving here today

[Chorus]
Picket lines and picket signs
Don't punish me with brutality
Talk to me, so you can see
Oh, what's going on
What's going on
Ya, what's going on
Ah, what's going on

[Bridge]
In the mean time
Right on, baby
Right on
Right on


[Verse 2]
Mother, Mother everybody thinks we're wrong
Oh, but who are they to judge us
Simply because our hair is long
Oh, you know we've got to find a way
To bring some understanding here today
Oh

[Chorus]
Picket lines and picket signs
Don't punish me with brutality
Talk to me
So you can see
What's going on
Ya, what's going on
Tell me what's going on
I'll tell you what's going on - Uh
Right on baby
Right on baby"
