name,artists,danceability,energy,loudness,speechiness,valence,tempo,streams
goosebumps,Travis Scott,0.841,0.728,-3.37,0.0484,0.43,130.049,191214342
Young Dumb & Broke,Khalid,0.7979999999999999,0.539,-6.351,0.0421,0.394,136.94899999999998,144582376
There for You,Martin Garrix,0.611,0.644,-7.607,0.0553,0.13,105.969,37265755
Cold,Maroon 5,0.6970000000000001,0.716,-6.2879999999999985,0.113,0.506,99.905,48699898
Silence,Marshmello,0.52,0.7609999999999999,-3.093,0.0853,0.28600000000000003,141.971,95119642
Too Good At Goodbyes,Sam Smith,0.698,0.375,-8.279,0.0491,0.534,91.92,39727157
Just Hold On,Steve Aoki,0.647,0.932,-3.515,0.0824,0.374,114.991,28228052
Look What You Made Me Do,Taylor Swift,0.773,0.68,-6.377999999999999,0.141,0.4970000000000001,128.062,81071863
Glorious (feat. Skylar Grey),Macklemore,0.731,0.794,-5.126,0.0522,0.35600000000000004,139.994,62915595
Starving,Hailee Steinfeld,0.721,0.626,-4.2,0.123,0.5579999999999999,99.914,63880541
Reggaetón Lento (Bailemos),CNCO,0.7609999999999999,0.838,-3.073,0.0502,0.71,93.974,0
Weak,AJR,0.6729999999999999,0.637,-4.518,0.0429,0.6779999999999999,123.98,66453017
Side To Side,Ariana Grande,0.648,0.738,-5.882999999999999,0.247,0.603,159.145,49408712
Otra Vez (feat. J Balvin),Zion & Lennox,0.8320000000000001,0.772,-5.4289999999999985,0.1,0.7040000000000001,96.016,0
I Like Me Better,Lauv,0.752,0.505,-7.621,0.253,0.419,91.97,70213950
In the Name of Love,Martin Garrix,0.49,0.485,-6.237,0.0406,0.196,133.889,41664029
Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.7979999999999999,-5.092,0.0432,0.501,92.943,26832871
Malibu,Miley Cyrus,0.573,0.7809999999999999,-6.4060000000000015,0.0555,0.343,139.934,56135441
All Night,The Vamps,0.544,0.809,-5.098,0.0363,0.448,145.017,31516423
Hear Me Now,Alok,0.789,0.442,-7.8439999999999985,0.0421,0.45,121.971,10451498
Your Song,Rita Ora,0.855,0.624,-4.093,0.0488,0.962,117.959,27224161
Ahora Dice,Chris Jeday,0.708,0.693,-5.516,0.138,0.4270000000000001,143.965,3369909
Friends (with BloodPop®),Justin Bieber,0.7440000000000001,0.7390000000000001,-5.35,0.0387,0.649,104.99,45370354
Bank Account,21 Savage,0.884,0.34600000000000003,-8.228,0.35100000000000003,0.376,75.016,162172521
Bad Things (with Camila Cabello),Machine Gun Kelly,0.675,0.69,-4.761,0.132,0.272,137.817,71203903
Don't Let Me Down,The Chainsmokers,0.542,0.8590000000000001,-5.651,0.197,0.403,159.797,52528483
Body Like A Back Road,Sam Hunt,0.731,0.469,-7.226,0.0326,0.631,98.963,165941924
Now Or Never,Halsey,0.6579999999999999,0.588,-4.902,0.0367,0.434,110.075,95563100
Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.4370000000000001,-6.593,0.039,0.0967,180.043,51933773
Black Beatles,Rae Sremmurd,0.794,0.632,-6.162999999999999,0.0649,0.355,145.92600000000002,84209292
Caroline,Aminé,0.945,0.39399999999999996,-8.571,0.49200000000000005,0.743,120.05799999999999,121030056
Broccoli (feat. Lil Yachty),DRAM,0.8859999999999999,0.525,-7.39,0.131,0.708,145.99,114777774
Deja Vu,J. Cole,0.653,0.409,-11.446,0.42100000000000004,0.187,174.324,51641823
X (feat. Future),21 Savage,0.835,0.413,-9.81,0.396,0.111,149.004,103276204
Chill Bill,Rob $tone,0.8859999999999999,0.42700000000000005,-10.027999999999999,0.145,0.23,108.03399999999999,63251964
Party Monster,The Weeknd,0.5720000000000001,0.631,-8.389,0.10400000000000001,0.21899999999999997,77.51899999999999,57722535
No Heart,21 Savage,0.9059999999999999,0.444,-8.692,0.384,0.6779999999999999,140.063,73108995
Sneakin’,Drake,0.804,0.56,-6.682,0.185,0.272,85.023,35171176
Heathens,Twenty One Pilots,0.732,0.396,-9.347999999999999,0.0286,0.5479999999999999,90.024,51720987
OOOUUU,Young M.A,0.635,0.847,-3.1519999999999997,0.447,0.568,166.072,19496242
All We Know,The Chainsmokers,0.662,0.586,-8.821,0.0307,0.29600000000000004,90.0,22397580
You Was Right,Lil Uzi Vert,0.843,0.359,-7.417000000000001,0.461,0.156,81.98700000000001,76287527
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,0.652,0.795,-5.192,0.174,0.7879999999999999,135.018,94631869
Scars To Your Beautiful,Alessia Cara,0.573,0.7390000000000001,-5.74,0.129,0.451,97.085,30775084
Mercy,Shawn Mendes,0.469,0.68,-4.921,0.11699999999999999,0.374,147.734,34241912
Love Me Now,John Legend,0.488,0.762,-3.842,0.0865,0.7090000000000001,123.889,22175741
Neighbors,J. Cole,0.894,0.284,-13.002,0.33,0.413,138.944,61226359
Too Good,Drake,0.804,0.648,-7.805,0.11699999999999999,0.392,117.98299999999999,30342724
Swang,Rae Sremmurd,0.6809999999999999,0.314,-9.318999999999999,0.0581,0.166,139.99200000000002,128202729
Controlla,Drake,0.607,0.47600000000000003,-11.075999999999999,0.249,0.34700000000000003,122.976,39728697
Six Feet Under,The Weeknd,0.772,0.504,-8.219,0.0761,0.244,140.035,21981412
pick up the phone,Young Thug,0.711,0.7390000000000001,-3.804,0.129,0.43,136.91899999999998,81391762
Needed Me,Rihanna,0.6709999999999999,0.314,-8.091000000000001,0.244,0.29600000000000004,110.898,37104977
Treat You Better,Shawn Mendes,0.624,0.8029999999999999,-4.105,0.24600000000000002,0.821,166.018,22699507
Sidewalks,The Weeknd,0.542,0.721,-5.136,0.0625,0.623,149.83100000000002,19321572
Immortal,J. Cole,0.713,0.419,-10.668,0.35600000000000004,0.253,91.634,14838108
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,0.8029999999999999,0.585,-5.861000000000001,0.0432,0.593,105.01700000000001,20665023
All Time Low,Jon Bellion,0.617,0.5670000000000001,-4.188,0.0828,0.505,90.24600000000001,50606492
Panda,Desiigner,0.5760000000000001,0.7659999999999999,-4.9430000000000005,0.449,0.23600000000000002,144.833,39885309
Some Kind Of Drug,G-Eazy,0.586,0.525,-8.968,0.498,0.491,126.51,30529556
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,0.667,0.83,-5.715,0.0749,0.701,113.03,38473335
Work,Rihanna,0.725,0.534,-6.2379999999999995,0.0946,0.5579999999999999,91.97399999999999,15294978
Now and Later,Sage The Gemini,0.7809999999999999,0.57,-5.874,0.188,0.858,107.059,19446191
Low Life,Future,0.722,0.331,-7.789,0.0725,0.102,143.974,63008235
Cheap Thrills,Sia,0.628,0.698,-5.608,0.105,0.732,89.976,5612014
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,0.502,0.7859999999999999,-4.378,0.317,0.7390000000000001,169.021,32346741
Used to This,Future,0.618,0.727,-7.224,0.20800000000000002,0.401,164.99200000000002,21604572
Into You,Ariana Grande,0.636,0.727,-5.852,0.106,0.358,107.988,12947750
Ride,Twenty One Pilots,0.645,0.713,-5.355,0.0393,0.5660000000000001,74.98899999999999,37013966
Love On The Brain,Rihanna,0.509,0.637,-4.83,0.0471,0.37799999999999995,172.00599999999997,63332239
Reminder,The Weeknd,0.705,0.505,-6.922999999999999,0.192,0.391,160.043,42749840
This Is What You Came For,Calvin Harris,0.63,0.9279999999999999,-2.787,0.0331,0.465,123.963,7865886
No Role Modelz,J. Cole,0.696,0.521,-8.465,0.332,0.45799999999999996,100.0,82579996
Jumpman,Drake,0.852,0.5529999999999999,-7.2860000000000005,0.187,0.6559999999999999,142.072,25026839
Make Me (Cry),Noah Cyrus,0.588,0.47100000000000003,-7.287000000000001,0.0577,0.209,152.881,24763720
Money Longer,Lil Uzi Vert,0.795,0.568,-7.817,0.142,0.478,136.173,79630530
Change,J. Cole,0.58,0.519,-10.652999999999999,0.251,0.242,107.40100000000001,5379397
"i hate u, i love u (feat. olivia o'brien)",gnash,0.49200000000000005,0.275,-13.4,0.3,0.18,92.6,17020668
Too Many Years,Kodak Black,0.665,0.706,-6.859,0.0958,0.632,147.067,41647249
Trust Nobody (feat. Selena Gomez & Tory Lanez),Cashmere Cat,0.42,0.636,-7.216,0.22,0.784,156.10399999999998,8390781
Die For You,The Weeknd,0.586,0.525,-7.162999999999999,0.0615,0.508,133.629,23123704
The Mack,Nevada,0.7070000000000001,0.883,-4.281000000000001,0.0602,0.541,106.031,3083701
Sunset Lover,Petit Biscuit,0.7829999999999999,0.467,-9.474,0.0503,0.23600000000000002,90.838,24785465
Don't,Bryson Tiller,0.765,0.35600000000000004,-5.556,0.196,0.19,97.001,68098109
Never Be Like You,Flume,0.494,0.5589999999999999,-5.445,0.0565,0.264,119.24700000000001,9985346
White Iverson,Post Malone,0.675,0.562,-7.678,0.0352,0.309,130.09799999999998,97542901
Selfish,PnB Rock,0.638,0.6,-5.84,0.0438,0.0399,101.98100000000001,54425990
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,0.807,0.887,-3.892,0.275,0.78,160.517,8026852
Erase Your Social,Lil Uzi Vert,0.705,0.609,-5.728,0.0729,0.718,140.058,34873980
Exchange,Bryson Tiller,0.53,0.433,-10.597999999999999,0.185,0.27399999999999997,160.14,66320814
Water,Ugly God,0.8,0.297,-13.1,0.40700000000000003,0.213,140.05100000000002,35865477
Come and See Me (feat. Drake),PARTYNEXTDOOR,0.7170000000000001,0.34700000000000003,-10.265,0.0636,0.0589,84.98700000000001,35951119
Stressed Out,Twenty One Pilots,0.7340000000000001,0.637,-5.6770000000000005,0.141,0.648,169.977,21178709
Moves,Big Sean,0.789,0.53,-6.2,0.293,0.36700000000000005,75.515,77207672
Water Under the Bridge,Adele,0.596,0.838,-6.52,0.0704,0.47200000000000003,94.98200000000001,20421708
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,0.728,0.563,-8.052999999999999,0.134,0.35200000000000004,100.01700000000001,10098422
Light,San Holo,0.57,0.763,-4.137,0.0573,0.43,150.088,14709247
Setting Fires,The Chainsmokers,0.627,0.7170000000000001,-5.751,0.0376,0.561,105.05,11419015
One Night,Lil Yachty,0.762,0.47600000000000003,-12.686,0.114,0.375,130.007,20143490
Too Much Sauce,DJ Esco,0.96,0.547,-6.992000000000001,0.0786,0.18600000000000003,121.01,10748726
All Time Low,Jon Bellion,0.672,0.386,-9.715,0.264,0.529,90.08200000000001,50042368
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.6629999999999999,0.713,-6.647,0.11199999999999999,0.69,101.965,16293408
"Me, Myself & I",G-Eazy,0.757,0.672,-6.524,0.0955,0.382,111.99600000000001,14075271
Love Yourself,Justin Bieber,0.609,0.37799999999999995,-9.828,0.43799999999999994,0.515,100.41799999999999,7256073
No Flockin,Kodak Black,0.943,0.595,-8.372,0.191,0.815,117.53200000000001,42587960
Send My Love (To Your New Lover),Adele,0.69,0.524,-8.39,0.10300000000000001,0.562,164.023,6980841
Lot to Learn,Luke Christopher,0.405,0.846,-3.57,0.195,0.602,82.23200000000001,11090246
Deja Vu,Post Malone,0.62,0.69,-6.507999999999999,0.0493,0.331,133.935,49313996
I Would Like,Zara Larsson,0.486,0.713,-3.949,0.0524,0.297,121.02799999999999,13642811
Litty (feat. Tory Lanez),Meek Mill,0.5920000000000001,0.701,-4.013999999999999,0.0858,0.282,129.501,16583430
True Colors,The Weeknd,0.616,0.424,-8.237,0.251,0.5820000000000001,76.676,7696635
Gold,Kiiara,0.6,0.41200000000000003,-9.343,0.344,0.408,113.04899999999999,6061428
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,0.779,0.6709999999999999,-5.829,0.0814,0.718,104.95299999999999,8411590
Father Stretch My Hands Pt. 1,Kanye West,0.7140000000000001,0.5660000000000001,-4.408,0.055999999999999994,0.449,113.074,11319950
Secrets,The Weeknd,0.665,0.7709999999999999,-5.779,0.0533,0.764,109.948,6200079
Lighthouse - Andrelli Remix,Hearts & Colors,0.595,0.662,-6.858,0.0362,0.41700000000000004,96.053,12523903
This Town,Niall Horan,0.687,0.409,-7.751,0.0311,0.16,111.861,13858275
I Got You,Bebe Rexha,0.609,0.887,-4.749,0.0507,0.316,97.99,27074908
Gassed Up,Nebu Kiniza,0.7979999999999999,0.568,-9.072000000000001,0.135,0.45,148.88,32355868
The Hills,The Weeknd,0.35600000000000004,0.5670000000000001,-7.011,0.0798,0.109,135.553,16467391
Shed a Light,Robin Schulz,0.483,0.787,-5.244,0.102,0.58,122.05799999999999,14783200
Pop Style,Drake,0.7240000000000001,0.456,-10.009,0.127,0.0481,133.05100000000002,8587166
PILLOWTALK,ZAYN,0.584,0.7,-4.275,0.0456,0.43799999999999994,124.944,5598599
Rockin’,The Weeknd,0.737,0.885,-5.547000000000001,0.20600000000000002,0.752,112.87700000000001,4795476
Living Single,Big Sean,0.7170000000000001,0.618,-5.419,0.315,0.7190000000000001,79.862,5359695
By Your Side,Jonas Blue,0.696,0.743,-3.838,0.0331,0.644,122.978,5553856
Roses,The Chainsmokers,0.716,0.8059999999999999,-7.602,0.0466,0.34700000000000003,100.03299999999999,8385882
Not Going Home,DVBBS,0.713,0.733,-6.431,0.152,0.502,108.992,13124548
My Shit,A Boogie Wit da Hoodie,0.812,0.621,-8.3,0.0515,0.847,77.998,17193026
Both (feat. Drake),Gucci Mane,0.85,0.405,-7.5089999999999995,0.225,0.344,139.976,72411336
She's Mine Pt. 1,J. Cole,0.435,0.20199999999999999,-15.097000000000001,0.0702,0.0429,139.57399999999998,3373922
What They Want,Russ,0.71,0.40399999999999997,-10.04,0.379,0.39799999999999996,139.553,65462051
7 Years,Lukas Graham,0.742,0.479,-5.83,0.0551,0.34600000000000003,119.95100000000001,8092454
Capsize,FRENSHIP,0.6829999999999999,0.708,-6.244,0.0305,0.355,92.991,6763199
Timeless (DJ SPINKING),A Boogie Wit da Hoodie,0.569,0.7609999999999999,-6.071000000000001,0.475,0.325,180.122,14953388
For Whom The Bell Tolls,J. Cole,0.652,0.40700000000000003,-11.027999999999999,0.0354,0.16899999999999998,111.65,2298777
Black Barbies,Nicki Minaj,0.8029999999999999,0.585,-5.39,0.087,0.24100000000000002,146.02,2339684
Famous,Kanye West,0.474,0.741,-3.69,0.111,0.402,174.1,10373223
Party,Chris Brown,0.762,0.5760000000000001,-4.9510000000000005,0.0829,0.316,142.096,29260657
Let Me Explain,Bryson Tiller,0.809,0.504,-3.201,0.15,0.525,120.065,6274245
Sorry,Justin Bieber,0.654,0.76,-3.6689999999999996,0.045,0.41,99.945,11508706
4 Your Eyez Only,J. Cole,0.7040000000000001,0.48100000000000004,-10.493,0.363,0.494,78.628,3289169
Cake By The Ocean,DNCE,0.774,0.764,-5.445,0.0518,0.912,118.99700000000001,1198196
Uber Everywhere,MadeinTYO,0.779,0.455,-15.025,0.28,0.19699999999999998,140.181,1196926
Ville Mentality,J. Cole,0.857,0.37799999999999995,-8.371,0.0928,0.626,119.976,2286683
Somebody Else,VÉRITÉ,0.674,0.593,-6.47,0.0582,0.46399999999999997,116.995,7612430
You & Me,Marc E. Bassy,0.693,0.65,-8.376,0.192,0.6629999999999999,85.02600000000001,5467435
Go Flex,Post Malone,0.665,0.498,-8.185,0.0831,0.127,81.96700000000001,98703926
Say It (feat. Tove Lo),Flume,0.598,0.532,-6.832999999999999,0.0295,0.261,74.96300000000001,4425736
Hotline Bling,Drake,0.903,0.62,-8.094,0.0587,0.539,134.96,7973803
My Way,Calvin Harris,0.8190000000000001,0.9129999999999999,-3.0589999999999997,0.0427,0.536,119.98899999999999,4450251
Hymn for the Weekend - Seeb Remix,Coldplay,0.565,0.8490000000000001,-3.516,0.0517,0.42700000000000005,102.03399999999999,1161968
oui,Jeremih,0.715,0.703,-3.825,0.0503,0.596,119.749,8022252
Tiimmy Turner,Desiigner,0.602,0.725,-3.054,0.0393,0.304,122.803,4529089
Still Here,Drake,0.836,0.439,-9.628,0.14800000000000002,0.24100000000000002,133.937,8221555
The Greatest,Sia,0.6679999999999999,0.725,-6.127000000000001,0.266,0.7290000000000001,191.94400000000002,4547841
All I Know,The Weeknd,0.469,0.41700000000000004,-10.614,0.0704,0.175,120.012,4276897
Good Drank,2 Chainz,0.836,0.7759999999999999,-0.804,0.239,0.37,130.033,23317188
False Alarm,The Weeknd,0.518,0.6759999999999999,-6.372999999999999,0.0744,0.19699999999999998,173.998,3192919
How Far I'll Go,Auli'i Cravalho,0.5760000000000001,0.319,-10.934000000000001,0.0518,0.0921,83.632,19740550
Baptized In Fire,Kid Cudi,0.669,0.599,-8.347000000000001,0.222,0.762,152.05,2124123
Wyclef Jean,Young Thug,0.863,0.5760000000000001,-5.687,0.239,0.8320000000000001,132.054,21539119
Blue Ain't Your Color,Keith Urban,0.69,0.41600000000000004,-7.865,0.0335,0.479,82.45,8661556
Do What I Want,Lil Uzi Vert,0.6809999999999999,0.701,-6.336,0.0767,0.39799999999999996,139.952,13937758
Foldin Clothes,J. Cole,0.713,0.496,-10.045,0.311,0.6,162.039,1084490
Oh Lord,MiC LOWRY,0.273,0.794,-6.644,0.0675,0.377,95.902,4569866
LUV,Tory Lanez,0.539,0.528,-8.113,0.252,0.252,190.169,1055938
Dynamite (feat. Pretty Sister),Nause,0.8109999999999999,0.8009999999999999,-6.0,0.0802,0.693,105.055,2144767
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,0.746,0.877,-3.782,0.0666,0.7509999999999999,107.985,1044681
Ophelia,The Lumineers,0.667,0.58,-6.412000000000001,0.0286,0.579,76.241,6733235
My House,Flo Rida,0.688,0.7020000000000001,-4.792,0.0499,0.74,94.006,1040529
Really Really,Kevin Gates,0.762,0.6659999999999999,-6.055,0.0916,0.278,118.97,4089866
Middle,DJ Snake,0.611,0.7,-5.331,0.0436,0.213,104.98100000000001,1037663
No Type,Rae Sremmurd,0.888,0.483,-7.797000000000001,0.154,0.226,125.008,5461665
Antidote,Travis Scott,0.713,0.526,-5.046,0.032,0.131,131.05,10634226
Wake Up Where You Are,State of Sound,0.706,0.674,-6.977,0.0337,0.545,113.956,1029544
'Till I Collapse,Eminem,0.551,0.851,-3.2769999999999997,0.19699999999999998,0.1,171.41099999999997,33418619
Taped up Heart (feat. Clara Mae),KREAM,0.675,0.937,-3.525,0.0509,0.5670000000000001,103.961,6746326
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.698,0.732,-4.522,0.266,0.0689,171.43099999999998,17196761
Wet Dreamz,J. Cole,0.504,0.705,-8.205,0.364,0.584,175.483,13626527
Childs Play,Drake,0.7390000000000001,0.47200000000000003,-11.204,0.156,0.289,80.03,2012104
Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,0.505,0.397,-9.349,0.324,0.5579999999999999,95.06299999999999,15196701
Unsteady,X Ambassadors,0.389,0.665,-6.169,0.0644,0.19899999999999998,117.055,3028767
Versace on the Floor,Bruno Mars,0.578,0.574,-6.209,0.0454,0.301,174.15200000000002,4490861
Cake - Challenge Version,Flo Rida,0.7859999999999999,0.8540000000000001,-4.247,0.0523,0.687,105.07799999999999,21243343
Let It Go,James Bay,0.546,0.311,-10.395999999999999,0.0288,0.24600000000000002,147.464,6301381
Ni**as In Paris,JAY Z,0.757,0.882,-6.125,0.248,0.684,140.047,6440817
Look Alive,Rae Sremmurd,0.7859999999999999,0.583,-7.415,0.0393,0.22899999999999998,120.024,985786
Castro,Yo Gotti,0.79,0.544,-6.624,0.368,0.467,146.077,4311762
Crazy Brazy,A$AP Mob,0.755,0.629,-8.283999999999999,0.312,0.591,143.083,6411634
She's Mine Pt. 2,J. Cole,0.513,0.19699999999999998,-15.167,0.0851,0.049,69.82,978401
Seven Million (feat. Future),Lil Uzi Vert,0.8859999999999999,0.629,-4.404,0.306,0.48700000000000004,158.002,976118
Miss You,James Hersey,0.88,0.605,-7.638999999999999,0.0531,0.626,120.01700000000001,1971924
Hello,Adele,0.48100000000000004,0.451,-6.095,0.0347,0.289,157.966,2259569
H.O.L.Y.,Florida Georgia Line,0.525,0.685,-3.9539999999999997,0.0351,0.54,78.003,12738556
Photograph,Ed Sheeran,0.614,0.379,-10.48,0.0476,0.201,107.98899999999999,12502382
Don't Leave,Snakehips,0.657,0.703,-3.4019999999999997,0.0753,0.33799999999999997,122.381,27006912
