Artist,Song,First Week Charted,Last Week Charted,Lyrics,Peak Position,Weeks on Chart
Barbara Fairchild,Kid Stuff,1973-08-06,1973-11-05,"

I often think of younger days
A boy, a girl and backyard play
I'd get hurt, you'd get your way
And they called it kid stuff
I know it mattered little then
The childish games you'd always win
Now the stakes are higher
And it's no longer kid stuff

[Chorus]
Kid stuff when I was little
Was sitting in the middle
Of a cotton candy world
But now my heart is saying
This is no game we're playing
For I can see I'm losing you
To another world
I remember very well
Plan we made by a wishing well
And secret stuff we couldn't tell
Ain't that just like kid stuff
And I always thought
That you'd be mine
At least until the end of time
I wore your ring that cost a dime
Happiness is kid stuff

[Repeat Chorus]
I'm losing you
To another world

",2,14
Barbara Fairchild,Teddy Bear Song,1973-01-15,1973-04-30,"

I wish I had button eyes and red fat nose
Shaggy cotton skin and just one set of clothes
Sittin' on the shelf in the local department store
With no dreams to dream and nothing to be sorry for

I wish I was a Teddy Bear
Not livin' nor lovin' or goin' nowhere
I wish I was a Teddy Bear
And I'm wishin' that I hadn't fallen in love with you

I wish I had a wooden heart and a sawdust mind
Then your mem'ry wouldn't come around hurtin' all the time
I'd have a sewed on smile and a painted twinkle in my eye
And I never would've ever had to learn how to cry

I wish I was a Teddy Bear
Not livin' nor lovin' or goin' nowhere
I wish I was a Teddy Bear
And I'm wishin' that I hadn't fallen in love with you

I wish I had a string you'd pull to make me say
Hi, I'm Teddy ain't it a lovely day
Then I'd know every time I spoke the words were right
And no one would know the mess I made in my life

I wish I was a Teddy Bear
Not livin' nor lovin' or goin' nowhere
I wish I was a Teddy Bear
And I'm wishin' that I hadn't fallen in love with you

And I'm wishin' I hadn't fallen in love with you

",1,16
Barbara Mandrell,Do Right Woman - Do Right Man,1971-02-01,1971-04-12,"

If you want a do right all day's woman you gotta be a do right all night's man
Take me to heart and I'll always love you and nobody can make me do wrong
Take me for granted leavin' love unshown makes willpower weak and temptation strong
A woman's only human this you should understand
She's not just a plaything she's flesh and blood just like her man
If you want a do right all day's woman you gotta be a do right all night's man

They say it's a man's world but you can't prove that by me
As long as we're together baby show some respect for me
If you want a do right all day's woman you gotta be a do right all night's man
If you want a do right all day's woman you gotta be a do right all night's man
A do right all night's man

",17,11
Barbara Mandrell,"Give A Little, Take A Little",1973-04-23,1973-06-25,"

You've got to give a little take a little if you want to get a little lovin'
And do all the things that make your man feel right
And if you give a little take a little then you're gonna get a lotta lovin'
And you're never gonna ever have to spend another lonely night

If he needs a little lovin' then hold him
Cause if you don't the fires of love are gonna get a little cold and dim
And if his day don't go your way then take it with a little smile
After all it's the ups and downs of love that makes it all worthwhile
You've got to give a little...

Never mind the times when his feet feel the need for freedom
Just as long as they bring him on home to you when you need him
To show you care you gotta be there when he laughs or when he cries
There's no mistaking givin' and talking is the very best part of life
You've got to give a little...
You've got to give a little...

",24,10
Barbara Mandrell,Holdin' On (To The Love I Got),1972-11-13,1973-01-01,"

I'm gonna hold on to the love I've got
In a hundred million years, I'll never stop
'Cause there's nothing in the world
That could keep me from loving you

Well, I'm living when I'm loving
And I'm loving every time I'm with you
Just like walking in the sunshine
Lord, you make me feel so fine

And as long as we're leaving
And loving the way we want to
I know I'm gonna be
The best loved woman alive

I'm gonna hold on to the love I've got
I couldn't care less if they like it or not
As long as you're satisfied
With the things I do

I'm gonna hold on to the love I've got
In a hundred million years, I'll never stop
'Cause there's nothing in the world
That could keep me from loving you

Thrills I feel, I know are real
When you touch me
And I wake up every morning
With your arms wrapped around me tight

And the feeling I feel
Is exactly the way it should be
'Cause the love we've got
Keeps growing every day and night

I'm gonna hold on to the love I've got
I couldn't care less if they like it or not
As long as you're satisfied
With the things I do

I'm gonna hold on to the love I've got
In a hundred million years, I'll never stop
'Cause there's nothing in the world
That could keep me from loving you

No, there's nothing in the world
That could keep me from loving you

",27,8
Barbara Mandrell,Playin' Around With Love,1970-06-01,1970-08-03,"

Not too long ago you said to me I believe it's time you set me free
Cause I found a woman who knows how to love me right
And she don't mind if I lay out all night
And you said hallelujah this woman sure gets to ya
I fin'lly found peace of mind
A singing hallelujah you don't know what good it'll do ya
Playin' around with love'll do it everytime

But then one day she felt like movin' on one goodbye and you were all alone
And it's funny but I could almost hear the sound
When your whole world came tumblin' to the ground
And I said hallelujah that woman socked it to ya
Just walked away and blew your mind
A singing hallelujah you've got what's comin' ya
Playin' around with love'll do it everytime

But it seems that I'm not too satisfied
With the brand new love that's walking by my side
Cause already there's an old love on my mind
Playin' around with love'll do it everytime

",18,10
Barbara Mandrell,Show Me,1972-04-17,1972-07-03,"

Show me a man that's got a good woman show me
Show me a man that's got a good woman show me
Show me a man that's got a good woman show me a man that's got a good woman
Show me a man that's got a good woman show me a man that's got a good woman
Show me a man that's got a good woman
I'll show you a man that goes to work hummin' 'cause
He knows he's got sweet love comin' at the end of his workin' day

Show me a woman that's got a good man show me
Show me a woman that's got a good man show me
Show me a woman that's got a good man show me a woman that's got a good man
Show me a woman that's got a good man show me a woman that's got a good man
Show me a woman that's got a good man
I'll show you a woman doin' all she can
To make life worth livin' for her good man so his troubles don't cross his mind

Show me two people in love with each other show me
Show me two people in love with each other show me
Show me two people in love with each other show me two people in love with each other
Show me a man that's got a good woman show me
Show me a woman that's got a good man show me
Show me two people in love with each other show me

",11,12
Barbara Mandrell,Tonight My Baby's Coming Home,1971-12-20,1972-02-28,"

Last night he called from Dallas he was havin' a beer at the Crystal Palace
He said honey you won't be alone for long
I got to make just one more stop to pick up a ring in Little Rock
And I'm gonna head this semi straight for home
Fourteen wheels a whinin' four big headlights shinin'
Him and that semi been away too long
Hope he don't get stop from speedin' cause I've got everything he's needin'
Waitin' for him right here at home
He's got that big ole engine singin' singin' my favorite song
And I know he's headin' my way rollin' down the highway
Tonight my baby's comin' home

Ten thousand miles I've missed him it's been a week since I kissed him
And forty truckstops since I held him tight
A million chicks and he can get 'em they wanna make love and he won't let 'em
The only thing he wants he'll get tonight
He's got that big ole engine singin'...

And I know he's headin' my way rollin' down the highway
Tonight my baby's comin' home
And I know he's headin' my way rollin' down the highway
Tonight my baby's comin' home

",10,11
Barbara Mandrell,Treat Him Right,1971-07-05,1971-09-06,"

I wanna tell you a story every girl oughta know
If you want a little loving you gotta start real slow
He's gonna love you tonight if you just treat him right

Hmm squeeze a real gentle you gotta make him feel good
Tell him that you love him like you know you should
Cause if you don't treat him right he won't love you tonight
Hey hey hey hey

If you practise my maintance just as hard as you can
You gonna get the reputation that you can love your man
And you'll be glad every night that you treated him right
Hey hey hey hey

I wanna tell you a story...
He's gonna love you tonight if you just treat him right
And you'll be glad every night that you treated him right
And you'll be glad every night that you treated him right

",12,10
Ben Colder,Don't Go Near The Eskimos,1962-12-24,1962-12-24,"

[Chorus]
Oop shoop moogi mushy doggy, oh
Oop shoop moogi ay
Means son, don't go near the Eskimos
Please do what I say

My daddy was working
For the weather station
A little bit North of Nome
And I grew up in that frozen country
Where the nights are six months long

I used to play like I was an Eskimo
I put whale oil on my hair
And every night I would beg my folks
Let me sleep in the frigid air

I was seventeen and my voice was changing
But the girls didn't thrill me none
'Cause I longed to go see an Eskimo
On the banks of the old Yukon

One night I slipped from my daddy's house
A little bit north of Nome
I knew that I could get back by morning
'Cause the nights are six months long

And there she was
Sitting on a chunk of ice
Eating a frozen fish
And dipping her friskies
In whale blubbe

And I said, ooga shooga mooshka
Which means the love in my heart
Is a burning

And she said, ooga mooshka nooshka
And that means, back up, buddy
You're melting the ice

I went back home and I told my daddy
About this maiden fair
And how I felt I'd love to melt
Them icicles in her hair

Dad's trembling lips turned purple
And his breath began to freeze
It was then he told me
I could never rub noses
With pretty little Um Shog Nee

He said, son, when you were born
Well, the Eskimo and the white man
Were having a lot of wild parties, see
The Eskimos always brought the ice

Well, they's having a lot of fun, you see
So one night, this Eskimo named Pie Eye
That's right, son, a pie-eyed Eskimo
He stole my little boy and made
A icicle out of him

So I stole you to get even
I was gonna make a
Fudgesicle out of you

But I loved you like you's my very own
And I treated you just, you know
Just like the cold blooded
Little Eskimo that you are

So you see, son, you can never
Rub noses with Um Shog Nee no more
Because, excuse me, see, Um Shog Nee
Has the coldest nose in Alaska
And that's why I've always say

[repeat Chorus]

",18,1
Ben Colder,Harper Valley P.T.A. (Later That Same Day),1968-10-21,1968-11-25,"

(The day that widow Jones sock it to the Harper Valley PTA)
Order order I'll have a cheeseburger and a small beer
Seriously boys I would like to address this meeting of the Harper Valley AA a PTA
Why there's Bobby Taylor you son of a gun
I was just strollin' along the street tonight on my way to Kelly's bar
And I saw your sign outside that said PTA
I thought that meant Party Time Already
So here I am and I'm havin' a lot of fun you bunch of son of a guns
Mr Baker widow Brown Shirley baby
Mr Peyton and distinguished guests you bunch of son of a guns
Hey Mrs Johnson Mrs Johnson
You say old Bobby Taylor sittin' there and seven times he asked you for a date
Well that's shockin's
Hang right in there Bobby she'll probably come around if you'll just wait
And I can tell you why Mr Baker's secretary up and left this town
She was expectin' to get a lot better job with Brown and Brown in another town
Mrs Johnson do you happen to be a grass widow
That makes you a Johnson grass widow
Mrs Johnson has posed the question
Should widow Brown be told to keep her window shades pulled completely down
To pull or not to pull that is the question
Well I'll leave ot to a vote now how do you vote (no) You bunch of son of a guns
I think you made a wise choice it beats watching TV
Now that brings us up to Shirley Thompson's breath
Perhaps I shouldn't brought that up tell the green phantom
Hey you are all really a bunch of swingers and I've sure had a lot of fun
Yeah this is just a little Peyton Place and you're all Harper Valley son of a guns
This is just a little Peyton Place and you're all Harper Valley son of a guns
Son of a guns

",24,6
Bill Monroe,Gotta Travel On,1959-03-02,1959-04-06,"

I've laid around and played around this old town too long
Summers almost gone, winters coming on
I've laid around and played around this old town too long
And I feel like I've gotta travel on

Poppa writes to Johnny but Johnny can't come home
Johnny can't come home, no, Johnny can't come home
Poppa writes to Johnny but Johnny can't come home
Cause he's been on this chain gang too long

I've laid around and played around this old town too long
Summers almost gone, winters coming on
I've laid around and played around this old town too long
And I feel like I've gotta travel on

High sheriff and police riding after me
Riding after me, yes, coming after me
High sheriff and police riding after me
And I feel like I've gotta travel on

I've laid around and played around this old town too long
Summers almost gone, winters coming on
I've laid around and played around this old town too long
And I feel like I've gotta travel on

Want to see my honey, want to see her bad
Want to see her bad, oh, want to see her bad
Want to see my honey, want to see her bad
She's the best gal this poor boy ever had

I've laid around and played around this old town too long
Summers almost gone, winters coming on
I've laid around and played around this old town too long
And I feel like I've gotta travel on

",15,6
Bill Phillips,Put It Off Until Tomorrow,1966-03-28,1966-07-25,"

Put it off until tomorrow oh oh you've hurt me enough today
You say our love is over that you have found another
You say you're going away
But leave me tomorrow oh oh you've hurt me enough today
You've hurt me enough today I can't believe the words you say
I must accept the fact you won't be coming back
So stay just one more day loneliness isn't far away
Put it off until tomorrow oh oh you've hurt me enough today
So stay just one more day...

",6,18
Billie Jo Spears,He's Got More Love In His Little Finger,1968-12-30,1969-01-20,"

He's got more love in his little finger than you've got in all your heart
He's got more love in his little finger than you've got in your whole heart
And when you leave off in tenderness that's where his tenderness starts
Oh he wouldn't lie to me not to save his life that's something he just wouldn't do
He's got more love in his little finger more love that is off of you
He's everything a man should be he's kind he's good and he's true
And when I look into his eyes there's a love light that was missing in you
Just one sweet kiss that's all I need tell me we'll never part
He's got more love in his little finger than you've got in all your heart
He's got more love in his little finger than you've got (you've got )
Than you've got (you've got) than you've got in all your heart

",48,4
Billie Jo Spears,I Stayed Long Enough,1970-11-30,1971-01-18,"

Accident'ly in your arms and that's all it took
Knowing how you want and need me with just one look
To leave you now is something you should know that I can't do
Cause I stayed long enough to fall in love with you
Long enough to know that what I feel won't go away
Just looking won't be near enough after today
Everything I need is everything I see in you
I stayed long enough to fall in love with you
[ steel ]
Long enough to know...
I stayed long enough to fall in love with you

",30,8
Billie Jo Spears,Marty Gray,1970-07-27,1970-10-19,"

Big Jimmy Baker and Marty Gray met at a teenage party
Jimmy took Marty to school the next day both of them were tardy
Sittin' in the parking lot talking over things waitin' for the morning bell to ring
Two little love birds loose on wing Jimmy Baker and Marty
Kids in love now what can you do but listen to the cooing
Pretty little blonde haired Marty Gray does your mama know what you're doing
Bet your mama don't know what you're doing

Big Jimmy Baker's on the football team Marty's wearin' his sweater
Listen to them talking in the locker room man he's a real go getter
Telling Marty bout the facts of life says there'll never be another
Someday she's gonna be his wife he learned that line from his brother
Kids in love now what can you do...

Down at the drive-in Friday night didn't come to see the movie
Parked in back and away from the light Jimmy says isn't this groovy
Under the seat a bottle in a bag made to affect the senses
Poured out a drink for Marty Gray broke down her defense
Kids in love now what can you do...

Big Jimmy Baker and Marty Gray no longer goin' together
Fire of love burned out they say Marty's feelin' under the weather
Town turns out to have a big day the football hero's goin' away
But Marty's got the price to pay and Jimmy's gonna let her
Kids in love now what can you do...
Bet your mama don't know what you're doing

",17,13
Billie Jo Spears,"Mr. Walker, It's All Over",1969-04-21,1969-07-07,"

I left Garden City Kansas with a ticket and a yen to see New York
I typed eigty words a minute so your corporation let me go to work
I fetch paper clips and coffee even help you dodge your domineering wife
Mr Walker it's all over I don't like the New York secretary's life

In this building there's a crowd of guys with old familiar thoughts upon their minds
That's a lot of hands a reaching out you grab the things that I consider mine
And the president persues me even though he's old and hair a turnin' white
Mr Walker it's all over I don't like the New York secretary's life

There's a flat in Greenwich Village that I took because the subway wasn't far
But a trumpet player's upstairs and below me ther's a jumping all night bar
And to frost a bitter cake I have to share the place with bugs and big ol' mice
Mr Walker it's all over I don't like the New York secretary's life

Your sweetheart in personnel said I should give her written notice like the rest
So I wrote goodbye with my brightest lipstick right across her big expensive desk
You'd better call the Times and tell 'em put your wanted ad right back in classified
Mr Walker it's all over I don't like the New York secretary's life

There's a Greyhound at the station and a mom at home with open arms for me
Garden City's looking better every minute now since I have learned to see
And the boy next door don't know it but come June he's gonna gain himself a wife
Mr Walker it's all over I don't like the New York secretary's life
Mr Walker it's all over I don't like the New York secretary's life
Mr Walker it's all over I don't like the New York secretary's life

",4,12
Billie Jo Spears,Stepchild,1969-09-29,1969-10-20,"

Stepchild you've had a hard way to go
How come your daddy run away your mama never did know
All you remember is becoming a step son to your mama's new man
And you got aquainted with the back of his hand
Stepchild you say the man had a son
The son called him daddy but he told you to call him John
You say the legs on the breast of the chicken was gone
When the platter come around your way
And you had to chop cotton while your step brother played
Stepchild when you were born
Your right foot was turned left with your left
And mercy had a way of taking off and leaving you by yourself
Stepchild muddy water got in your well

Stepchild how come your laughing that way
After doing the deed that you've done you better learn how to pray
Stepchild you've got a weird sense of humor
And you came close to gettin' away
But they caught you plantin' garlic on your step daddy's grave
Stepchild when you were born...

",43,4
Billy Edd Wheeler,Ode To The Little Brown Shack Out Back,1964-11-23,1965-05-03,"

They passed an ordinance in the town
They said we'd have to tear it down
That little old shack out back
So dear to me

Though the health department said
It's day was over and dead
It will stand forever in my memory

Don't let 'em tear that
Little brown building down
Don't let 'em tear that
Precious building down

Don't let 'em tear that
Little brown building down
For there's not another like it
In the country or the town

It was not so long ago that
I went tripping through the snow
Out to that house behind
My old hound dog

Where I'd sit me down to rest
Like a snowbird on his nest
And read the Sears and Roebuck catalog

I would hum a happy tune
Peeping through the quarter moon
As my daddy's kin had done before

It was in that quiet spot
Daily cares could be forgot
It gave the same relief
To rich and poor

Don't let 'em tear that
Little brown building down
Don't let 'em tear that
Precious building down

Don't let 'em tear that
Little brown building down
For there's not another like it
In the country or the town

Now it was not a castle fair
But I could dream my future there
And build my castles to
The yellow jacket's drone

I could orbit around the sun
Fight with General Washington
Or be a King upon a golden throne

It wasn't fancy built at all
It had newspapers on the wall
It was air conditioned
In the wintertime

It was just a humble hut
But it's door was never shut
And a man could get inside
Without a dime

Don't let 'em tear that
Little brown building down
Don't let 'em tear that
Precious building down

Don't let 'em tear that
Little brown building down
For there's not another like it
In the country or the town

",3,24
Billy Grammer,Gotta Travel On,1959-01-05,1959-03-30,"

I've laid around and played around this old town too long
Summer's almost gone, yes, winter's comin' on
I've laid around and played around this old town too long
And I feel like I gotta travel on
Poppa writes to Johnny, but Johnny can't come home
Johnny can't come home, no, Johnny can't come home
Poppa writes to Johnny, but Johnny can't come home
'Cause he's been on the chain gang too long
I've laid around and played around this old town too long
Summer's almost gone, yes, winter's comin' on
I've laid around and played around this old town too long
And I feel like I gotta travel on
High sheriff and police riding after me
Riding after me, yes, coming after me
High sheriff and police coming after me
And I fee like I gotta travel on
I've laid around and played around this old town too long
Summer's almost gone, yes, winter's comin' on
I've laid around and played around this old town too long
And I feel like I gotta travel on
Want to see my honey, want to see her bad
Want to see her bad, oh, want to see her bad
Want to see my honey, want to see her bad
She's the best girl, this poor boy ever had
I've laid around and played around this old town too long
Summer's almost gone, yes, winter's comin' on
I've laid around and played around this old town too long
And I feel like I gotta travel on

",5,13
Billy Walker,A Million And One,1966-06-20,1966-11-07,"

How many teardrops
Have I cried over you
A million and one tears
A million and two

How many lonely nights
Have my arms ached for you
A million and one nights
A million and two

Loving you darling
While I thought you loved me  only me
But you were just fooling
And the fool you were fooling was me

How many sweet dreams
Will never come true
A million and one dreams
A million and two

Loving you darling
While I thought you loved me  only me
But you were just fooling
And the fool you were fooling was me

How many sweet dreams
Will never come true
A million and one dreams
A million and two

",2,21
Billy Walker,Age Of Worry,1968-11-04,1968-12-30,"

We're living in an age of worry
A living in a time of stress
Disappointments all around us
And very little happiness

We're living in an age of worry
A living in a time of fear
Life goes by in such a hurry
Tension mounting year by year

We're living in an age of danger
No peace of mind to feed the soul
The whole world is quick to anger
Greed and power is its goal

Somewhere there's got to be a rainbow
In God to heaven up above
I'll keep looking for that rainbow
And I'll keep searching for his love

We're living in an age of worry
A living in a time of stress
Disappointments all around us
And very little happiness

",20,9
Billy Walker,Anything Your Heart Desires,1967-03-13,1967-06-05,"

Anything your heart desires I would give to you my love
All the world I had like to give and hand to you the stars above

I don't own the world or the stars in the blue and all I can give is my love to you
Anything your heart desires I would give to you my love

I don't own the world or the stars in the blue and all I can give is my love to you
Anything your heart desires I would give to you my love

",10,13
Billy Walker,Bear With Me A Little Longer,1966-11-28,1967-02-27,"

You say you're tired of struggling along
Bear with me a little longer
Seems like everything I do turns out all wrong
Bear with me a little longer

It hasn't been easy I know
At least up to now
But if you'll understand me
Have faith in what I'm trying
I know we'll make it somehow

I'll say a prayer for us tonight
I'll pray that your love will grow stronger
And then everything will be alright
Bear with me a little longer

I've heard it said a million times
You can't have heaven on earth
But the law of average says things will be better
We've already been through the worse

I'll say a prayer for us tonight
I'll pray that your love will grow stronger
And then everything will be alright
Bear with me a little longer

",3,14
