stars,text
4.0,some cashew chicken white rice ordered tempura shrimp california roll super yummy nice while picking up order 
1.0,havent been back while went back almost weeks ago more pork buns ginger scallion noodles both dishes mom enjoyed first time usual split everything ordered pork buns lamb buns ginger scallion noodles fried wings fried rice among people unfortunately mom her portion ginger scallion noodles piece wire she bitten into about inches long inch wide almost came wire scouring pad called servers attention right away she apologized took away offered prepare another bowl us declined werent going consuming another bowl anyway management only charged us items ordered while fried wings still good theres nothing will make us want come back anymore even without errant piece wire tsk tsk wonder david chang told about noodles just too oily pork fat pork buns too pale wasnt any flavor fat either just dripping oil case youre curious about nutritional value those buns read 
1.0,tried first time last timeover priced icky mushy food extremely small portions called inform got very slight sorry 
3.0,quick order chinese food pretty standard some times very inexpensive lunch specials dinner prices tad bit higher although still reasonable bit more spacious than asian kitchen want eat meal spot just often though ordered take home other than not much else say about 
4.0,food delicious presentation lot nicer than many traditional chinese restaurants has nice ambiance without losing traditional touch chinese only menu service not most attentive try pretty hard flag down waiter order some point just self served water will definitely back 
5.0,great service always love hearing talk about malaysia always learn something new laksa authentic delicious highly recommend eating rice noodles chicken wings roti also good come good homestyle comfort food 
5.0,kee diane hong done again best sushi valley regularly drive east mesa fresh fish amazing volcano roll service great love beer sake selection miso soup always matches season sushi bar over top 
4.0,loved place very hip food outstanding decent prices asianlatin fusion everything delish 
2.0,house mates order quite bit finally one evening thought id try sweet lulus noodles rice stick noodles thai hot chicken breast vegetables girlfriend malay noodles vegetarian both dishes included crushed garlic shredded ginger coriander delivery took hour probably would not order again credit did say advance enjoyed malay noodles girlfriend ordered nice flavourful dish dominated by sataypeanut sauce ordered again probably wouldnt given how many other options would never order thai hot rice stick noodles dish salty could only handle few mouthfuls not sure just screwed up night dumped too much msg not sucked also ordered cold vegetarian rolls not best ive very unmemorable actually think branding niche place filling unique lucky many options toronto would probably try another place before giving sweet lulu another chance other reviews people seem quite happy indeed could just been bad dish 
5.0,wonderful service excellent food everything weve ordered has been great favorites include happy family seafood menu cheese puffs veggie egg rolls mongolian beef sweet sour chicken fried rice garlic chicken feel portions generous prices very reasonable havent tried recommend do 
5.0,im full fledged sushi lover will travel many miles good sushi good sushi eat no joke volcano roll out world also sake bombers great too please do not ra place ten times better better service less people no loud music 
1.0,located close yongedundas square more fancier version usual thaiviet places little bit overpriced same food know get anywhere service great bizarre how waiter asked end coming back ever again 
1.0,called make take out order owner asked name advised will ready after went restaurant paid order find out havent even started making order guess waiting get payment first before started making food case should told first hand needless say wait another food ready havent even tasted food yet will update review after eat 
3.0,really nice clean establishment friendly staff serve organic which why prices high side craving dim sum let down how small selection impressed how nice staff pacific shrimp roll perfect tasted great 
1.0,location has been horrible other locations been great since location near house still some reason due take out couple times year mistake ordered tonight always inform csr place notes order please make everything fresh not always fresh past well picked order up sure spring rolls crab puffs cold informed manager he hold minutes took two items back he came out fresh straight oil well got home shocked store manager would take original items toss back oil not even professional solution by making complete order over how do know both items burnt very obvious reheated oil took pictures do not see place yelp upload not cheap drivethrough store manager he should made right am ashamed customer service coming 
1.0,kid got very sick after eating should looked reviews before coming employees rude place dirty measure child make sure under hight limit shame actually eating allowing little one get sick feel horrible do not eat please 
5.0,definitely worth many return visits just too many good things choose even small portions each tray skip several dishes gotten too full tasty stuff ive taken place huge very clean theres staggering array food choices staff very efficient friendly theres separate area koreanmongolian bbq which offers grilled fresh sardines love addition expected bulgogi grilled chops chicken well fresh ingredients assemble hand cooking mongolian bbq style also centrallylocated area sushi good sushi buffet scores major points edamame main buffet area also offers crispy veggie tempura complement sushi feel giving meal japanese slant enjoyed seafood dishes lot especially poached fish dishes clams course also usual buffet staples such coconut shrimp beef n broccoli very well made dessert lots fruit well expected buffet dessert cakes puddings thanks rand introducing great dining spot place make enjoy even things usually dont such hot sour soup awesome place indeed 
5.0,awesome food people who work take time explain any menus options amazing food highly recommend kat 
5.0,hip decor modern design interesting original paintings menu emphasis noodles served styles over asia consistent excellence honesty source great sushi choice prices unique teas served plentiful pot precise prompt service highly recommended 
5.0,been eating china way alma school rd years now ii new favorite place crush cravings chinese food absolutely best ive rocketdogrccom 
5.0,whenever shopping smiths aroma china gourmet makes mouth water weekend gave tried orange chicken wonton soup pepper shrimp everything delicious highly recommend price right food amazing what more could want 
2.0,terribly salty oily didnt enjoy food service very efficient though 
3.0,kids dont know better wouldnt call chinese food comes close think does job moment been few times havent any stale food always line maybe why some places when food sitting staying warm gets hard nasty havent problem yet hope never 
2.0,going assume just went bad day wife really disappointed recommendation sushi sashimi nothing brag about especially given higher cost service not very good either sat sushi bar almost immediately after asking one chefs what he recommended quickly rudely reprimanded by random waitress instructed not speak told ask waitresses any questions feeling good sushi both quality fish social aspect chefs kind environment well location not not returning 
4.0,place definitely one kind madison probably wisconsin modeled after street food places japan meats skewers small bites also sushi noodle dishes first thing vibe decor very hip not overally trendy food most important nice eat beautifully appointed place sometimes greeted right away by friendly hosts seated one few booths also plenty large open tables bigger parties menu very manageable diverse ordered beef curry udon not what expected thought would soupy curry thick sauce top noodles loved actually surprised something once curry very subtle flavors noodles perfectly chewy very hearty dish beef noodles currypotatos nice less soupy also ordered nonfish sushi roll fried kale really yummy bit tiny side also tried fries which sprinkled japanese sesame seasoning fries stayed crispy came aioli dip overall place has much potential bring new flavors food madison scene thought prices very reasonable came out about two us including one beer located square next walgreens super easy find great date night night out friends buzzing fun kind atmosphere ask one back booths more intimacy 
3.0,customer service wasnt absolute best staff isnt friendly during whole dining experience none checked us ensure doing okay constantly flag server down whenever needed anything ordered yellow curry tom ka kai basil eggplant tofu each dish flavorful however vegetables practically raw cooked sauce then threw veggies last minute onions particular too strong avoided eating three dishes 
4.0,authentic chinese restaurant serving lots foods northern china along usual dimsum fried rice options love appetizers beef scallion pancakes cold dishes order by writing numbers paper great idea wish more restaurants do food quality consistently good find use less saltoilmsg than most chinese restaurants portions decent prices midhigh range place isnt fancy night out youre paying quality food more than ambience parking difficult ground level parking garage nearby aware restaurant does get super crowded peak times service overall quality experience might star 
5.0,amazing thai foodeverything ordered went little crazy order chicken satay spring rolls tom yum shrimp soup pad thai spicy basil chicken fried rice delicious authentic flavors portions right delicious courteous staff only min wait take out will definitely return 
4.0,pleasantly surprised food hot delicious each time enjoyed combo rice minus pork kung pao chicken shrimp orange chicken made spicy friend beef broccoli very good dont live far away yet delivery really takes wait sayi think has lot do hot fresh made when order factor 
3.0,after long weekend vegas friend decided grab nice dinner last night craving asian something great inexpensive found satay thai bistro bar yelp google reviews great price reasonable arrived around couple other diners place seated behind couple who kinda loud first date think also very cold inside ac fans blast wasnt even close degrees outside waiter finally came back about mins later asked drink order ordered pepsi flat let slide ordered crab rangoon app amazing yum entree ordered spicy thai basil friend ordered tiger steak food arrived everything hot fresh meal great friend also thought about hers too service overall very slow young guys just messing around by time done eating restaurant empty still waiting check guys still goofing off mean cmon dont get wrong very nice lack little professionalism will return probably maybe take out though 
5.0,hands down best chinese meal since moving great price dont care about cost just taste food really really good orange chicken wife cashew chicken eaten chinese food over world which has spoiled only liking great stuff great only chinese far charlotte liked excellent 
5.0,very nice come every week restaurants clean decorations pretty back home food delicious plenty parking easy access please come see yourself 
5.0,lovely dinner last night great portions fabulous food kind service family thoroughly enjoyed each biteleft overs just yummy house special chicken really good sizzling apparently offer military rate though forgot applied very pleasant experience 
4.0,update changes made havent gone unnoticed past couple months customer service has been great 
1.0,roommate been ordering place over year incredibly loyal encouraged friends order pong pong know own records weve given these guys hundreds dollars business last week when moving completely foodless followed usual routine called pong pong food took hour half get mins delivery driver called us twice yelled us then hung up both times when he finally got he whistled us come get food his car when he didnt bring one meals ordered he simply apologized left roommate ended up having get his car drive get food after waiting over hour pong pong bring us simple two entree order not mention food ordered no onions mushrooms covered both next day called speak manager get money back refused reimburse card told understood wouldnt giving anymore business after trying remedy off next order kidding dont order place used stick up when others food gross service bad apparently really dont care about maintaining report loyal costumers solving problems know economy sucks everyone trying hold onto pennies free meal needed keep steady flow business us multiple friends point id panda express before pong pong 
5.0,maxim perfect spot get soup ive been few times year usually get cravings days when weather cool rainy most recent visit running late actually just turned off open sign however when owners noticed disappointed faces waived us back along couple behind us who just happy receive same treatment alone secures few stars feeding us after hours thanks maxim visit heaping bowl shared by two wonton noodle soup allowed seconds soup contained pork shrimp stuffed wontons broth tasty noodles cooked perfectly ive yet try soup meal wasnt excellent second item pork shrimp pancake which especially order every time more stuffed crape than pancake very good each meal served loads salad items such lettuce cilantro lime mint jalapeños add these meals along any condiments table yes sriracha other items ive enjoyed returning time after time spring rolls pho pho insanely good portion huge share friend only thing little off music played while dinning music serenading cats meowing first thought crying babies nope cats interesting feature will take some getting used least enjoy 
4.0,ive never been fusion restaurant quite service excellent cuisine very original best dishes shu mai dan dan noodles pork buns veg rice tacos westcoaststyle 
5.0,son rick s has already written review wok differed opinions however surprised restaurant empty pm thursday afternoon would thought place would magnet people working savoy perhaps degree days keeping people wandering out eat nothing fancy about restaurant just some basic tables chairs politely greeted upon entering after placing order lunch specials entree fried white rice soda egg roll delighted receive complimentary mini order crab rangoon tasted much better than traditional kind come expect area restaurants presentation meals excellent half sphere fried rice alongside entree kung po chicken great thing noticed most fresh taste vegetables just jumped out celery mushrooms smelled tasted sooooo good daughter ordered chicken egg foo young raved about smelled great when she heated up leftovers today she beaming getting finish meal today asked when would return rick pepper steak onions seemed enjoy used cisavescom certificate which made lunch really cheap three people one more left will certainly use future savoy area looking tasty inexpensive place chinese food wok place 
4.0,portions generous food good service decent prices menu vip goto vietnamese restaurant whenever im area 
2.0,judging reviews high expectations place boyfriend feeling little spendy day very excited try higher tier more expensive sushi restaurant prices expecting high quality unique delicious sushi assuming would specialty judging name place ordered few rolls waitress suggested gyoza dessert gyoza fact delicious best thing ordered night sushi rolls however mediocre fish did not taste fresh presentation nothing special did not even compel take picture not exaggerate ive better tasting more beautifully presented sushi local sushi places even ayce service okay waitress wasnt friendly rarely saw her come by table check up us very disappointed price paid expected something much better probably never going come back 
5.0,looking quality food place cheap then look no furtherspecially students myself great place eat am going through lunch deals far tasted great lunch deal also includes soft drink no refill sell some chinese pottery other merchandise within restaurant case interested restaurant has nice interior well 
5.0,brought family after having great experience during last vegas trip accommodated very large group perfectly no notice food very good around service excelent will likely back every time stop vegas 
4.0,very good quick kind service combo pretty typical food get mongolian beef tad salty still above average id definitely again 
4.0,heard about place yelp being big fans hot pot headed down chandler check out first thing strikes walking very pleasant atmosphere feels more chillout lounge than chinese restaurant nice colored mood lighting some midperiod bjork sound system much nicer than typical chandler ethnic restaurant more date place given small paper menu sushi menu tick off selections pick type liquid youd opted yin yang then select ingredients tongo peppery green pea shoots oysters several kinds mushrooms shrimp bean curd skin pork blood rib eye beef tongue firm tofu everything quite delicious service excellent attentive owner stopped by least three times make sure happy really liked place will definitely back only criticism would portions bit skimpy price would suggest either increasing portion size decreasing price beef tongue order example consisted two paper thin slices beef tongue basically one bite four dollars bit light particularly offal product order soba noodles less than one cup which just seems bit silly ends up working out per person very light meal bit steep chandler since theyve only been open days im willing give benefit doubt portion issue dinner three no alcohol including tip 
4.0,born raised new york city eat lunch regularly get shrimp lobster sauce most often nothing better nyc chinatown price more than reasonable next favorite happy family reality ive never even meh meal nor any friends ive dragged along none been eastcoasters always great taste quality value one little disappointment duck sauce genuine home made just back home has bit preservatives taste find offputting oh well sweet sour superb 
3.0,grew up eating taiwanese food place will surely hit spot anyone else would too weird take too long explain love food service super spotty get nice owner lady youre good hand workers careless 
5.0,place awesome food always fresh hot flavor different other places will coming back time after time hope place sticks around awhile try crab puffs egg rolls die d 
3.0,one hottest restaurants around located within eureka casino east sahara before fat choy chef sheridan su former executive chef comme ca serving great bao most unlikely place nail salon never tried back then aversion smell dining salon fumes never seemed appetizing least bit never tracked down food truck taken sometime travel eastside ive finally done eureka casino nicer than expected heard interesting characters patronize casino however sunday afternoon clean quiet no characters sight not sure what says about felt right home strolled back fat choy took seat waitress brought over menus limited selection no rice noodle dishes selected duck bao tofu mushroom bao after she suggested over pork belly also ordered short rib grilled cheese nutella roti dessert chose plain old diet coke diet dr pepper new soda machine dozens flavors bao came out first duck pork belly brought out order wrong stuck buns steamed perfection pork belly fantastic fat rendered perfectly rich tender filled wonderful pork flavor loved freshness cilantro greens texture crushed peanuts indeed great bao duck delicious too hoisin sauce light didnt overwhelm duck now im curious how mushroom tofu bao would tasty im sure short rib grilled cheese comes provolone cheddar onion jam side marinara sauce im purist when comes grilled cheese id prefer only one type cheese thought two cheeses made bit greasy sourdough bread grilled beautifully short rib tender flavorful onion jam marinara thick tomato paste again not preference still components make enjoyable sandwich husband liked just fine tastebuds just didnt concur nothing notable about fries nutella roti intrigued nutella mascarpone honey walnuts roti whats not love wait turns out waited waited waited wouldve cancelled waitress been around she conveniently disappeared waited waited some more ridiculous asked other waitress she would right up waited waited finally pancake topped goo brought table pancake incredibly greasy aside flavors pretty good definitely not worth wait could more forgiving busy one three tables id hope werent far weeds seven diners patience wore thin refused held hostage bill husband went counter take care eats pretty darn tasty id return more bao id love try duck rice potstickers certainly hope service will improved 
2.0,ordered entree meal orange chicken teriyaki chicken chow mien got home what actually got teriyaki chicken broccoli half fried rice chow mien thought simple enough order still messed up not sure should expected better than what got no wonder get minimum wage 
5.0,dragon legend chinese buffet has huge variety sushi fried chicken fries peking duck dragon legend sure something fancy then some bit pricey want spend little more than usual restaurant then dragon legend somewhere should definitely try would say peking duck one best things get duck cut order made right front also great chicken options such general tao sweet sour lemon sesame chicken which delicious most buffet restaurants really good dinner soso lunch dragon legends good choice both 
5.0,wife decided chinese food christmas after some research yelp noticed great comments high ratings exceeded expectations quality food awesome service could not happier dinning wongs chinese cuisine very clean restaurant excellent staff delicious cuisine size wine glasses strangely small everything else great 
3.0,dim sum restaurant henderson place fairly good worth savings driving way spring mountainchina town dim sum restaurants bring large group people eat lot dishes large variety including bbq pork bao pork buns very good nice flavor good amount pork possibly purchased not made house fried taro dense flavorless probably biggest miss chicken feet these very good not too heavy sauce nice tender shu mai good nice flavor good texture probably purchased fried daikon cake too soft hardly taste daikon sear not up par worked henderson gai lan good nice flavor cooked well shrimp fried rice dim sum value plate no sear rice very few tiny shrimp beef fried ho fan good nice flavor good amount beef steamed short ribs mediocre not outstanding missing fermented black beans sticky rice river leaf good heavy sticky rice only small piece chinese sausage inside sweet buns bread nice light fluffy good texture sweet steamed tofu very good nice flavor light way hit sweet craving end meal without feeling guilty overall good dim sum henderson henderson very whiteamerican area live henderson worth saving trip 
4.0,chino bandidos classic always get number jade red chicken diablo chicken jerk fried rice back beans love heat wash down free snickerdoodle cookie 
5.0,ive been azyun twice both times ive such wonderful time food awesome top must gets truffle fried rice absolutely must get truffle flavour definitely apparent rice cherry tomatoes mushroom compliment dish nicely pork skewers oh fantastic yelp event wish known about much much earlier could eat million these fried chicken must get crispy perfection kimchi nice dont know how describe fantastic dish except youve got get seared tuna rice cake delicious fantastic punch spiciness rice cake complimented seared tuna well what would make even more fantastic rice cake little more crispy mackerel fish lover youd appreciation mackerel what loved about already deboned big brownie points grilled perfection just great dish overall servers very friendly make awesome recommendations ricky manager also very personable friendly would most definitely come back azyun more great eats 
4.0,just tried kami first time today food awesome husband got bento box house special mei fun would say mei fun some best ive ever eaten atmosphere nice staff friendly nice know good chinese thai sushi restaurant right backyard 
4.0,really more stars heres why food very good very authentic good quantity price service has been bad time been service bad decor why did not get better rating 
1.0,just ordered food no less than mins ago food disgusting first upon arrival food deliver driver careless order sauce food cooked spilled out container bottom bag soaking rice soup juice ordered chineses broccoli salty fish disgusting broccoli extremely greasy fish over cooked hard still plenty bones left then order egg flower soup which sigh sad cant even called soup absolutely no flavor extremely thick gooey just smh pushed side giving up tonights dinner most disgusting unsatisfying thai food ever life best thing came out order thai tea 
4.0,place serves up few authentic dishes ordered salty fish chicken fried rice house pan fried noodles few times every time very good 
5.0,saw place yelp wanted try just blown away food beyond amazing everything ordered enjoyed service great server very helpful recommending what order heaven tried restaurants over town by far ranks one best places will business life thank cant wait back 
1.0,remember soup nazi seinfeld what place reminds been coming last years service mediocre best day though food pretty decent let rephrase would not make chinese restaurant la sf china town good chinese noodle house given slim picking vegas put up abuse mediocre service over years complaints venetian customer service largely gone unanswered still given convenience location tolerated such bad service until tonight any case latest episode took place tonight saturday night thought would try get bite by myself when got noticed empty seats bar walked up try sit down hostess promptly kicked out told stand back line amazingly welltrained starved puppy obediently went back line waited turn finally made front line luck would seats bar now taken offered wait side now long line behind course waitress told back end line again what just went back front line now stand back again second time thanked her left without eating when these people going learn end day still about customer service suppose given venetian allows still around spite such consistent persistent subpar service someone must happy guess long paying rents venetian cares about either perhaps acceptable customer service does not matter sleepdeprived gamblers bottom line willing abused mistreated bowl good noodles place being treated human being matters do not come 
4.0,youre looking kind cake noodles drenched mouth watering garlic sauce get back home hawaii place will likely not satisfy craving being mission find awesome cake noodle vegas boba hut has been best far cake noodle itself done near perfection portion generous price reasonable whats problem sauce meat too sweet lacked holeinthewall cantonese flavor putting teriyaki sauce teriyaki chicken top noodles not what looking again noodles alone enough give rating bobs hut clean well located has friendly people didnt try anything else though id definitely come back sample some other things 
1.0,looked great menu ordered online delivery charged then hour later called find out where order cancelledit no delivery people asked why didnt call tell cancelled didnt delivery person say should get money back 
4.0,glad stayed close home skipped panda express general tso chicken made sll yummy white meat will visit again 
4.0,took quite long time meal arrive min however food really tasty ordered chili chicken meal searved rice amount perfect two us youll hard time finding better meal toronto dont mind waiting time looking indian hakka good place wouldve definitely given five star not long wait 
3.0,didnt even get try food disappointing service went during lunch stood around over minutes no one even hi nor acknowledge only tables being waited appeared one waiter only love dim sum would give place try service needs help being service deserves star update second chance trying place sister law wanted check out place im glad did waitress attentive food good 
5.0,been eating restaurant whole life always loved food hasnt changed years jade red chicken obviously favorite cuban black beans jerk fried rice two perfect sides order any meats inside burrito quesadilla too some variety d 
4.0,been more then dozen times has great hospitality great food even ask how spicy want certain orders love mint chicken fried egg kid friendly great business meetingslunch 
1.0,only walked nothing else open saturday night sat down sticky table lady handed us some wet straws ordered calamari appetizer mongolian beef which both way under panda express level mongolian beef drenched sauce calamari came out after finished dinner entree place horrible save yourself trip dont order some room service instead expensive what paid unpleasant meal 
2.0,learned valuable lesson what happens when dont yelp restaurant when traveling noodle shop utter crap overpriced seriously mediocre passed by place looked decent jam packed smiling asian folks thought good sign boy wrong tried seaweed salad deep fried tofu seafood wonton soup roasted duck bbq pork combo bbq pork decent only about four bites serving totally overpriced ice teas bucks course gave pay small side steamed rice rice actually worth price tag really how do fk up rice need waste money torture youre tastebuds then noodle shop will not disappoint gave place second star service good despite being packed 
4.0,love dim sum most favorites sf got one by accident pretty good even got some bao chicken taste never has also order cod fish ala carta which excellent service good even few spoke reasonable english 
3.0,first time going place lot nicer than other karaoke places chinatown walked been greeted by couple bouncers after bouncers checked everyone radio guy see wanted main room private room ended up getting private room first words after sitting down wanted company few guys without any women time no began ordering snacks drinks place pretty clean just kind weird how room didnt wireless mics minimum room which included small private room 
5.0,just outstanding water boiled fish lamb ribs especially recommended just love numbing pepper 
5.0,town business found spot close hotel one best cashew chicken dishes ever tasted made perfectly great flavor sauce hot sour soup also terrific staff beyond courteous friendly wonderful meal compliments chef 
5.0,first time one chef kennys restaurants cant believe waited long nice restaurant able order anything menu vegan also loved sign front door asking people not bring any kind meat products restaurant everyone nice chef kenny came by say hi service exceptional bought groupon could order anything menu except lunch special ordered orange chicken rainbow roll spicy tuna roll fried eggplant fried rice chocolate strawberry ice cream delicious am sure brought non vegan would love much food left over take home which nice lunch next day restaurant also really busy everyone seemed very happy cant wait back 
4.0,quick bite eat today say chinese superb lots flavor fresh vegetables great rice sushi also good say chinese food winner very friendly helpful staff too 
5.0,damn orange chicken good lunch special such great deal when walked felt just walked into ladys home im about get some real home made chinese food lol new spot sure 
4.0,been golden harbor few times done take out few times place great havent even dishes offer far ones been excellent yes crispy tofu amazing crispy orange chicken orange beef very tasty really enjoyed taiwanese salt n pepper crispy chicken one hot pots dont remember which wish did really good also tried crispy cuttlefish salt yolk which very surprised by how good though would too salty quite tasty service always pleasant now system down wait time very reasonable each dish large best lot people way share many dishes looking forward next time get 
1.0,food alright service terrible im right now waiting food been years waiting staff came clean shaven am beginning feel beard growing when do get around most rude foods alright though did mention star rating chalk up worldclass service 
4.0,apparently went different pick up stix than richard chris checks receipt nope same one anyway didnt any trouble doors dont really care too much about color sweet sour sauce long tastes good wasnt expecting anything above beyond panda express asian fast food moderate expectations got better than moderate results food quite good girlfriend who incredibly picky about chicken wings tried house special wings just hours before camelback location while out about wanted more location closer home went picked up stuff aside wings got egg rolls sweet sour chicken wonton soup which very good nothing gourmet about mind very good teresa woman taking orders front counter friendly helpful not overly didnt feel she completely bored world either guys kitchen worked fast got food within very few minutes about what felt wasnt counting picked up counter went way home some delicious food stood up microwave reheating next day lunch not huge variety food what serve seems turn out quite well ive been camelback location couple times first chandler location ive yet disappointed added august went back same location couple nights later try beef teriyaki bowl chicken fried rice again both quite good though too much sauce teriyaki 
4.0,love place staff really sweet food tastes great plus love fact make own fish balls great value 
4.0,enjoyed quaint resto some reason didnt want sit out terrace found romantic inside stone walls surrounding staff service excellent always making sure everything went lunch quiet inside which just loved beef steak which perfection sweet potatoes fries truffles shaved parmesan delish really romantic little spots one gem 
3.0,food not warm enough by time gets table some dishes too salty curry rage friends tried just too much peanut butter sauce noodle soup broths also too salty stars cheap cleaner than most hk cafes flavours easily improved has promise 
1.0,worst food ever tasted chinese restraint hot hell want good chinese restraint chef cheing place zero stars 
3.0,great idea cheap prices food surprisingly good well get lot would definitely recommend checking out place never been do however think food quality lacking little restaurant empty little more care implementation concept place could quality 
