Artist,Song,Date,Current Rank,Last Weeks Position,Weeks on Chart,Peak Position
Mel Gadson,Comin' Down With Love,1960-06-20,75,85,75,4
Conway Twitty,Is A Blue Bird Blue,1960-06-20,76,93,76,2
Frank DeVol And His Rainbow Strings,La Montana (If She Should Come To You),1960-06-20,77,80,77,6
The Flamingos,Nobody Loves Me Like You,1960-06-20,78,65,30,10
Dorothy Collins,Banjo Boy,1960-06-20,79,88,79,2
Marv Johnson,All The Love I've Got,1960-06-20,80,87,80,2
The Everly Brothers,Always It's You,1960-06-20,81,75,56,6
The Four Preps,Got A Girl,1960-06-20,82,62,24,10
The Crests,Trouble In Paradise,1960-06-20,83,90,83,2
Frankie Avalon,Where Are You,1960-06-20,84,89,84,2
Deane Hawley,Look For A Star,1960-06-20,85,0,0,0
Charlie Ryan and the Timberline Riders,Hot Rod Lincoln,1960-06-20,86,-,78,6
The Coasters,"Wake Me, Shake Me",1960-06-20,87,0,0,0
Garry Miles,Look For A Star,1960-06-20,88,0,0,0
Dinah Washington,This Bitter Earth,1960-06-20,89,0,0,0
Bobby Marchan,There's Something On Your Mind (Part 2),1960-06-20,90,99,90,2
Marv Johnson,Ain't Gonna Be That Way,1960-06-20,91,96,91,4
Billy Vaughn And His Orchestra,Look For A Star,1960-06-20,92,0,0,0
Frankie Avalon,Tuxedo Junction,1960-06-20,93,82,82,2
Adam Wade,I Can't Help It,1960-06-20,94,0,0,0
The Kingston Trio,Bad Man Blunder,1960-06-20,95,0,0,0
Donnie Brooks,Mission Bell,1960-06-20,96,84,84,2
Marty Robbins,Is There Any Chance,1960-06-20,97,0,0,0
Johnny Preston,Feel So Fine,1960-06-20,98,0,0,0
Garry Mills,Look For A Star - Part I,1960-06-20,99,0,0,0
Art Mooney And His Orchestra,Banjo Boy,1960-06-20,100,100,100,2
Connie Francis,Everybody's Somebody's Fool,1960-06-27,1,2,1,8
The Everly Brothers,Cathy's Clown,1960-06-27,2,1,1,11
Hollywood Argyles,Alley-Oop,1960-06-27,3,6,3,5
Jack Scott,Burning Bridges,1960-06-27,4,3,3,11
Duane Eddy And The Rebels,Because They're Young,1960-06-27,5,11,5,6
Brenda Lee,I'm Sorry,1960-06-27,6,14,6,5
Dinah Washington & Brook Benton,A Rockin' Good Way (To Mess Around And Fall In Love),1960-06-27,7,13,7,6
Anita Bryant,Paper Roses,1960-06-27,8,7,5,12
Jimmy Jones,Good Timin',1960-06-27,9,4,3,11
Bobby Rydell,Swingin' School,1960-06-27,10,5,5,8
Paul Anka,My Home Town,1960-06-27,11,12,11,6
Sam Cooke,Wonderful World,1960-06-27,12,15,12,8
Ron Holden with The Thunderbirds,Love You So,1960-06-27,13,8,7,13
Paul Evans,Happy-Go-Lucky-Me,1960-06-27,14,16,10,9
The Fendermen,Mule Skinner Blues,1960-06-27,15,21,15,6
Dante and the Evergreens,Alley-Oop,1960-06-27,16,20,16,5
Brenda Lee,That's All You Gotta Do,1960-06-27,17,36,17,4
Ricky Nelson,Young Emotions,1960-06-27,18,18,12,10
Jeanne Black,He'll Have To Stay,1960-06-27,19,9,4,9
Connie Francis,Jealous Of You (Tango Della Gelosia),1960-06-27,20,19,19,6
Bobby Darin,Won't You Come Home Bill Bailey,1960-06-27,21,33,21,6
Elvis Presley With The Jordanaires,Stuck On You,1960-06-27,22,10,1,13
Roy Orbison,Only The Lonely (Know How I Feel),1960-06-27,23,31,23,4
Hank Locklin,"Please Help Me, I'm Falling",1960-06-27,24,34,24,6
Tommy Edwards,I Really Don't Want To Know,1960-06-27,25,30,25,6
Bobby Rydell,Ding-A-Ling,1960-06-27,26,27,18,8
Ella Fitzgerald,Mack The Knife,1960-06-27,27,29,27,9
Jimmy Clanton,Another Sleepless Night,1960-06-27,28,22,22,10
The Fleetwoods,Runaround,1960-06-27,29,41,29,6
Jackie Wilson,Night,1960-06-27,30,17,4,15
Connie Stevens,Sixteen Reasons,1960-06-27,31,24,3,22
The Skyliners,Pennies From Heaven,1960-06-27,32,39,32,8
Skip And Flip,Cherry Pie,1960-06-27,33,26,11,13
Charlie Rich,Lonely Weekends,1960-06-27,34,25,22,16
Percy Faith And His Orchestra,Theme For Young Lovers,1960-06-27,35,42,35,8
The Everly Brothers,When Will I Be Loved,1960-06-27,36,63,36,5
Don Costa And His Orchestra And Chorus,"Theme From ""The Unforgiven"" (The Need For Love)",1960-06-27,37,44,37,9
The Brothers Four,Greenfields,1960-06-27,38,23,2,19
Etta James,All I Could Do Was Cry,1960-06-27,39,40,33,9
Ray Peterson,Tell Laura I Love Her,1960-06-27,40,72,40,3
Paul Anka,Something Happened,1960-06-27,41,47,41,5
Patti Page,One Of Us (Will Weep Tonight),1960-06-27,42,52,42,4
Annette With The Afterbeats,Train Of Love,1960-06-27,43,37,37,4
Pat Boone,Walking The Floor Over You,1960-06-27,44,45,44,6
Johnny Preston,Cradle Of Love,1960-06-27,45,32,7,14
Fats Domino,Walking To New Orleans,1960-06-27,46,57,46,2
Harold Dorman,Mountain Of Love,1960-06-27,47,55,21,18
Jim Reeves,I'm Gettin' Better,1960-06-27,48,60,48,2
Johnny And The Hurricanes,Down Yonder,1960-06-27,49,49,49,5
Pat Boone,Spring Rain,1960-06-27,50,50,50,5
The Beau-Marks,Clap Your Hands,1960-06-27,51,53,51,7
Freddy Cannon,Jump Over,1960-06-27,52,28,28,8
Safaris with The Phantom's Band,Image Of A Girl,1960-06-27,53,62,53,4
Walter Brennan With Billy Vaughn and his Orchestra,Dutchman's Gold,1960-06-27,54,46,30,10
Jackie Wilson,Doggin' Around,1960-06-27,55,35,15,13
Billy Bland,Let The Little Girl Dance,1960-06-27,56,38,7,20
The Drifters,Lonely Winds,1960-06-27,57,64,57,6
Jessie Hill,Ooh Poo Pah Doo - Part II,1960-06-27,58,56,28,14
"Joiner, Arkansas Junior High School Band",National City,1960-06-27,59,58,53,7
Mitchell Torok,Pink Chiffon,1960-06-27,60,61,60,8
Conway Twitty,Is A Blue Bird Blue,1960-06-27,61,76,61,3
"Carl Dobkins, Jr.",Exclusively Yours,1960-06-27,62,65,62,7
Jan And Kjeld,Banjo Boy,1960-06-27,63,70,63,4
Hank Ballard And The Midnighters,Finger Poppin' Time,1960-06-27,64,74,64,7
Dorsey Burnette,Hey Little One,1960-06-27,65,67,65,4
Garry Miles,Look For A Star,1960-06-27,66,88,66,2
Neil Sedaka,Stairway To Heaven,1960-06-27,67,51,9,14
Deane Hawley,Look For A Star,1960-06-27,68,85,68,2
Mel Gadson,Comin' Down With Love,1960-06-27,69,75,69,5
Johnny Horton,Sink The Bismark,1960-06-27,70,43,3,17
Bill Black's Combo,Josephine,1960-06-27,71,0,0,0
Frankie Avalon,Where Are You,1960-06-27,72,84,72,3
Billy Vaughn And His Orchestra,Look For A Star,1960-06-27,73,92,73,2
The Crests,Trouble In Paradise,1960-06-27,74,83,74,3
Marv Johnson,All The Love I've Got,1960-06-27,75,80,75,3
The Kingston Trio,Bad Man Blunder,1960-06-27,76,95,76,2
The Coasters,"Wake Me, Shake Me",1960-06-27,77,87,77,2
Garry Mills,Look For A Star - Part I,1960-06-27,78,99,78,2
Adam Wade,I Can't Help It,1960-06-27,79,94,79,2
Bobby Marchan,There's Something On Your Mind (Part 2),1960-06-27,80,90,80,3
Dinah Washington,This Bitter Earth,1960-06-27,81,89,81,2
Marv Johnson,Ain't Gonna Be That Way,1960-06-27,82,91,82,5
Marty Robbins,Is There Any Chance,1960-06-27,83,97,83,2
Dorothy Collins,Banjo Boy,1960-06-27,84,79,79,3
Lloyd Price and His Orchestra,Question,1960-06-27,85,0,0,0
James Brown And The Famous Flames,You've Got The Power,1960-06-27,86,0,0,0
Little Willie John,Heartbreak (It's Hurtin' Me),1960-06-27,87,-,77,4
Jimmy Reed,Found Love,1960-06-27,88,-,88,3
Red River Dave,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),1960-06-27,89,0,0,0
Jon Thomas and Orchestra,Heartbreak (It's Hurtin' Me),1960-06-27,90,-,90,3
Johnny Mathis,Maria,1960-06-27,91,-,91,2
Ray Charles and his Orchestra,Sticks And Stones,1960-06-27,92,0,0,0
Henry Mancini,Mr. Lucky,1960-06-27,93,48,21,13
James Brown And The Famous Flames,Think,1960-06-27,94,-,33,8
Johnny Preston,Feel So Fine,1960-06-27,95,98,95,2
Fats Domino,Don't Come Knockin',1960-06-27,96,0,0,0
Billy Bland,You Were Born To Be Loved,1960-06-27,97,0,0,0
Shirley and Lee,I've Been Loved Before,1960-06-27,98,0,0,0
The Videls,Mister Lonely,1960-06-27,99,73,73,3
Donnie Brooks,Mission Bell,1960-06-27,100,96,84,3
Connie Francis,Everybody's Somebody's Fool,1960-07-04,1,1,1,9
Hollywood Argyles,Alley-Oop,1960-07-04,2,3,2,6
Brenda Lee,I'm Sorry,1960-07-04,3,6,3,6
Duane Eddy And The Rebels,Because They're Young,1960-07-04,4,5,4,7
The Everly Brothers,Cathy's Clown,1960-07-04,5,2,1,12
Brenda Lee,That's All You Gotta Do,1960-07-04,6,17,6,5
Jack Scott,Burning Bridges,1960-07-04,7,4,3,12
Paul Anka,My Home Town,1960-07-04,8,11,8,7
The Fendermen,Mule Skinner Blues,1960-07-04,9,15,9,7
Dinah Washington & Brook Benton,A Rockin' Good Way (To Mess Around And Fall In Love),1960-07-04,10,7,7,7
Roy Orbison,Only The Lonely (Know How I Feel),1960-07-04,11,23,11,5
Sam Cooke,Wonderful World,1960-07-04,12,12,12,9
Anita Bryant,Paper Roses,1960-07-04,13,8,5,13
Paul Evans,Happy-Go-Lucky-Me,1960-07-04,14,14,10,10
Dante and the Evergreens,Alley-Oop,1960-07-04,15,16,15,6
Hank Locklin,"Please Help Me, I'm Falling",1960-07-04,16,24,16,7
Jimmy Jones,Good Timin',1960-07-04,17,9,3,12
Tommy Edwards,I Really Don't Want To Know,1960-07-04,18,25,18,7
Bobby Darin,Won't You Come Home Bill Bailey,1960-07-04,19,21,19,7
The Everly Brothers,When Will I Be Loved,1960-07-04,20,36,20,6
Bobby Rydell,Swingin' School,1960-07-04,21,10,5,9
Ray Peterson,Tell Laura I Love Her,1960-07-04,22,40,22,4
Connie Francis,Jealous Of You (Tango Della Gelosia),1960-07-04,23,20,19,7
Ron Holden with The Thunderbirds,Love You So,1960-07-04,24,13,7,14
The Fleetwoods,Runaround,1960-07-04,25,29,25,7
Ricky Nelson,Young Emotions,1960-07-04,26,18,12,11
Don Costa And His Orchestra And Chorus,"Theme From ""The Unforgiven"" (The Need For Love)",1960-07-04,27,37,27,10
Ella Fitzgerald,Mack The Knife,1960-07-04,28,27,27,10
The Skyliners,Pennies From Heaven,1960-07-04,29,32,29,9
Jeanne Black,He'll Have To Stay,1960-07-04,30,19,4,10
Fats Domino,Walking To New Orleans,1960-07-04,31,46,31,3
Bobby Rydell,Ding-A-Ling,1960-07-04,32,26,18,9
Bill Black's Combo,Josephine,1960-07-04,33,71,33,2
Patti Page,One Of Us (Will Weep Tonight),1960-07-04,34,42,34,5
Garry Miles,Look For A Star,1960-07-04,35,66,35,3
Jimmy Clanton,Another Sleepless Night,1960-07-04,36,28,22,11
Deane Hawley,Look For A Star,1960-07-04,37,68,37,3
Annette With The Afterbeats,Train Of Love,1960-07-04,38,43,37,5
Elvis Presley With The Jordanaires,Stuck On You,1960-07-04,39,22,1,14
Connie Stevens,Sixteen Reasons,1960-07-04,40,31,3,23
Paul Anka,Something Happened,1960-07-04,41,41,41,6
Jim Reeves,I'm Gettin' Better,1960-07-04,42,48,42,3
Safaris with The Phantom's Band,Image Of A Girl,1960-07-04,43,53,43,5
Jackie Wilson,Night,1960-07-04,44,30,4,16
The Brothers Four,Greenfields,1960-07-04,45,38,2,20
Bobby Marchan,There's Something On Your Mind (Part 2),1960-07-04,46,80,46,4
Charlie Rich,Lonely Weekends,1960-07-04,47,34,22,17
Johnny And The Hurricanes,Down Yonder,1960-07-04,48,49,48,6
The Beau-Marks,Clap Your Hands,1960-07-04,49,51,49,8
Conway Twitty,Is A Blue Bird Blue,1960-07-04,50,61,50,4
Etta James,All I Could Do Was Cry,1960-07-04,51,39,33,10
Percy Faith And His Orchestra,Theme For Young Lovers,1960-07-04,52,35,35,9
Pat Boone,Walking The Floor Over You,1960-07-04,53,44,44,7
The Drifters,Lonely Winds,1960-07-04,54,57,54,7
Jackie Wilson,Doggin' Around,1960-07-04,55,55,15,14
Billy Vaughn And His Orchestra,Look For A Star,1960-07-04,56,73,56,3
Skip And Flip,Cherry Pie,1960-07-04,57,33,11,14
Jan And Kjeld,Banjo Boy,1960-07-04,58,63,58,5
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960-07-04,59,0,0,0
Hank Ballard And The Midnighters,Finger Poppin' Time,1960-07-04,60,64,60,8
Dorsey Burnette,Hey Little One,1960-07-04,61,65,61,5
Garry Mills,Look For A Star - Part I,1960-07-04,62,78,62,3
Pat Boone,Spring Rain,1960-07-04,63,50,50,6
Jessie Hill,Ooh Poo Pah Doo - Part II,1960-07-04,64,58,28,15
Marv Johnson,All The Love I've Got,1960-07-04,65,75,65,4
The Kingston Trio,Bad Man Blunder,1960-07-04,66,76,66,3
Frankie Avalon,Where Are You,1960-07-04,67,72,67,4
The Crests,Trouble In Paradise,1960-07-04,68,74,68,4
Adam Wade,I Can't Help It,1960-07-04,69,79,69,3
Walter Brennan With Billy Vaughn and his Orchestra,Dutchman's Gold,1960-07-04,70,54,30,11
The Coasters,"Wake Me, Shake Me",1960-07-04,71,77,71,3
Johnny Horton,Sink The Bismark,1960-07-04,72,70,3,18
Johnny Preston,Cradle Of Love,1960-07-04,73,45,7,15
Marv Johnson,Ain't Gonna Be That Way,1960-07-04,74,82,74,6
Dinah Washington,This Bitter Earth,1960-07-04,75,81,75,3
Marty Robbins,Is There Any Chance,1960-07-04,76,83,76,3
Freddy Cannon,Jump Over,1960-07-04,77,52,28,9
The Brothers Four,My Tani,1960-07-04,78,0,0,0
Donnie Brooks,Mission Bell,1960-07-04,79,100,79,4
Lloyd Price and His Orchestra,Question,1960-07-04,80,85,80,2
Red River Dave,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),1960-07-04,81,89,81,2
Johnny Horton,Johnny Freedom,1960-07-04,82,0,0,0
Little Willie John,Heartbreak (It's Hurtin' Me),1960-07-04,83,87,77,5
Johnny Mathis,Maria,1960-07-04,84,91,84,3
"Joiner, Arkansas Junior High School Band",National City,1960-07-04,85,59,53,8
Ray Charles and his Orchestra,Sticks And Stones,1960-07-04,86,92,86,2
"Carl Dobkins, Jr.",Exclusively Yours,1960-07-04,87,62,62,8
Harold Dorman,Mountain Of Love,1960-07-04,88,47,21,19
Jon Thomas and Orchestra,Heartbreak (It's Hurtin' Me),1960-07-04,89,90,89,4
Fats Domino,Don't Come Knockin',1960-07-04,90,96,90,2
Joanie Sommers,One Boy,1960-07-04,91,0,0,0
Johnny Preston,Feel So Fine,1960-07-04,92,95,92,3
Andy Williams,Do You Mind?,1960-07-04,93,0,0,0
Billy Bland,You Were Born To Be Loved,1960-07-04,94,97,94,2
The Bobbettes,I Shot Mr. Lee,1960-07-04,95,0,0,0
Johnny Cash,Second Honeymoon,1960-07-04,96,0,0,0
Neil Sedaka,Stairway To Heaven,1960-07-04,97,67,9,15
Connie Stevens,Too Young To Go Steady,1960-07-04,98,0,0,0
Mitchell Torok,Pink Chiffon,1960-07-04,99,60,60,9
The Demensions,Over The Rainbow,1960-07-04,100,0,0,0
Hollywood Argyles,Alley-Oop,1960-07-11,1,2,1,7
Brenda Lee,I'm Sorry,1960-07-11,2,3,2,7
Connie Francis,Everybody's Somebody's Fool,1960-07-11,3,1,1,10
Duane Eddy And The Rebels,Because They're Young,1960-07-11,4,4,4,8
The Fendermen,Mule Skinner Blues,1960-07-11,5,9,5,8
Roy Orbison,Only The Lonely (Know How I Feel),1960-07-11,6,11,6,6
Brenda Lee,That's All You Gotta Do,1960-07-11,7,6,6,6
Paul Anka,My Home Town,1960-07-11,8,8,8,8
Dinah Washington & Brook Benton,A Rockin' Good Way (To Mess Around And Fall In Love),1960-07-11,9,10,7,8
The Everly Brothers,When Will I Be Loved,1960-07-11,10,20,10,7
Jack Scott,Burning Bridges,1960-07-11,11,7,3,13
Ray Peterson,Tell Laura I Love Her,1960-07-11,12,22,12,5
The Everly Brothers,Cathy's Clown,1960-07-11,13,5,1,13
Hank Locklin,"Please Help Me, I'm Falling",1960-07-11,14,16,14,8
Dante and the Evergreens,Alley-Oop,1960-07-11,15,15,15,7
Anita Bryant,Paper Roses,1960-07-11,16,13,5,14
Safaris with The Phantom's Band,Image Of A Girl,1960-07-11,17,43,17,6
Sam Cooke,Wonderful World,1960-07-11,18,12,12,10
Paul Evans,Happy-Go-Lucky-Me,1960-07-11,19,14,10,11
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960-07-11,20,59,20,2
Fats Domino,Walking To New Orleans,1960-07-11,21,31,21,4
Ron Holden with The Thunderbirds,Love You So,1960-07-11,22,24,7,15
The Fleetwoods,Runaround,1960-07-11,23,25,23,8
Connie Francis,Jealous Of You (Tango Della Gelosia),1960-07-11,24,23,19,8
Garry Miles,Look For A Star,1960-07-11,25,35,25,4
The Skyliners,Pennies From Heaven,1960-07-11,26,29,26,10
Don Costa And His Orchestra And Chorus,"Theme From ""The Unforgiven"" (The Need For Love)",1960-07-11,27,27,27,11
Bill Black's Combo,Josephine,1960-07-11,28,33,28,3
Tommy Edwards,I Really Don't Want To Know,1960-07-11,29,18,18,8
Bobby Darin,Won't You Come Home Bill Bailey,1960-07-11,30,19,19,8
Patti Page,One Of Us (Will Weep Tonight),1960-07-11,31,34,31,6
Deane Hawley,Look For A Star,1960-07-11,32,37,32,4
Bobby Marchan,There's Something On Your Mind (Part 2),1960-07-11,33,46,33,5
Donnie Brooks,Mission Bell,1960-07-11,34,79,34,5
Jimmy Jones,Good Timin',1960-07-11,35,17,3,13
Annette With The Afterbeats,Train Of Love,1960-07-11,36,38,36,6
Jim Reeves,I'm Gettin' Better,1960-07-11,37,42,37,4
Bobby Rydell,Swingin' School,1960-07-11,38,21,5,10
Ella Fitzgerald,Mack The Knife,1960-07-11,39,28,27,11
Conway Twitty,Is A Blue Bird Blue,1960-07-11,40,50,40,5
Ricky Nelson,Young Emotions,1960-07-11,41,26,12,12
Dinah Washington,This Bitter Earth,1960-07-11,42,75,42,4
Bobby Rydell,Ding-A-Ling,1960-07-11,43,32,18,10
Jimmy Clanton,Another Sleepless Night,1960-07-11,44,36,22,12
The Beau-Marks,Clap Your Hands,1960-07-11,45,49,45,9
Billy Vaughn And His Orchestra,Look For A Star,1960-07-11,46,56,46,4
Jackie Wilson,Doggin' Around,1960-07-11,47,55,15,15
Etta James,All I Could Do Was Cry,1960-07-11,48,51,33,11
Jeanne Black,He'll Have To Stay,1960-07-11,49,30,4,11
Elvis Presley With The Jordanaires,Stuck On You,1960-07-11,50,39,1,15
Paul Anka,Something Happened,1960-07-11,51,41,41,7
Fats Domino,Don't Come Knockin',1960-07-11,52,90,52,3
Hank Ballard And The Midnighters,Finger Poppin' Time,1960-07-11,53,60,53,9
Pat Boone,Spring Rain,1960-07-11,54,63,50,7
Dorsey Burnette,Hey Little One,1960-07-11,55,61,55,6
Garry Mills,Look For A Star - Part I,1960-07-11,56,62,56,4
The Crests,Trouble In Paradise,1960-07-11,57,68,57,5
Lloyd Price and His Orchestra,Question,1960-07-11,58,80,58,3
Jan And Kjeld,Banjo Boy,1960-07-11,59,58,58,6
Frankie Avalon,Where Are You,1960-07-11,60,67,60,5
Connie Stevens,Sixteen Reasons,1960-07-11,61,40,3,24
Johnny And The Hurricanes,Down Yonder,1960-07-11,62,48,48,7
Marv Johnson,All The Love I've Got,1960-07-11,63,65,63,5
The Kingston Trio,Bad Man Blunder,1960-07-11,64,66,64,4
Charlie Rich,Lonely Weekends,1960-07-11,65,47,22,18
Ray Charles and his Orchestra,Sticks And Stones,1960-07-11,66,86,66,3
The Drifters,Lonely Winds,1960-07-11,67,54,54,8
Adam Wade,I Can't Help It,1960-07-11,68,69,68,4
The Coasters,"Wake Me, Shake Me",1960-07-11,69,71,69,4
Jackie Wilson,Night,1960-07-11,70,44,4,17
Marty Robbins,Is There Any Chance,1960-07-11,71,76,71,4
Percy Faith And His Orchestra,Theme For Young Lovers,1960-07-11,72,52,35,10
Johnny Preston,Feel So Fine,1960-07-11,73,92,73,4
Johnny Horton,Johnny Freedom,1960-07-11,74,82,74,2
The Brothers Four,My Tani,1960-07-11,75,78,75,2
Red River Dave,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),1960-07-11,76,81,76,3
Little Willie John,Heartbreak (It's Hurtin' Me),1960-07-11,77,83,77,6
Johnny Mathis,Maria,1960-07-11,78,84,78,4
Bobby Darin,I'll Be There,1960-07-11,79,0,0,0
Jackie Wilson,(You Were Made For) All My Love,1960-07-11,80,0,0,0
Andy Williams,Do You Mind?,1960-07-11,81,93,81,2
The Everly Brothers,Be Bop A-Lula,1960-07-11,82,0,0,0
Jessie Hill,Ooh Poo Pah Doo - Part II,1960-07-11,83,64,28,16
Pat Boone,Walking The Floor Over You,1960-07-11,84,53,44,8
Joanie Sommers,One Boy,1960-07-11,85,91,85,2
Johnny Cash,Second Honeymoon,1960-07-11,86,96,86,2
Connie Stevens,Too Young To Go Steady,1960-07-11,87,98,87,2
The Bobbettes,I Shot Mr. Lee,1960-07-11,88,95,88,2
Johnny Cash And The Tennessee Two,Down The Street To 301,1960-07-11,89,0,0,0
Jackie Wilson,"A Woman, A Lover, A Friend",1960-07-11,90,0,0,0
Freddy Cannon,Jump Over,1960-07-11,91,77,28,10
Charlie Ryan and the Timberline Riders,Hot Rod Lincoln,1960-07-11,92,-,78,7
Walter Brennan With Billy Vaughn and his Orchestra,Dutchman's Gold,1960-07-11,93,70,30,12
Anita Bryant,In My Little Corner Of The World,1960-07-11,94,0,0,0
Marv Johnson,Ain't Gonna Be That Way,1960-07-11,95,74,74,7
Shirley and Lee,I've Been Loved Before,1960-07-11,96,-,96,2
The Demensions,Over The Rainbow,1960-07-11,97,100,97,2
Jimmy Jones,That's When I Cried,1960-07-11,98,0,0,0
Skip And Flip,Cherry Pie,1960-07-11,99,57,11,15
Guy Mitchell,My Shoes Keep Walking Back To You,1960-07-11,100,0,0,0
Brenda Lee,I'm Sorry,1960-07-18,1,2,1,8
Hollywood Argyles,Alley-Oop,1960-07-18,2,1,1,8
Connie Francis,Everybody's Somebody's Fool,1960-07-18,3,3,1,11
Roy Orbison,Only The Lonely (Know How I Feel),1960-07-18,4,6,4,7
Duane Eddy And The Rebels,Because They're Young,1960-07-18,5,4,4,9
Brenda Lee,That's All You Gotta Do,1960-07-18,6,7,6,7
The Fendermen,Mule Skinner Blues,1960-07-18,7,5,5,9
The Everly Brothers,When Will I Be Loved,1960-07-18,8,10,8,8
Ray Peterson,Tell Laura I Love Her,1960-07-18,9,12,9,6
Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960-07-18,10,20,10,3
Dinah Washington & Brook Benton,A Rockin' Good Way (To Mess Around And Fall In Love),1960-07-18,11,9,7,9
Paul Anka,My Home Town,1960-07-18,12,8,8,9
Fats Domino,Walking To New Orleans,1960-07-18,13,21,13,5
Safaris with The Phantom's Band,Image Of A Girl,1960-07-18,14,17,14,7
Hank Locklin,"Please Help Me, I'm Falling",1960-07-18,15,14,14,9
The Everly Brothers,Cathy's Clown,1960-07-18,16,13,1,14
Sam Cooke,Wonderful World,1960-07-18,17,18,12,11
Bill Black's Combo,Josephine,1960-07-18,18,28,18,4
Jack Scott,Burning Bridges,1960-07-18,19,11,3,14
Dante and the Evergreens,Alley-Oop,1960-07-18,20,15,15,8
Ron Holden with The Thunderbirds,Love You So,1960-07-18,21,22,7,16
Garry Miles,Look For A Star,1960-07-18,22,25,22,5
Anita Bryant,Paper Roses,1960-07-18,23,16,5,15
The Skyliners,Pennies From Heaven,1960-07-18,24,26,24,11
Donnie Brooks,Mission Bell,1960-07-18,25,34,25,6
The Crests,Trouble In Paradise,1960-07-18,26,57,26,6
Connie Francis,Jealous Of You (Tango Della Gelosia),1960-07-18,27,24,19,9
Hank Ballard And The Midnighters,Finger Poppin' Time,1960-07-18,28,53,28,10
Paul Evans,Happy-Go-Lucky-Me,1960-07-18,29,19,10,12
Deane Hawley,Look For A Star,1960-07-18,30,32,30,5
Bobby Marchan,There's Something On Your Mind (Part 2),1960-07-18,31,33,31,6
Bobby Darin,Won't You Come Home Bill Bailey,1960-07-18,32,30,19,9
The Fleetwoods,Runaround,1960-07-18,33,23,23,9
Don Costa And His Orchestra And Chorus,"Theme From ""The Unforgiven"" (The Need For Love)",1960-07-18,34,27,27,12
Conway Twitty,Is A Blue Bird Blue,1960-07-18,35,40,35,6
Lloyd Price and His Orchestra,Question,1960-07-18,36,58,36,4
Dinah Washington,This Bitter Earth,1960-07-18,37,42,37,5
Fats Domino,Don't Come Knockin',1960-07-18,38,52,38,4
Billy Vaughn And His Orchestra,Look For A Star,1960-07-18,39,46,39,5
Garry Mills,Look For A Star - Part I,1960-07-18,40,56,40,5
Johnny Preston,Feel So Fine,1960-07-18,41,73,41,5
Jim Reeves,I'm Gettin' Better,1960-07-18,42,37,37,5
Ray Charles and his Orchestra,Sticks And Stones,1960-07-18,43,66,43,4
Elvis Presley With The Jordanaires,It's Now Or Never,1960-07-18,44,0,0,0
Tommy Edwards,I Really Don't Want To Know,1960-07-18,45,29,18,9
Bobby Rydell,Swingin' School,1960-07-18,46,38,5,11
Paul Anka,Something Happened,1960-07-18,47,51,41,8
Patti Page,One Of Us (Will Weep Tonight),1960-07-18,48,31,31,7
The Beau-Marks,Clap Your Hands,1960-07-18,49,45,45,10
Dorsey Burnette,Hey Little One,1960-07-18,50,55,50,7
Frankie Avalon,Where Are You,1960-07-18,51,60,51,6
Ella Fitzgerald,Mack The Knife,1960-07-18,52,39,27,12
Jimmy Jones,Good Timin',1960-07-18,53,35,3,14
Annette With The Afterbeats,Train Of Love,1960-07-18,54,36,36,7
Etta James,All I Could Do Was Cry,1960-07-18,55,48,33,12
Ricky Nelson,Young Emotions,1960-07-18,56,41,12,13
Charlie Rich,Lonely Weekends,1960-07-18,57,65,22,19
Bobby Rydell,Ding-A-Ling,1960-07-18,58,43,18,11
The Coasters,"Wake Me, Shake Me",1960-07-18,59,69,59,5
Bobby Rydell,Volare,1960-07-18,60,0,0,0
Anita Bryant,In My Little Corner Of The World,1960-07-18,61,94,61,2
Jackie Wilson,(You Were Made For) All My Love,1960-07-18,62,80,62,2
Jimmy Clanton,Another Sleepless Night,1960-07-18,63,44,22,13
Adam Wade,I Can't Help It,1960-07-18,64,68,64,5
The Kingston Trio,Bad Man Blunder,1960-07-18,65,64,64,5
Marty Robbins,Is There Any Chance,1960-07-18,66,71,66,5
Marv Johnson,All The Love I've Got,1960-07-18,67,63,63,6
Red River Dave,There's A Star Spangled Banner Waving #2 (The Ballad Of Francis Powers),1960-07-18,68,76,68,4
Johnny Horton,Johnny Freedom,1960-07-18,69,74,69,3
Jon Thomas and Orchestra,Heartbreak (It's Hurtin' Me),1960-07-18,70,-,70,5
Andy Williams,Do You Mind?,1960-07-18,71,81,71,3
The Brothers Four,My Tani,1960-07-18,72,75,72,3
The Bobbettes,I Shot Mr. Lee,1960-07-18,73,88,73,3
The Everly Brothers,Be Bop A-Lula,1960-07-18,74,82,74,2
Little Willie John,Heartbreak (It's Hurtin' Me),1960-07-18,75,77,75,7
Johnny And The Hurricanes,Down Yonder,1960-07-18,76,62,48,8
Jan And Kjeld,Banjo Boy,1960-07-18,77,59,58,7
The Demensions,Over The Rainbow,1960-07-18,78,97,78,3
