countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Lauderdale County (AL),05000US01077,-87.6509966,34.9041221,92318,NA,NA,NA,NA,NA,NA,1678,4841,22912,17777,13815,12965,41.6,0.4424,43427,25.3,23.6699669966997,2017,1,1077,Lauderdale County (AL),90380,12395,10212,14578,"10,212 to 14,578",13.7,11.3,16.1,11.3 to 16.1,18177,3423,2621,4225,"2,621 to 4,225",18.8,14.4,23.2,14.4 to 23.2,13476,2349,1731,2967,"1,731 to 2,967",17.4,12.8,22.0,12.8 to 22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$46,646","$42,318","$50,974","$42,318 to $50,974"
Lee County (AL),05000US01081,-85.3530477,32.6040644,158991,NA,NA,NA,NA,NA,NA,2683,7493,21014,28516,33905,29192,31.0,0.4773,48056,29.3,13.1701317518617,2017,1,1081,Lee County (AL),156526,27901,24191,31611,"24,191 to 31,611",17.8,15.4,20.2,15.4 to 20.2,34003,6512,5297,7727,"5,297 to 7,727",19.2,15.6,22.8,15.6 to 22.8,24622,4703,3787,5619,"3,787 to 5,619",19.1,15.4,22.8,15.4 to 22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,372","$47,509","$55,235","$47,509 to $55,235"
Limestone County (AL),05000US01083,-86.9813995,34.8102387,92753,NA,NA,NA,NA,NA,NA,2061,8374,19322,18124,14228,11995,38.8,0.4602,50872,27.9,16.6436637390213,2017,1,1083,Limestone County (AL),91333,10830,8715,12945,"8,715 to 12,945",11.9,9.6,14.2,9.6 to 14.2,21277,3512,2718,4306,"2,718 to 4,306",16.5,12.8,20.2,12.8 to 20.2,16000,2476,1891,3061,"1,891 to 3,061",15.5,11.8,19.2,11.8 to 19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$57,342","$52,754","$61,930","$52,754 to $61,930"
Madison County (AL),05000US01089,-86.5510803,34.7642377,356967,243688,87415,8383,2547,250,4835,5829,14080,55090,66161,98936,49174,38.8,0.4803,60503,29.2,11.7492291308494,2017,1,1089,Madison County (AL),352724,44979,39979,49979,"39,979 to 49,979",12.8,11.4,14.2,11.4 to 14.2,78511,14232,12198,16266,"12,198 to 16,266",18.1,15.5,20.7,15.5 to 20.7,57820,8899,7314,10484,"7,314 to 10,484",15.4,12.7,18.1,12.7 to 18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,750","$60,151","$65,349","$60,151 to $65,349"
Marshall County (AL),05000US01095,-86.3216681,34.3095637,95157,NA,NA,NA,NA,NA,NA,3284,7053,21479,21168,10531,21870,38.0,0.4788,42362,29.4,19.3082992570408,2017,1,1095,Marshall County (AL),94129,18873,16682,21064,"16,682 to 21,064",20.1,17.8,22.4,17.8 to 22.4,23402,7347,6429,8265,"6,429 to 8,265",31.4,27.5,35.3,27.5 to 35.3,16980,5176,4453,5899,"4,453 to 5,899",30.5,26.2,34.8,26.2 to 34.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,751","$38,920","$46,582","$38,920 to $46,582"
Mobile County (AL),05000US01097,-88.1965684,30.684573,414836,243284,148001,8269,3328,20,4702,4425,29557,89541,85667,65919,78468,37.4,0.4756,45744,31.1,22.5619030043082,2017,1,1097,Mobile County (AL),406795,80116,72072,88160,"72,072 to 88,160",19.7,17.7,21.7,17.7 to 21.7,96283,30256,26319,34193,"26,319 to 34,193",31.4,27.3,35.5,27.3 to 35.5,69451,20496,17636,23356,"17,636 to 23,356",29.5,25.4,33.6,25.4 to 33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,615","$42,959","$48,271","$42,959 to $48,271"
Montgomery County (AL),05000US01101,-86.2038308,32.2036505,226349,81740,130006,5753,339,36,3774,3958,15674,36639,44409,48055,39278,36.4,0.5013,45395,32.4,18.4438548008852,2017,1,1101,Montgomery County (AL),217404,46315,41097,51533,"41,097 to 51,533",21.3,18.9,23.7,18.9 to 23.7,52645,17748,15545,19951,"15,545 to 19,951",33.7,29.5,37.9,29.5 to 37.9,37574,11941,10198,13684,"10,198 to 13,684",31.8,27.2,36.4,27.2 to 36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,833","$43,205","$48,461","$43,205 to $48,461"
Morgan County (AL),05000US01103,-86.8464021,34.4544844,119012,93591,14431,1076,763,0,6454,3238,9033,24468,25545,16219,19679,40.7,0.4814,44378,23.2,24.6898429132453,2017,1,1103,Morgan County (AL),116631,17301,14537,20065,"14,537 to 20,065",14.8,12.4,17.2,12.4 to 17.2,26703,5528,4388,6668,"4,388 to 6,668",20.7,16.4,25,16.4 to 25.0,19829,3759,2885,4633,"2,885 to 4,633",19,14.6,23.4,14.6 to 23.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,274","$45,438","$53,110","$45,438 to $53,110"
St. Clair County (AL),05000US01115,-86.3156631,33.7129627,88019,NA,NA,NA,NA,NA,NA,1352,7856,22149,17659,10665,8971,40.3,0.3772,60158,28,17.1880436501661,2017,1,1115,St. Clair County (AL),86337,11644,9716,13572,"9,716 to 13,572",13.5,11.3,15.7,11.3 to 15.7,19920,3506,2732,4280,"2,732 to 4,280",17.6,13.7,21.5,13.7 to 21.5,14644,2442,1837,3047,"1,837 to 3,047",16.7,12.6,20.8,12.6 to 20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,755","$49,054","$56,456","$49,054 to $56,456"
Shelby County (AL),05000US01117,-86.6781042,33.2629366,210622,168484,24066,4535,211,197,8566,1709,7885,27924,43895,60429,16706,38.9,0.4305,73647,24.3,8.63014238946081,2017,1,1117,Shelby County (AL),210737,15585,13045,18125,"13,045 to 18,125",7.4,6.2,8.6,6.2 to 8.6,50223,4547,3570,5524,"3,570 to 5,524",9.1,7.2,11,7.2 to 11.0,37795,3405,2692,4118,"2,692 to 4,118",9,7.1,10.9,7.1 to 10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$74,098","$70,854","$77,342","$70,854 to $77,342"
Talladega County (AL),05000US01121,-86.1758045,33.3692774,80103,NA,NA,NA,NA,NA,NA,1484,7572,18221,19081,8402,12706,40.8,0.451,39393,28.2,22.0325538598217,2017,1,1121,Talladega County (AL),76911,14062,11743,16381,"11,743 to 16,381",18.3,15.3,21.3,15.3 to 21.3,16607,4568,3705,5431,"3,705 to 5,431",27.5,22.3,32.7,22.3 to 32.7,12428,3233,2583,3883,"2,583 to 3,883",26,20.8,31.2,20.8 to 31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,733","$38,115","$45,351","$38,115 to $45,351"
Tuscaloosa County (AL),05000US01125,-87.5228598,33.2902022,206102,NA,NA,NA,NA,NA,NA,2513,10441,35820,39734,38466,34792,32.9,0.4748,47787,32.9,19.6247883508297,2017,1,1125,Tuscaloosa County (AL),196976,31238,26919,35557,"26,919 to 35,557",15.9,13.7,18.1,13.7 to 18.1,43216,8517,6803,10231,"6,803 to 10,231",19.7,15.7,23.7,15.7 to 23.7,30822,6123,4792,7454,"4,792 to 7,454",19.9,15.6,24.2,15.6 to 24.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,644","$49,316","$53,972","$49,316 to $53,972"
Walker County (AL),05000US01127,-87.3010918,33.7915714,64967,NA,NA,NA,NA,NA,NA,1964,5733,17432,13423,5016,13919,41.8,0.438,39068,31.8,23.7941583204124,2017,1,1127,Walker County (AL),63079,10975,9274,12676,"9,274 to 12,676",17.4,14.7,20.1,14.7 to 20.1,13944,3172,2385,3959,"2,385 to 3,959",22.7,17.1,28.3,17.1 to 28.3,10109,2060,1450,2670,"1,450 to 2,670",20.4,14.4,26.4,14.4 to 26.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,925","$38,785","$45,065","$38,785 to $45,065"
Benton County (AR),05000US05007,-94.2561871,36.3378246,258291,228649,3896,9343,2656,1350,3509,7268,9534,49236,45237,54165,22874,35.4,0.4329,63631,22.2,14.9300484686858,2017,5,5007,Benton County (AR),263640,24110,20547,27673,"20,547 to 27,673",9.1,7.7,10.5,7.7 to 10.5,69860,8105,6298,9912,"6,298 to 9,912",11.6,9.0,14.2,9.0 to 14.2,51125,5588,4233,6943,"4,233 to 6,943",10.9,8.2,13.6,8.2 to 13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$64,728","$61,787","$67,669","$61,787 to $67,669"
Craighead County (AR),05000US05031,-90.6304114,35.8282682,105835,NA,NA,NA,NA,NA,NA,1942,4798,25343,18204,15874,16602,34.5,0.5027,43678,27,16.3489312536106,2017,5,5031,Craighead County (AR),103307,15354,12672,18036,"12,672 to 18,036",14.9,12.3,17.5,12.3 to 17.5,26387,5145,3822,6468,"3,822 to 6,468",19.5,14.5,24.5,14.5 to 24.5,18663,3509,2515,4503,"2,515 to 4,503",18.8,13.5,24.1,13.5 to 24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$49,355","$46,377","$52,333","$46,377 to $52,333"
Faulkner County (AR),05000US05045,-92.3246543,35.1463563,122227,100295,12771,1404,277,739,2809,900,4581,23926,22803,21557,22285,33.1,0.4724,48506,29.3,15.8789009189337,2017,5,5045,Faulkner County (AR),119041,15941,13457,18425,"13,457 to 18,425",13.4,11.3,15.5,11.3 to 15.5,28357,4188,3207,5169,"3,207 to 5,169",14.8,11.3,18.3,11.3 to 18.3,20822,2876,2114,3638,"2,114 to 3,638",13.8,10.1,17.5,10.1 to 17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$51,535","$47,063","$56,007","$47,063 to $56,007"
Garland County (AR),05000US05051,-93.1469148,34.5788613,97477,NA,NA,NA,NA,NA,NA,913,6475,20535,27843,12701,17824,44.0,0.4441,42826,30.9,17.7363962451347,2017,5,5051,Garland County (AR),96935,15384,12646,18122,"12,646 to 18,122",15.9,13.1,18.7,13.1 to 18.7,19438,4889,3717,6061,"3,717 to 6,061",25.2,19.2,31.2,19.2 to 31.2,13989,3369,2465,4273,"2,465 to 4,273",24.1,17.6,30.6,17.6 to 30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,662","$41,290","$48,034","$41,290 to $48,034"
Jefferson County (AR),05000US05069,-91.9307012,34.2776955,70016,NA,NA,NA,NA,NA,NA,1913,5724,16087,13032,8694,14565,39.0,0.4748,37712,28.6,31.988785046729,2017,5,5069,Jefferson County (AR),63662,14957,12264,17650,"12,264 to 17,650",23.5,19.3,27.7,19.3 to 27.7,15106,5201,4050,6352,"4,050 to 6,352",34.4,26.8,42,26.8 to 42.0,10966,3643,2782,4504,"2,782 to 4,504",33.2,25.3,41.1,25.3 to 41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$38,677","$35,719","$41,635","$35,719 to $41,635"
Lonoke County (AR),05000US05085,-91.894132,34.7551137,72228,63910,3884,1032,292,0,1309,548,3251,16853,16004,10186,10548,36.4,0.39,55837,26.2,19.63383598587,2017,5,5085,Lonoke County (AR),72130,8011,6490,9532,"6,490 to 9,532",11.1,9,13.2,9.0 to 13.2,18715,2793,2111,3475,"2,111 to 3,475",14.9,11.3,18.5,11.3 to 18.5,13814,1950,1438,2462,"1,438 to 2,462",14.1,10.4,17.8,10.4 to 17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,378","$50,312","$58,444","$50,312 to $58,444"
Pulaski County (AR),05000US05119,-92.3165149,34.7739877,393250,218346,142430,8604,799,33,9119,4258,15988,68957,82502,90368,68881,36.8,0.5132,47387,29.1,19.1870594143505,2017,5,5119,Pulaski County (AR),385180,57780,51276,64284,"51,276 to 64,284",15.0,13.3,16.7,13.3 to 16.7,90543,18380,14802,21958,"14,802 to 21,958",20.3,16.3,24.3,16.3 to 24.3,64115,12072,9449,14695,"9,449 to 14,695",18.8,14.7,22.9,14.7 to 22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$52,361","$49,760","$54,962","$49,760 to $54,962"
Saline County (AR),05000US05125,-92.674463,34.6485246,118703,NA,NA,NA,NA,NA,NA,838,5217,26651,25394,23248,8802,41.0,0.382,64932,24.2,12.353877014595,2017,5,5125,Saline County (AR),117921,9335,7405,11265,"7,405 to 11,265",7.9,6.3,9.5,6.3 to 9.5,27646,2936,2133,3739,"2,133 to 3,739",10.6,7.7,13.5,7.7 to 13.5,20558,2094,1454,2734,"1,454 to 2,734",10.2,7.1,13.3,7.1 to 13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$61,384","$56,471","$66,297","$56,471 to $66,297"
Sebastian County (AR),05000US05131,-94.274989,35.1969808,127793,93101,8645,5547,1893,74,13978,4867,7636,29228,28434,14897,21913,37.8,0.4583,42053,26.9,19.4731172265204,2017,5,5131,Sebastian County (AR),125871,23469,20670,26268,"20,670 to 26,268",18.6,16.4,20.8,16.4 to 20.8,30402,7862,6511,9213,"6,511 to 9,213",25.9,21.5,30.3,21.5 to 30.3,22036,5103,4042,6164,"4,042 to 6,164",23.2,18.4,28.0,18.4 to 28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,058","$40,131","$47,985","$40,131 to $47,985"
Washington County (AR),05000US05143,-94.2184168,35.9712088,228049,174457,8608,5402,2189,4953,25446,7095,9994,35733,36425,44638,36641,31.5,0.4917,45679,28.5,15.143759161123,2017,5,5143,Washington County (AR),223514,30938,26668,35208,"26,668 to 35,208",13.8,11.9,15.7,11.9 to 15.7,56031,9392,7364,11420,"7,364 to 11,420",16.8,13.2,20.4,13.2 to 20.4,40114,6281,4815,7747,"4,815 to 7,747",15.7,12.0,19.4,12.0 to 19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,400","$48,081","$52,719","$48,081 to $52,719"
White County (AR),05000US05145,-91.7531583,35.2547221,79263,NA,NA,NA,NA,NA,NA,626,4532,20224,13896,11030,10941,35.8,0.4236,42844,30.7,23.7518160235286,2017,5,5145,White County (AR),75347,11477,9406,13548,"9,406 to 13,548",15.2,12.5,17.9,12.5 to 17.9,18183,3819,2905,4733,"2,905 to 4,733",21,16.0,26,16.0 to 26.0,13350,2676,1995,3357,"1,995 to 3,357",20,14.9,25.1,14.9 to 25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,088","$40,787","$47,389","$40,787 to $47,389"
Apache County (AZ),05000US04001,-109.4937467,35.3858453,73112,16162,112,106,53520,54,694,3238,4230,14071,17542,5263,24122,34.6,0.4892,34685,17.3,54.0113897492257,2017,4,4001,Apache County (AZ),70669,23426,21195,25657,"21,195 to 25,657",33.1,29.9,36.3,29.9 to 36.3,19502,8441,7454,9428,"7,454 to 9,428",43.3,38.2,48.4,38.2 to 48.4,14573,6116,5339,6893,"5,339 to 6,893",42,36.7,47.3,36.7 to 47.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$33,053","$30,432","$35,674","$30,432 to $35,674"
Cochise County (AZ),05000US04003,-109.7541201,31.8817928,125770,109899,5077,2783,1875,434,1913,3800,6377,22897,31858,21340,26604,40.8,0.4325,45508,27.1,17.9252996191198,2017,4,4003,Cochise County (AZ),119740,19219,15585,22853,"15,585 to 22,853",16.1,13.1,19.1,13.1 to 19.1,26801,6695,5131,8259,"5,131 to 8,259",25,19.2,30.8,19.2 to 30.8,19258,4524,3369,5679,"3,369 to 5,679",23.5,17.5,29.5,17.5 to 29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$48,966","$45,543","$52,389","$45,543 to $52,389"
Coconino County (AZ),05000US04005,-111.7737277,35.8296919,140908,91167,2166,2670,37010,163,2711,1896,5541,18074,26263,28973,22902,30.9,0.4525,55091,30.4,18.3893013837327,2017,4,4005,Coconino County (AZ),130051,23946,20996,26896,"20,996 to 26,896",18.4,16.1,20.7,16.1 to 20.7,28967,6219,5049,7389,"5,049 to 7,389",21.5,17.5,25.5,17.5 to 25.5,21031,4529,3653,5405,"3,653 to 5,405",21.5,17.3,25.7,17.3 to 25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$54,399","$50,725","$58,073","$50,725 to $58,073"
Maricopa County (AZ),05000US04013,-112.4955335,33.3465408,4242997,3227510,230642,168720,82300,9808,371556,123066,193976,629861,922027,896358,626082,36.2,0.4699,58737,29,12.0445905053542,2017,4,4013,Maricopa County (AZ),4239908,570402,551842,588962,"551,842 to 588,962",13.5,13.1,13.9,13.1 to 13.9,1024964,196107,186272,205942,"186,272 to 205,942",19.1,18.1,20.1,18.1 to 20.1,748001,134940,127617,142263,"127,617 to 142,263",18,17.0,19.0,17.0 to 19.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$62,221","$61,696","$62,746","$61,696 to $62,746"
Mohave County (AZ),05000US04015,-113.7496891,35.717705,205249,187492,1614,2029,4870,231,3539,3077,18637,53416,60615,17523,35646,50.6,0.4645,42423,28.2,16.6242518497573,2017,4,4015,Mohave County (AZ),201993,34891,30466,39316,"30,466 to 39,316",17.3,15.1,19.5,15.1 to 19.5,35198,10094,8194,11994,"8,194 to 11,994",28.7,23.3,34.1,23.3 to 34.1,26212,6583,5173,7993,"5,173 to 7,993",25.1,19.7,30.5,19.7 to 30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$42,210","$39,971","$44,449","$39,971 to $44,449"
Navajo County (AZ),05000US04017,-110.3209076,35.3909336,110026,50543,755,897,49003,0,4536,2938,8116,21081,26042,10173,30844,36.3,0.4847,36998,27.8,36.0020245928484,2017,4,4017,Navajo County (AZ),106760,28216,25123,31309,"25,123 to 31,309",26.4,23.5,29.3,23.5 to 29.3,28907,10662,9078,12246,"9,078 to 12,246",36.9,31.4,42.4,31.4 to 42.4,21254,6779,5534,8024,"5,534 to 8,024",31.9,26.0,37.8,26.0 to 37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$40,883","$38,598","$43,168","$38,598 to $43,168"
