,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
89,Noise Disturbance,Central Mesa Apartments,9/29/2015,1509290057,9/29/2015,9:52 PM,,Will Cooperate
90,Citizen Contact,Tenaya Hall,9/29/2015,1509290058,9/29/2015,10:08 PM,Informing that students will be sleeping on couches until EH&S pest control can spray dorms,Service Provided
91,Medical Aid,Blake Hall,9/29/2015,1509290059,9/29/2015,10:42 PM,Young adult female having seizure,Checks OK
92,Medical Aid,Mesa Verde Hall,9/29/2015,1509290060,9/29/2015,11:24 PM,Young adult female having a panic attack,Service Provided
93,Noise Disturbance,Muir Apartments,9/29/2015,1509290061,9/29/2015,11:53 PM,Group outside talking loudly and smoking cigarettes,Gone On Arrival
94,Petty Theft,Kathmandu Apartments,9/29/2015,2015‐1312,9/29/2015,1:30 PM,"Stolen tools from parking lot, loss $200.00",Online Report
95,Marijuana Contact,Rita Atkinson Residences,9/17/2015,1509170004,9/17/2015,2:38 AM,Odor of cigarette smoke and marijuana smoke coming from apartment below,Unable To Locate
96,Fire Alarm,Rady School Of Management,9/17/2015,1509170012,9/17/2015,7:00 MA,,False Alarm
97,Citizen Contact,Internal Medicine Group Building 3,9/17/2015,2015‐1225,9/17/2015,12:23 PM,Reporting party concerned about suspicious package received at work,Report Taken
98,Courtesy Report,"San Diego, CA",9/17/2015,2015‐1226,8/31/2015,5:00 PM‐5:15 PM,Report of sexual battery on bus,Report Taken
99,Courtesy Report,Preuss,9/17/2015,2015‐1227,9/11/2015,Unknown,Report of possible bullying,Report Taken
100,Marijuana Contact,1 Miramar Building 1,9/17/2015,1509170040,9/17/2015,3:03 PM,Odor of marijuana coming from downstairs neighbor,Service Provided
101,Disturbance,Library Walk,9/17/2015,1509170041,9/17/2015,3:34 PM,Two adult females harassing passerby's and trying to hand them pamphlets,Unable To Locate
102,Lost Property,UCSD Police Department,9/17/2015,1509170042,9/17/2015,3:50 PM,Lost passport,Information Only
103,Ticket Sign Off,UCSD Police Department,9/17/2015,1509170046,9/17/2015,5:53 PM,,Service Provided
104,Ticket Sign Off,UCSD Police Department,9/17/2015,1509170047,9/17/2015,6:06 PM,,Service Provided
105,Fire Alarm,York Hall,9/17/2015,1509170048,9/17/2015,6:09 PM,,False Alarm
106,Collision Counter Report,Revelle College,9/17/2015,2015‐1228,9/16/2015,12:30 AM,UC vehicle backed up into planter,Report Taken
107,Welfare Check,Health Sciences Biomedical Research,9/17/2015,1509170054,9/17/2015,7:49 PM,"Parent hasn't heard from daughter since morning, unusual",Cancelled
108,Disturbance,Café Vita,9/17/2015,1509170058,9/17/2015,9:50 PM,"Per CSO, group with open containers",Gone On Arrival
109,Suspicious Person,Student Services Center,9/17/2015,2015‐1229,9/17/2015,10:26 PM,Report of non‐affiliate adult female harassing custodian,Stay Away Order Issued
110,Security Alarm,Isaacs Hall,9/17/2015,1509170062,9/17/2015,11:06 PM,,False Alarm
111,Injury,The Village West Building 4,9/17/2015,2015‐1230,9/17/2015,11:30 PM,Adult female fell off skateboard cause injury to ankle,Transported To Hospital
112,Suspicious Vehicle,North Mesa Apartments,9/17/2015,1509170066,9/17/2015,11:37 PM,,Checks OK
113,Petty Theft‐ Bicycle,Keeling Apartments‐Bike Racks,9/17/2015,2015‐1252,9/11/2015‐9/12/2015,Unknown,Loss $150.00,Online Report
114,Illegal Camping,Gilman Parking Structure,9/7/2015,1509070003,9/7/2015,1:24 AM,,Cited
115,Suspicious Vehicle,Glider Port,9/7/2015,1509070006,9/7/2015,2:09 AM,,Field Interview
116,Suspicious Vehicle,Lot 207,9/7/2015,1509070012,9/7/2015,8:01 AM,,Field Interview
117,Information,Tioga Hall,9/7/2015,1509070013,9/7/2015,8:03 AM,Cable TV not working,Cancelled
118,Information,Blacks Beach Gate,9/7/2015,1509070014,9/7/2015,8:11 AM,Service request for gate lock,Referred To Other Department
119,Illegal Parking,Blacks Beach Gate,9/7/2015,1509070024,9/7/2015,11:53 AM,,Cited
120,Information,Student Services Center,9/7/2015,1509070025,9/7/2015,1:18 PM,Door not securing,Referred To Other Department
121,Assist Other Agency,Lot 702,9/7/2015,1509070030,9/7/2015,2:42 PM,Hospital security having issue with person,Field Interview
122,Smoke Check,Regents Rd,9/7/2015,1509070036,9/7/2015,6:04 PM,Report of planter smoking,Referred To Other Department
123,Citizen Flagdown,La Jolla Village Dr/Regents Rd,9/7/2015,1509070039,9/7/2015,7:08 PM,Found child,Checks OK
124,Marijuana Contact,1 Miramar Building 1,9/7/2015,1509070042,9/7/2015,10:23 PM,Odor of marijuana in area,RSO Report Taken
125,Security Alarm,Student Services Center,9/7/2015,1509070044,9/7/2015,10:41 PM,,False Alarm
126,Suspicious Person,1 Miramar Parking Structure,9/7/2015,1509070046,9/7/2015,11:16 PM,,Field Interview
127,Medical Aid,Hopkins Dr/Voigt Dr,9/22/2015,1509220002,9/22/2015,12:19 AM,"Young adult female laying on stairs, in and out of consciousness",Checks OK
128,Citizen Contact,The Village East Building 5,9/22/2015,1509220004,9/22/2014,12:36 AM,Directions needed,Service Provided
129,Quiet Hours Contact,Marshall Apartments West,9/22/2015,1509220007,9/22/2015,1:11 AM,,Information Only
130,Disturbance ‐ Party,Africa Hall,9/22/2015,1509220008,9/22/2015,1:14 AM,,Will Cooperate
131,Quiet Hours Contact,Marshall Apartments West,9/22/2015,1509220009,9/22/2015,1:20 AM,,Information Only
132,Marijuana Contact,Marshall Apartments East,9/22/2015,1509220011,9/22/2015,1:34 AM,,Advocate Report Taken
133,Citizen Contact,Tioga Hall,9/22/2015,1509220012,9/22/2015,1:43 AM,Smoking contact,Information Only
134,Medical Aid,The Village West Building 6,9/22/2015,1509220017,9/22/2015,3:12 AM,Young adult female having allergic reaction to mosquito bites,Transported To Hospital
135,Property Damage,UCSD Police Department,9/22/2015,1509220025,9/22/2015,7:00 AM,Report of damage to UC vehicle,Information Only
136,Suspicious Person,UCSD Campus Services Complex Building C,9/22/2015,1509220030,9/22/2015,7:25 AM,,Field Interview
137,Information,Villa La Jolla Dr/La Jolla Village Dr,9/22/2015,1509220038,9/22/2015,8:04 AM,Gas leak at old El Torito's location,Information Only
138,Bicyclist Stop,Scholars Dr South,9/22/2015,1509220039,9/22/2015,8:13 AM,,Written Warning Issued
139,Non Injury Collision,Interstate 5/Genesee Ave,9/22/2015,1509220046,9/22/2015,8:42 AM,,Referred To Other Agency
140,Security Alarm,Engineering Building,9/22/2015,1509220052,9/22/2015,9:02 AM,,False Alarm
141,Security Alarm,Black Student Resource Center,9/22/2015,1509220058,9/22/2015,10:09 AM,,False Alarm
142,Citizen Contact,Central Plant‐Telecommunications Office,9/22/2015,1509220060,9/22/2015,10:29 AM,"Out of state caller, reports receiving several suspicious phone calls, one call traced back to UCSD phone number",Service Provided
143,Welfare Check,Campus Point Dr,9/22/2015,1509220062,9/22/2015,11:27 AM,"Report of female stumbling, appeared disoriented",Unable To Locate
144,Medical Aid,Campus Point Dr/Voigt Dr,9/22/2015,1509220066,9/22/2015,12:03 PM,Adult female disoriented and unable to walk,Transported To Hospital
145,Petty Theft,Biology Building,9/22/2015,2015‐1264,9/21/2015‐9/22/2015,5:00 PM‐10:30 AM,"Unknown suspect(s) entered victim's office and took property, loss $20.00",Report Taken
146,Information,Spanos Athletic Training Facility,9/22/2015,1509220074,9/22/2015,3:08 PM,Request for extra patrol due to recent thefts from men's locker room,Information Only
147,Vehicle Burglary,Lot 782,9/22/2015,1509220078,9/22/2015,4:11 PM,Victim's company vehicle damaged and items stolen from with in,Incident Number Issued
148,Information,Lot 784,9/22/2015,1509220083,9/22/2015,5:14 PM,"Per Thornton Security, medical aid needed at location",Referred To Other Agency
149,Security Alarm,Engineering Building,9/22/2015,1509220085,9/22/2015,5:38 PM,,False Alarm
150,Missing Person,UCSD Police Department,9/22/2015,2015‐1265,9/22/2015,6:20 PM,Friend came into report a possible missing UCSD international student,Checks OK/Report Taken
151,Suspicious vehicle,La Jolla Del Sol Apartments,9/22/2015,1509220095,9/22/2015,11:03 PM,,Will Cooperate
152,Suspicious Vehicle,El Paseo Grande,9/22/2015,1509220096,9/22/2015,11:12 PM,,Field Interview
153,Suspicious Person,Campus Point Dr/Voigt Dr,9/22/2015,1509220097,9/22/2015,11:31 PM,,Gone On Arrival
154,Alcohol Contact,Marshall Apartments West,9/22/2015,1509220098,9/22/2015,11:33 PM,,Information Only
155,Welfare Check,Sixth College Res Halls,9/22/2015,1509220101,9/22/2015,11:53 PM,,Cancelled
156,Petty Theft,Spanos Athletic Training Facility‐Men's Locker Room,9/22/2015,2015‐1269,9/21/2015,4:15 PM‐6:30 PM,"Stolen wallet from locked locker, loss $50.00",Online Report
157,Illegal Parking,Lot 504,9/25/2015,2015‐1279,9/25/2015,12:01 AM,,Vehicle Impounded
158,Quiet Hours Contact,Brennan Hall,9/25/2015,1509250002,9/25/2015,12:03 AM,,Will Cooperate
159,Suspicious Person,Blake Hall,9/25/2015,1509250003,9/25/2015,12:10 AM,,Checks OK
160,Public Intoxication,Geneva Hall,9/25/2015,2015‐1280,9/25/2015,1:29 AM,,Transported To Detox
161,Non Injury Accident,Muir College Dr/Scholars Dr North,9/25/2015,1509250029,9/25/2015,8:58 AM,One party refusing to give information,Service Provided
162,Skateboard Stop,Center Hall,9/25/2015,1509250043,9/25/2015,12:01 PM,,Verbal Warning Issued
163,Skateboard Stop,Center Hall,9/25/2015,1509250045,9/25/2015,12:05 PM,,Cited
164,Bicyclist Stop,Center Hall,9/25/2015,1509250047,9/25/2015,12:24 PM,,Verbal Warning Issued
165,Assist Other Agency,Campus Point Dr/Genesee Ave,9/25/2015,1509250050,9/25/2015,12:55 PM,San Diego Police received report of possible narcotics overdose,Cancelled
166,Information,Lot 703,9/25/2015,1509250055,9/25/2015,9:30 AM‐9:45 AM,Reporting party hit parked vehicle,Information Only
167,Citizen Contact,UCSD Police Department,9/25/2015,1509250056,9/24/2015,Unknown,"Reporting party involved in collision, believes other party is being uncooperative",Service Provided
168,Disturbance,Student Services Center,9/25/2015,1509250057,9/25/2015,2:07 PM,Trick skaters,Gone On Arrival
169,Disturbance,Eucalyptus Point Conference Center,9/25/2015,1509250059,9/25/2015,3:09 PM,Trick skaters,Field Interview
170,Fire Alarm,High Bay Physics Laboratory,9/25/2015,1509250060,9/25/2015,3:19 PM,,False Alarm
171,Burglary,Marshall Apartments West,9/25/2015,1509250063,9/25/2015,4:31 PM,Male climbed balcony and gained access,Checks OK
172,Medical Aid,Glider Port,9/25/2015,1509250064,9/25/2015,4:39 PM,Report of adult female going in and out of consciousness,Referred To Other Agency
173,Public Intoxication,Leichtag Biomedical Building,9/25/2015,2015‐1284,9/25/2015,5:38 PM,Original report of suspicious person looking at locks on bicycles,Transported To Detox
174,Suspicious Person,Galbraith Hall,9/25/2015,1509250068,9/25/2015,6:29 PM,,Checks OK
175,Suspicious Person,Urey Hall,9/25/2015,1509250069,9/25/2015,6:54 PM,,Checks OK
176,Ticket Sign Off,UCSD Police Department,9/25/2015,1509250072,9/25/2015,7:15 PM,,Service Provided
177,Non Injury Collision,Lot 017,9/25/2015,2015‐1286,9/25/2015,8:56 PM,,Report Taken
178,Hit & Run ‐ No Injuries,North Torrey Pines Rd/Revelle College Dr,9/25/2015,2015‐1285,9/25/2015,8:57 PM,,Report Taken
179,Suspicious Person,The Village East 1,9/25/2015,1509250084,9/25/2015,10:09 PM,,Unable To Locate
180,Welfare Check,Gilman Dr/Myers Dr,9/25/2015,1509250087,9/25/2015,10:48 PM,"Reporting party flagged down by elderly woman bleeding from head, wearing slippers and caring a bag of clothes, was requesting assistance getting to Oceanside",Field Interview/Service Provided
181,Found Narcotics,The Village Place & Market,9/25/2015,2015‐1287,9/25/2015,11:14 PM,,Drugs Impounded
182,Disturbance ‐ Domestic Violence,Peterson Hall,9/25/2015,2015‐1288,9/25/2015,11:30 PM,,Closed By Adult Arrest
183,Alcohol Contact,Marshall Apartments West,9/25/2015,1509250092,9/25/2015,11:32 PM,,Information Only
184,Alcohol Contact,Marshall Apartments West,9/25/2015,1509250095,9/25/2015,11:52 PM,,Information Only
185,Petty Theft,Lot 202,9/25/2015,2015‐1296,9/24/2015,9:00 PM,"Stolen wallet and cell phone, loss $400.00",Online Report
186,Petty Theft,BSB,9/25/2015,2015-1297,9/24/2015,3:00 PM - 4:00 PM,"Stolen cell phone, loss $100.00",Online Report
187,Disturbance,Thornton Hospital,9/10/2015,1509100003,9/10/2015,4:01 AM,Verbal argument between citizen and hospital staff,Referred To Other Agency
188,Unknown Injury Accident,Torrey Pines Rd,9/10/2015,1509100021,9/10/2015,9:06 AM,Passerby advised of possible accident,Unable To Locate
189,Citizen Contact,Student Services Center‐Registrars Office,9/10/2015,1509100025,9/9/2015,Unknown,"Report of received fax regarding possible terrorism, not specific to UCSD",Checks OK
190,Suspicious Person,Lot 014,9/10/2015,1509100030,9/10/2015,11:48 AM,Report of unknown male possibly camping inside vehicle,Traffic Citation Issued
191,Citizen Contact,La Jolla Shores Dr/Biological Grade,9/10/2015,1509100031,9/10/2015,12:17 PM,Report of accident at location,Service Provided
192,Reckless Driving,Gilman Dr/Scholars Dr South,9/10/2015,1509100033,9/10/2015,1:47 PM,,Gone On Arrival
193,Disturbance‐Argument,Sixth College Apartments,9/10/2015,1509100034,9/10/2015,1:53 PM,Res Life staff talking to unknown woman who is yelling,Checks OK
194,Collision With Injury,Medical Center Dr/Athena Circle,9/10/2015,2015‐1207,9/10/2015,2:50 PM,"Bicyclist collided with vehicle, treated by paramedics for minor injury",Report Taken
195,Suspicious Person,Biomedical Sciences Building,9/10/2015,1509100042,9/10/2015,5:09 PM,,Unable To Locate
196,Petty Theft,Social Sciences Building,9/10/2015,1509100044,9/10/2015,5:55 PM,"No theft, property located",Unfounded
197,Medical Aid,Gilman Dr/Myers Dr ‐ Bus Stop,9/10/2015,1509100045,9/10/2015,7:51 PM,Older adult male experiencing chest pains,Paramedics Responded
198,Noise Disturbance,South Mesa Apartments,9/10/2015,1509100046,9/10/2015,8:01 PM,Loud screaming and cussing,Will Cooperate
199,Disturbance,Rita Atkinson Residences,9/10/2015,1509100047,9/10/2015,9:11 PM,Group talking loudly,Will Cooperate
200,Fire Alarm,Revelle Apartments,9/10/2015,1509100049,9/10/2015,10:38 PM,,False Alarm
201,Suspicious Person,Biomedical Sciences Building,9/10/2015,1509100050,9/10/2015,11:06 PM,,Gone On Arrival
202,Petty Theft ‐ Bicycle,SERF Building,9/10/2015,2015‐1211,9/9/2015,11:00 AM‐5:10 PM,Loss $520.00,Online Report
203,Illegal Camping,Gilman Parking Structure,9/28/2015,1509280008,9/28/2015,2:20 AM,,Will Cooperate
204,Information,Lot 406,9/28/2015,1509280009,9/28/2015,2:39 AM,Vehicle with lights left on,Checks OK
205,Noise Disturbance,Central Mesa Apartments,9/28/2015,1509280010,9/28/2015,2:48 AM,"Loud phone conversation, chronic problem",Quiet On Arrival
206,Citizen Contact,Challenger Hall,9/28/2015,1509280011,9/28/2015,3:15 AM,Male sleeping in lounge area,Checks OK
207,Citizen Contact,Atlantis Hall,9/28/2015,1509280012,9/28/2015,3:28 AM,Sleeper inside main lounge,Checks OK
208,Traffic Hazard,Campus Point Dr/Voigt Dr,9/28/2015,1509280015,9/28/2015,6:41 AM,Female exercising in street,Unable To Locate
209,Illegal Camping,Lot 783,9/28/2015,1509280031,9/28/2015,10:45 AM,,Information Only
210,Citizen Contact,Scholars Dr North,9/28/2015,2015‐1301,9/28/2015,10:58 AM,UC shuttle bus vs. parked vehicle,Report Taken
211,Information,Price Center,9/28/2015,1509280036,9/28/2015,12:00 PM,Reporting party got into argument with another student in class,Information Only
212,In Custody,Bookstore,9/28/2015,2015‐1303,9/28/2015,3:18 PM,Adult male attempted to conceal book worth $114.75 inside of backpack and walk out of store,Closed By Adult Arrest
213,Injury,Lot 406,9/28/2015,1509280040,9/28/2015,3:19 PM,"Young adult male fell off skateboard, may have dislocated shoulder",Service Provided
214,Controlled Substance,Lot 705,9/28/2015,2015‐1302,9/26/2015,9:00 AM,Pharmaceutical drugs purged,Report Taken
215,Traffic Control,Voigt Dr/Gilman Dr,9/28/2015,1509280044,9/28/2015,5:24 PM,Bus needs traffic control to back up at location,Information Only
