Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
Security Alarm,Medical Teaching Facility,9/24/2014,1409240026,9/24/2014,9:43 AM,,False Alarm
Fire Alarm,North Mesa Apartments,9/24/2014,1409240028,9/24/2014,9:47 AM,,False Alarm
Citizen Contact,Lot 506,9/24/2014,1409240039,9/24/2014,1:02 PM,Smoking policy contact,Verbal Warning Issued
Ticket Sign Off,IGPP,9/24/2014,1409240040,9/24/2014,1:12 PM,,Information Only
Hit & Run- No Injuries,VA Hospital,9/24/2014,2014-1446,9/24/2014,1:30 PM,,Report Taken
Grand Theft,Leichtag Biomedical Bldg,9/24/2014,2014-1447,9/19/2014-9/22/2014,2:00 PM-10:00 AM,"Ceiling projector stolen, loss $1000.00",Report Taken
Suspicious Person,Leichtag Biomedical Bldg,9/24/2014,2014-1448,9/24/2014,3:10 PM,Non-affiliate issued stay away order,Closed By Adult Arrest
Injury,Natatorium,9/24/2014,1409240049,9/24/2014,3:30 PM,19 year old male with soccer injury,Medical Aid Refused
Hit & Run- No Injuries,VA Hospital,9/24/2014,2014-1449,9/24/2014,1:40 PM-3:45 PM,,Report Taken
Security Alarm,EH&S,9/24/2014,1409240052,9/24/2014,4:44 PM,,False Alarm
Stolen Vehicle,East Campus Parking Structure,9/24/2014,2014-1450,9/24/2014,8:20 AM-4:30 PM,,Report Taken
Citizen Contact,VA Hospital,9/24/2014,1409240058,9/24/2014,6:11 PM,Addition information for previous hit & run report 2014-1446,Information Only
Marijuana Contact,The Village West Bldg 1,9/24/2014,1409240059,9/24/2014,6:34 PM,"Per Resident Advisor, possible strong odor of marijuana from one room",Information Only
Recovered Stolen Vehicle,Lot 207,9/24/2014,2014-1452,9/24/2014,7:43 PM,,Report Taken
Tampering With Vehicle,Coast Apartments,9/24/2014,2014-1453,9/23/2014-9/24/2014,9:30 PM-9:30 AM,"Two lug nuts removed from victim's passenger side wheel, damage $33.00",Report Taken
Information,Rita Atkinson Residences,9/24/2014,1409240069,9/24/2014,10:40 PM,"Raccoon came out of trash bin, seemed aggressive towards reporting party as she approachedbuilding",Information Only
Grand Theft Of Bicycle,Bates Hall,9/24/2014,2014-1441,9/22/2014,10:00 AM-5:00 PM,"Loss $1, 200.00",Online Report
Petty Theft,Revelle Residence Life Office,9/24/2014,2014-1455,9/22/2014-8/27/2014,12:00 PM-12:00 PM,"Cell phone, loss $60.00",Online Report
Citizen Flagdown,The Village West Bldg 1,9/1/2014,140901001,9/1/2014,12:10 AM,Possible subject drunk in public,Released To Sober Friend
Citizen Contact,1 Miramar Bldg 2,9/1/2014,140901002,9/1/2014,12:49 AM,Complaint of cigarette smoke from neighbor coming into apartment,Information Only
Fire Alarm,Urey Hall Annex,9/1/2014,140901003,9/1/2014,1:01 AM,,False Alarm
Drunk In Public,Pangea Parking Structure,9/1/2014,140901004,9/1/2014,1:15 AM,,Unfounded
Fire Alarm,Urey Hall Annex,9/1/2014,140901008,9/1/2014,2:53 AM,,False Alarm
Fire Alarm,Urey Hall Annex,9/1/2014,140901009,9/1/2014,4:17 AM,,False Alarm
Fire Alarm,Urey Hall Annex,9/1/2014,140901010,9/1/2014,5:45 AM,,False Alarm
Security Alarm,Center For Molecular Medicine,9/1/2014,140901012,9/1/2014,8:20 AM,,False Alarm
Security Alarm,Torrey Pines Center South,9/1/2014,140901013,9/1/2014,9:08 AM,,False Alarm
Suspicious Person,1 Miramar Bldg 5,9/1/2014,140901016,9/1/2014,10:17 AM,Possible bike caser,Field Interview
Illegal Parking,Blacks Beach Gate,9/1/2014,140901022,9/1/2014,11:11 AM,,Cited
Information,Ledden Auditorium,9/1/2014,140901026,9/1/2014,1:16 PM,"Information for Bike Officer; two bicycles found with out tires, tires were on the side andreassembled",Information Only
Suspicious Person,La Jolla Shores/Torrey Pines Rd,9/1/2014,140901036,9/1/2014,4:41 PM,Male subject at bus stop yelling and gesturing,Field Interview
Citizen Contact,Sixth College Apartments,9/30/2014,2014-1491,9/30/2014,12:44 AM,Resident Advisor request assistance with contacting party,Closed By Adult Arrest
Unknown Event,Earth Hall South,9/30/2014,1409300003,9/30/2014,1:37 AM,,Information Only
Alcohol Contact,Kathmandu,9/30/2014,1409300004,9/30/2014,1:40 AM,,Information Only
Alcohol Contact,Kathmandu,9/30/2014,1409300006,9/30/2014,1:50 AM,,Information Only
Alcohol Contact,Cuzco Hall,9/30/2014,1409300007,9/30/2014,1:55 AM,,Information Only
Smoking/Alcohol Contact,Village East 4,9/30/2014,1409300008,9/30/2014,2:18 AM,,RSO Report Taken
Alcohol Contact,Tioga Hall,9/30/2014,1409300010,9/30/2014,2:36 AM,,Information Only
Missing Person,The Village West Bldg 1,9/30/2014,1409300011,9/30/2014,2:51 PM,"Flagged down by reporting party who is concerned about roommate who left area withoutphone. No missing person report wanted at this time, will call back later if roommate has stillhas not returned",Information Only
Disturbance,North Point Information Booth,9/30/2014,1409300014,9/30/2014,3:59 AM,"Report of male yelling outside, Officer transported one to detox for public intoxication andissued two citations for minor consuming","Closed By Citation, Adult X2 & 1 Transported To Detox"
Suspicious Person,Shuttle Trailer,9/30/2014,1409300015,9/30/2014,4:48 AM,,Checks OK
Security Alarm,Engineering Bldg Unit 3A,9/30/2014,1409300016,9/30/2014,5:40 AM,,False Alarm
Unknown Injury Accident,Scripps,9/30/2014,1409300025,9/30/2014,7:55 AM,Two vehicle involved collision with possible injuries,Referred To Other Agency-San Diego Police Department
Information,CAL IT2,9/30/2014,1409300029,9/30/2014,8:09 AM,Flood detection alert,Referred To Other Agency- Facilities Management
Bicyclist Stop,Central Mesa Apartments,9/30/2014,1409300042,9/30/2014,9:28 AM,,Cited
Bicyclist Stop,Library Walk,9/30/2014,1409300046,9/30/2014,9:58 AM,,Verbal Warning Issued
Citizen Contact,UCSD Police Department,9/30/2014,1409300052,9/30/2014,11:44 PM,Questions regarding recently issued citation,Information Only
Hit & Run No Injuries,Lot 752,9/30/2014,1409300064,9/30/2014,2:15 PM,Ambulance backed into vehicle and left but then returned and involved parties exchangedinformation,Information Only
Bicyclist Stop,Costa Verde Shopping Center,9/30/2014,1409300067,9/30/2014,3:22 PM,,Verbal Warning Issued
Bicyclist Stop,Voigt Dr/Gilman Dr,9/30/2014,1409300068,9/30/2014,3:52 PM,,Verbal Warning Issued
Vehicle Burglary,Lot 208,9/30/2014,149300069,9/30/2014,3:55 PM,"No crime, owner present with locksmith",Checks OK
Suspicious Person,Latin America Hall,9/30/2014,1409300070,9/30/2014,4:05 PM,Adult male entered suite with out permission asking for credit card and $2.00,Field Interview
Welfare Check,South Mesa Apartments,9/30/2014,1409300075,9/30/2014,5:35 PM,"Parent unable to get ahold of student for 2 days, not answering phone call or emails",Checks OK
Vandalism,Lot 502,9/30/2014,2014-1493,9/29/2014-9/30/2014,10:00 PM-4:00 PM,"Vehicle driver side window knocked off, damage $400.00",Report Taken
Skateboard Stop,Blacks Beach Gate,9/30/2014,1409300083,9/30/2014,8:42 PM,,Verbal Warning Issued
Public Intoxication,Gilman Dr/Myers Dr,9/30/2014,2014-1494,9/30/2014,10:05 PM,Adult male stepping out into traffic trying to stop cars,Transported To Detox
Marijuana Contact,1 Miramar Bldg 1,9/30/2014,1409300090,9/30/2014,10:37 PM,Odor of marijuana,Field Interview
Security Alarm,Mount Soledad Facility,9/30/2014,1409300092,9/30/2014,10:55 PM,,Referred To Other Agency-San Diego Police
Welfare Check,Goldberg Hall,9/30/2014,1409300095,9/30/2014,11:15 PM,"Report of female crying on the floor, alcohol involved",RSO Report Taken
Citizen Contact,Village East 1,9/30/2014,1409300097,9/30/2014,11:32 PM,Assistant Duty Resident Advisor with an alcohol contact,Unable To Locate
Suspicious Person,Price Center,9/30/2014,1409300098,9/30/2014,11:40 PM,"Subject falling in & out of sleep, refusing to leave after several staff member have asked him toleave",Will Cooperate
Petty Theft,Biomedical Science Bldg,9/30/2014,2014-1497,9/30/2014,1:00 PM,"Stolen cell phone, loss $100.00",Online Report
Theft Of Bicycle,Leichtag Bldg & CMME Bldg,9/25/2014,2014-1498,9/20/2014,9:00 AM-3:45 PM,Loss $300.00,Online Report
Theft Of Bicycle,Argo Hall,9/26/2014,2014-499,9/25/2014,12:00 AM-3:00 PM,Loss $200.00,Online Report
Theft Of Bicycle,Argo Hall,9/29/2014,2014-1500,9/28/2014-9/29/2014,5:35 PM-3:00 PM,Loss $600.00,Online Report
Theft Of Bicycle,Sixth College Apartments,9/30/2014,2014-1501,9/29/2014-9/30/2014,7:00 PM-12:00 PM,Loss $300.00,Online Report
Medical Aid,Student Center  Bldg A,9/29/2014,1409290004,9/29/2014,12:15 AM,"18 yr. old male vomiting, possible alcohol poisoning, checked out and cleared by medics andreleased to roommate, subject cited for minor consuming alcohol","Closed By Citation, Adult"
Alcohol Contact,Europe Hall,9/29/2014,1409290005,9/29/2014,12:18 AM,,Information Only
Welfare Check,Hopkins Parking Structure,9/29/2014,1409290006,9/29/2014,12:22 AM,"Female voice, unknown if having fun or in distress",Checks OK
Marijuana Contact,Village East 1,9/29/2014,1409290007,9/29/2014,12:23 AM,,Unable To Locate
Illegal Parking,Tioga Hall,9/29/2014,1409290008,9/29/2014,12:26 AM,,Information Only
Citizen Contact,Pangea Parking Structure,9/29/2014,1409290011,9/29/2014,12:40 AM,Smoking check,Information Only
Public Intoxication,Gilman Parking Structure,9/29/2014,2014-1478,9/29/25014,12:41 AM,,Transported To Detox
Vandalism,Atlantis Hall,9/29/2014,2014-1480,9/29/2014,1:07 AM,"Graffiti, damage $50.00",Report Taken
Illegal Parking,1 Miramar Bldg 2,9/29/2014,1409290016,9/29/2014,1:13 AM,,Information Only
Drunk Driving No Injuries,Scholars Dr North/North Point Dr,9/29/2014,2014-1481,9/29/2014,1:20 AM,"No drunk driving, unlicensed driver, driving around without headlights on",Vehicle Impounded
Noise Disturbance,Village East 4,9/29/2014,1409290019,9/29/2014,1:36 AM,Loud yelling and music,Information Only
Welfare Check,The Village West Bldg 3,9/29/2014,1409290020,9/29/2014,1:39 AM,Subject being carried,Checks OK
Skateboard Stop,Torrey Pines Center South,9/29/2014,1409290021,9/29/2014,2:01 AM,Group trick skating in parking lot,Information Only
Drunk In Public,The Village West Bldg 6,9/29/2014,1409290023,9/29/2014,2:06 AM,Intoxicated subject cited for minor consuming alcohol and released to sober roommate,"Closed By Citation, Adult"
Alcohol Contact,Voigt Dip,9/29/2014,1409290024,9/29/2014,2:28 AM,,Information Only
Vandalism,Social Sciences Bldg,9/29/2014,2014-1482,9/26/2014-9/29/2014,4:00 PM-7:10 AM,"Damage to a time stamp machine, locking boxes and a multi-user wooden mailbox: , damage$500.00",Report Taken
Medical Aid,Tamarack Apartments,9/29/2014,1409290031,9/29/2014,7:13 AM,Adult female feeling dizzy and unable to stand,Transported To Hospital
Non Injury Accident,Campus Services Complex Bldg G,9/29/2014,2014-1483,9/29/2014,8:10 AM,UC forklift collided with roofline of fueling station,Report Taken
Bicyclist Stop,Hopkins Ln/Voigt Dr,9/29/2014,1409290044,9/29/2014,8:43 AM,,Information Only
Bicyclist Stop,Lot 504,9/29/2014,1409290048,9/29/2014,10:46 AM,,Verbal Warning Issued
Non Injury Accident,Nobel Dr,9/29/2014,2014-1484,9/29/2014,10:50 AM,UC shuttle bus sideswiped parked vehicle,Report Taken
Shoplifting,Bookstore,9/29/2014,2014-1485,9/29/2014,11:11 AM,"2 rolls of scotch tape stolen and recovered, potential loss $2.00","Closed By Citation, Adult"
Unknown Event,Argo Hall,9/29/2014,1409290054,9/29/2014,12:02 PM,,Information Only
Annoying/Harassing Phone Call,Center For Molecular Medicine,9/29/2014,1409290056,9/29/2014,12:40 PM,"Reporting party says she met a man last week on the bus, who now is continuously calling andemailing her, no threats made",Information Only
Petty Theft,Medical Teach Facility,9/29/2014,1409290064,09/26/2014-9/29/2014,Unknown,"Theft of medical cabinet from loading dock, Reporting party unable to wait for officer, will makereport at later time",Information Only
Incomplete Wireless 911 Call,Douglas Hall,9/29/2014,1409290068,9/29/2014,3:54 PM,,Checks OK
Fire Alarm,Revelle Apartments,9/29/2014,1409290069,9/29/2014,5:03 PM,,Information Only
Marijuana Contact,Revelle Apartments,9/29/2014,1409290070,9/29/2014,5:20 PM,Reporting party advised precious fire alarm was set off by smoke from the smoking of marijuana,Field Interview
Suspicious Person,Coast Apartments,9/29/2014,1409290076,9/29/2014,9:18 PM,Traffic violations,Cited
Citizen Contact,Harlan Hall,9/29/2014,1409290082,9/29/2014,10:25 PM,Maintenance issue,Referred To Other Agency-Housing Maintenance
Excessive Alcohol,Muir College Apartments,9/29/2014,2014-1487,9/29/2014,10:31 PM,Minor consumed alcohol and possibly suffering from alcohol poisoning,Cited/Transported To Hospital
Public Intoxication,Half Dome,9/29/2014,2014-1490,9/29/2014,10:32 PM,,Transported To Detox
Noise Disturbance,Brown Hall,9/29/2014,1409290085,9/29/2014,10:41 PM,People playing basketball,Gone On Arrival
Excessive Alcohol,Muir Commons-Pines,9/29/2014,2014-1488,9/29/2014,11:00 PM,,Transported To Hospital
Marijuana Contact,Brennan Hall,9/29/2014,1409290088,9/29/2014,11:01 PM,RSO contacted several subjects smoking marijuana inside residence,Marijuana Impounded
Alcohol Contact,Kathmandu,9/29/2014,1409290093,9/29/2014,11:32 PM,,Information Only
Alcohol Contact,Marshall Apartments East,9/29/2014,1409290094,9/29/2014,11:34 PM,,Information Only
Suspicious Vehicle,La Jolla Village Dr,9/22/2014,2014-1437,9/22/2014,1:14 AM,,Referred To Other Agency-San Diego Police
Vandalism,Revelle Apartments,9/22/2014,1409220003,9/22/2014,2:01 AM,"Housing maintenance received request to clean up graffiti, no graffiti found",Unable To Locate
Security Alarm,Biomedical Sciences Bldg,9/22/2014,1409220005,9/22/2014,4:05 AM,,False Alarm
Security Alarm,Engineering Bldg Unit 1,9/22/2014,1409220011,9/22/2014,6:42 AM,,False Alarm
Bicyclist Stop,Lot 705,9/22/2014,1409220014,9/22/2014,8:05 AM,,Verbal Warning Issued
Ticket Sign Off,Shiley Eye Center,9/22/2014,1409220016,9/22/2014,8:12 AM,,Information Only
Fire Alarm,Clinical Research Facility,9/22/2014,1409220030,9/22/2014,10:00 AM,,False Alarm
Welfare Check,Stephen Birch Aquarium,9/22/2014,1409220037,9/22/2014,10:55 AM,Passerby felt parent was verbally abusing children in parking lot,Checks OK
Bicyclist Stop,Voigt Dr/Lot 701,9/22/2014,1409220042,9/22/2014,11:49 AM,,Written Warning Issued
Citizen Contact,Pangea Parking Structure,9/22/2014,2014-1438,9/22/2014,12:20 PM,Officer observed suspect taking items from dumpster,Closed By Adult Arrest
Security Alarm,Women's Resource Center,9/22/2014,1409220050,9/22/2014,1:33 PM,,False Alarm
Welfare Check,Lot 607,9/22/2014,1409220053,9/22/2014,5:32 PM,"Female possibly sleeping, car door left open",Checks OK
Security Alarm,Bioengineering Student Affairs Office,9/22/2014,1409220054,9/22/2014,5:36 PM,,False Alarm
Welfare Check,Mobil Station,9/22/2014,1409220056,9/22/2014,6:15 PM,Male subject possibly down,Checks OK
Information,UCSD Police Department,9/22/2014,1409220057,9/22/2014,6:27 PM,Request for contact with SARC,Referred To Other Agency-SARC
Chemical Spill,Geisel Library,9/22/2014,1409220060,9/22/2014,7:06 PM,Solvent spilled possibly from earlier art work project,Referred To Other Agency-EH&S
Illegal Parking,The Village West Bldg 2,9/22/2014,1409220070,9/22/2014,10:17 PM,,Information Only
Illegal Parking,Mandeville Ln/Gilman Dr,9/22/2014,1409220072,9/22/2014,10:47 PM,,Information Only
Citizen Flagdown,Mandeville Ln/Gilman Dr,9/22/2014,1409220073,9/22/2014,10:49 PM,2 new students looking for Eleanor Roosevelt College for check in,Information Only
Theft Of Bicycle,La Jolla Del Sol Apartments,9/21/2014,2014-1439,9/8/2014-9/12/2014,10:25 PM-10:25 PM,Loss $250.00,Online Report
Suspicious Vehicle,Central Mesa Apartments,9/7/2014,140907004,9/7/2014,1:59 AM,,Field Interview
Suspicious Vehicle,Central Mesa Apartments,9/7/2014,140907005,9/7/2014,3:06 AM,,Field Interview
Citizen Contact,Lot 509,9/7/2014,140907012,9/7/2014,8:29 AM,Directions provided,Information Only
Person Down,Voigt Dr,9/7/2014,140907018,9/7/2014,10:38 AM,Adult male lying on the grass,Field Interview
Fire Alarm,Caroline's Seaside Café,9/7/2014,2014-1387,9/7/2014,11:44 AM,Fire alarm pull station activated in absence of a fire,Report Taken
Disturbance,The Village West Bldg 1,9/7/2014,2014-1386,9/7/2014,11:52 AM-12:28 PM,"Report of yelling, possibly two people fighting",Closed By Adult Arrest
Citizen Contact,UCTR 302,9/7/2014,140907026,9/7/2014,12:18 PM,Reporting party has been receiving multiple phone calls from unknown caller. Caller sounds likethey need some sort of medical assistance,Information Only
Fire Alarm,Supercomputer Center,9/7/2014,140907032,9/7/2014,5:50 PM,,False Alarm
Citizen Contact,1 Miramar Bldg 2,9/7/2014,140907033,9/7/2014,6:41 PM,Cigarette smoking contact,Information Only
Disturbance,North Mesa Apartments,9/7/2014,140907035,9/7/2014,8:55 PM,Loud party,Will Cooperate
Citizen Flagdown,Voigt Dr/Gilman Dr,9/7/2014,140907040,9/7/2014,10:00 PM,Directions needed,Information Only
Disturbance,West Playground,9/7/2014,140907041,9/7/2014,10:07 PM,Adult playing on playground and being loud,Checks OK
Illegal Parking,Café Ventanas,9/7/2014,140907042,9/7/2014,10:12 PM,,Checks OK
Citizen Contact,1 Miramar Bldg 2,9/7/2014,140907044,9/7/2014,10:40 PM,Complaint of person smoking cigarettes,Unable To Locate
Drunk Driving No Injuries,Gilman Dr,9/7/2014,140907045,9/7/2014,11:50 PM,,Verbal Warning Issued
Fire Alarm,Structural & Material Engineering,9/17/2014,1409170001,9/17/2014,12:35 AM,,False Alarm
Illegal Parking,Canyonview Pool,9/17/2014,1409170002,9/17/2014,12:56 AM,,Field Interview
Suspicious Vehicle,Torrey Pines Scenic Dr,9/17/2014,1409170003,9/17/2014,1:18 AM,,Field Interview
Suspicious Vehicle,Lot 208,9/17/2014,1409170004,9/17/2014,1:34 AM,,Field Interview
Petty Theft,RIMAC-Homeplate,9/17/2014,2014-1414,9/16/2014-9/17/2014,9:00 PM-5:00 AM,"Unknown suspect(s) entered open storage area and took a pair of shoes and t-shirt, loss $50.00",Report Taken
Fire Alarm,Pharmaceutical Sciences,9/17/2014,1409170016,9/17/2014,7:37 AM,,False Alarm
Fire Alarm,Pharmaceutical Sciences,9/17/2014,1409170020,9/17/2014,7:59 AM,,False Alarm
Suspicious Vehicle,East Campus Parking Structure,9/17/2014,1409170021,9/17/2014,8:02 AM,Vehicle has been left running for over an hour,Information Only
Vandalism To Vehicle,VA Hospital Parking Lot,9/17/2014,2014-1413,8/25/2014,10:00 AM-2:00 PM,"Unknown suspect(s) scratched victims vehicle, damage $900.00",Report Taken
Citizen Contact,Blacks Beach Gate,9/17/2014,1409170035,9/17/2014,3:06 PM,"Glider port staff needs assistance with elderly flier, unable to make it up hill",Information Only
Suspicious Person,Gilman Dr/Voigt Dr,9/17/2014,1409170036,9/17/2014,3:13 PM,,Checks OK
Citizen Contact,Marshall Apartments West,9/17/2014,2014-1415,9/17/2014,4:45 PM,Report of possible fraud over apartment rental,Report Taken
Petty Theft,Pharmaceutical Sciences,9/17/2014,1409170041,9/17/2014,2:00 PM-5:30 PM,"Report of stolen bicycle, loss $800, will make report with bike officer at later time",Information Only
Armed Suspicious Person,Villa La Jolla Dr,9/17/2014,1409170042,9/17/2014,6:44 PM,San Diego Police responding to report of suspicious adult male wearing a bullet proof vest andpistol,Unable To Locate
Information,Lot 104,9/17/2014,1409170052,9/17/2014,10:29 PM,Unoccupied vehicle with lights on,Information Only
Illegal Camping,Lot 502,9/10/2014,140910006,9/10/2014,6:31 AM,,Field Interview
Gas/Water/Sewer Leak,Center For Molecular Medicine,9/10/2014,140910016,9/10/2014,8:45 AM,Water in basement,Referred To Other Agency
Bicyclist Stop,Osler Ln/Gilman Dr,9/10/2014,140910021,9/10/2014,9:38 AM,,Verbal Warning Issued
Non Injury Accident,East Campus Parking Structure,9/10/2014,140910029,9/10/2014,12:38 PM,Involved parties exchanged information,Information Only
Bicyclist Stop,Gilman Dr/Voigt Dr,9/10/2014,140910037,9/10/2014,2:41 PM,,Cited
Attempted Auto Theft,Lot 357,9/10/2014,2014-1392,9/10/2014,6:45 AM-3:30 PM,"Also petty theft-bicycle, loss $10.00",Report Taken
Medical Aid,Blacks Beach Gate,9/10/2014,140910040,9/10/2014,3:58 PM,Young adult male experiencing shortness of breath,Transported To Hospital
Gas/Water/Sewer Leak,Horizon Wy/La Jolla Shores Dr,9/10/2014,140910045,9/10/2014,5:10 PM,Fire hydrant leaking steady stream of water,Referred To Other Agency-Water Department
Citizen Contact,Gilman Dr/Rupertus Ln,9/10/2014,140910047,9/10/2014,5:28 PM,Smoking violation,Will Cooperate
Ticket Sign Off,UCSD Police Department,9/10/2014,140910050,9/10/2014,6:12 PM,,Information Only
Noise Disturbance,North Mesa Apartments,9/10/2014,140910053,9/10/2014,10:32 PM,Neighbor playing trumpet,Will Cooperate
Theft Of Bicycle,La Jolla Del Sol Apartments,9/9/2014,2014-1394,7/4/2014-7/6/2014,4:00 PM-11:30 PM,Loss $550.00,Online Report
Drunk In Public,Villa La Jolla Dr,9/25/2014,2014-1454,9/25/2014,1:10 AM,,Closed By Adult Arrest
Security Alarm,UCTR 108,9/25/2014,1409250013,9/25/2014,6:52 AM,,False Alarm
Medical Aid,Gilman Dr/Eucalyptus Grove Ln,9/25/2014,1409250019,9/25/2014,8:09 AM,Adult female feeling faint,Medics Transported To Hospital
Collision,"I-5/Los Angeles, CA",9/25/2014,2014-1456,9/22/2014,8:30 AM,"UC vehicle unable to avoid piece of tractor trailer tire in roadway, causing damage to undersideof vehicle",Report Taken
Information,SIO Director's Office,9/25/2014,1409250028,9/25/2014,10:31 AM,"Requesting documentation of non-affiliate sleeping on lawn, subject already left area",Information Only
Welfare Check,Regents Rd/Health Sciences Dr,9/25/2014,1409250029,9/25/2014,10:44 AM,Subject in hospital gown walking on side walk,Checks OK
Bicyclist Stop,Lot 703,9/25/2014,1409250034,9/25/2014,11:30 AM,,Verbal Warning Issued
Medical Aid,Rebecca & John Moores Cancer Center,9/25/2014,1409250038,9/25/2014,12:41 PM,Patient having a mild seizure,Referred To Other Agency-Medics Enroute
Hazardous Materials,Pacific Hall,9/25/2014,1409250039,9/25/2014,1:44 PM,Unknown chemical put down sink next to fume hood,Referred To Other Agency-EH&S
Security Alarm,University House,9/25/2014,1409250040,9/25/2014,2:09 PM,,False Alarm
Bicyclist Stop,Bonner Hall,9/25/2014,1409250044,9/25/2014,4:36 PM,"4-5 males on BMX bikes, using handrails to do tricks",Field Interview
Security Alarm,Robinson Complex Bldg 3,9/25/2014,1409250047,9/25/2014,7:18 PM,,False Alarm
Grand Theft,Del Sol Apartments,9/25/2014,2014-1457,9/21/2014-9/25/2014,12:00 PM-5:00 PM,"Unknown suspect(s) entered victim's unlocked bedroom and removed jewelry, loss $5,575.00",Report Taken
Citizen Flagdown,Pharmaceutical Sciences,9/25/2014,1409250057,9/25/2014,10:39 PM,,Information Only
Security Alarm,Student Services Center,9/25/2014,1409250058,9/25/2014,10:45 PM,,Cancelled After Dispatched
Medical Aid,Earls Place,9/28/2014,1409280001,9/28/2014,12:03 AM,Subject requesting transportation to Urgent Care only,Information Only
Alcohol Contact,Cuzco Hall,9/28/2014,1409280003,9/28/2014,12:10 AM,,Information Only
Alcohol Contact,Scholars Dr North,9/28/2014,1409280004,9/28/2014,12:35 AM,,Information Only
Public Intoxication,Village East 1,9/28/2014,2014-1466,9/28/2014,1:09 AM,Original call for welfare check on male slumped over outside,Transported To Detox
Noise Disturbance,The Village West Bldg 6,9/28/2014,1409280011,9/28/2014,1:11 AM,Loud talking and loud music,Information Only
Illegal Parking,Rita Atkinson Residences,9/28/2014,1409280012,9/28/2014,1:14 AM,,Cited
Skateboard Stop,Africa Hall,9/28/2014,1409280014,9/28/2014,1:31 AM,,Verbal Warning Issued
Marijuana Contact,Sixth College Apartments,9/28/2014,1409280015,9/28/2014,1:45 AM,,RSO Report Taken-Student Conduct Referral
Skateboard Stop,Asante hall,9/28/2014,1409280016,9/28/2014,1:55 AM,,Verbal Warning Issued
Disturbance,Village East 1,9/28/2014,1409280017,9/28/2014,1:58 AM,Checking out general disturbance with Resident Dean and on duty Resident Advisor,Information Only
Suspicious Person,Center Hall,9/28/2014,1409280020,9/28/2014,2:24 AM,,Field Interview
Skateboard Stop,Warren Mall,9/28/2014,1409280024,9/28/2014,2:58 AM,,Field Interview
Incomplete Wireless 911 Call,Preuss School,9/28/2014,1409280031,9/28/2014,9:59 AM,,Unable To Locate
Injury,Gilman Dr/Myers Dr,9/28/2014,1409280033,9/28/2014,10:10 AM,"Subject at bus stop bleeding from eye, says he was attached night before in Ocean Beach",Transported To Hospital
Ticket Sign Off,UCSD Police Department,9/28/2014,1409280036,9/28/2014,12:23 PM,,Information Only
Fire Alarm,1 Miramar Bldg 3,9/28/2014,1409280037,9/28/2014,12:47 PM,,False Alarm
Welfare Check,Rita Atkinson Residences,9/28/2014,1409280038,9/28/2014,1:33 PM,Parent hasn't heard from son in 2 days,Checks OK
Marijuana Contact,Sixth College Apartments-Res Life Office,9/28/2014,1409280048,9/28/2014,6:02 PM,Resident Advisor reports strong odor of marijuana,Cancelled Before Dispatched
Fire Alarm,Center Hall,9/28/2014,1409280050,9/28/2014,6:18 PM,,Information Only
Alcohol Contact,Lot 510,9/28/2014,1409280056,9/28/2014,8:57 PM,,Information Only
Welfare Check,Torrey Pines Rd,9/28/2014,1409280058,9/28/2014,9:11 PM,,Checks OK
