,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
22,Ticket Sign Off,UCSD Police Department,9/7/2013,130907027,9/7/2013,11:58 AM,,Information Only
23,Petty Theft,VA Hospital,9/7/2013,130907028,9/7/2013,12:44 PM,Second hand information of male running through parking lot screaming someone stole mybike,Checks OK
24,Fire Alarm,La Jolla Del Sol Apartments,9/7/2013,130907029,9/7/2013,2:21 PM,,Information Only
25,Gas/Water/Sewer Leak,Center For Molecular Medicine,9/7/2013,130907033,9/7/2013,3:59 PM,"Drain backed up, starting to cause flooding",Referred To Other Agency
26,Assist Other Agency,Gilder Port,9/7/2013,130907036,9/7/2013,6:51 PM,Cliff rescue,Information Only
27,Illegal Parking,Rita Atkinson Residences,9/7/2013,130907041,9/7/2013,9:59 PM,,Cited
28,Citizen Contact,La Jolla Shores Beach/Lot 002,9/7/2013,130907043,9/7/2013,10:25 PM,Group of people on the sand with alcohol,Will Cooperate
29,Reckless Driving,Pines On Muir Commons,9/7/2013,130907047,9/7/2013,11:44 PM,2 motorcycles riding on Ridgewalk,Unable To Locate
30,Disturbance,Cuzco Hall,9/22/2013,130922003,9/22/2013,12:28 AM,Loud party,Information Only
31,Disturbance,Frankfurter Hall,9/22/2013,130922005,9/22/2013,12:33 AM,Loud party,Quiet On Arrival
32,Quiet Hours Contact,Asante Hall,9/22/2013,130922006,9/22/2013,1:07 AM,,Will Cooperate
33,Noise Disturbance,ERC Residential,9/22/2013,130922008,9/22/2013,1:21 AM,"Loud popping sound from top terrace, possible BB Gun",Quiet On Arrival
34,Quiet Hours Contact,Sixth College Bldg 705,9/22/2013,130922011,9/22/2013,1:32 AM,,Information Only
35,Quiet Hours Contact,Sixth College Apartments,9/22/2013,130922014,9/22/2013,1:45 AM,,Will Cooperate
36,Noise Disturbance,North Mesa Apartments,9/22/2013,130922017,9/22/2013,3:00 AM,Loud talking and laughing,Quiet On Arrival
37,Vandalism,Mandeville Center,9/22/2013,2013‐1465,9/21/2013‐9/22/2013,8:00 Am‐7:41 AM,"Graffiti, damage: $100.00",Report Taken
38,Incomplete Wireless 911 Call,Myers Dr/Lyman Ln,9/22/2013,130922032,9/22/2013,1:34 PM,,Checks OK
39,Security Alarm,Robinson Library,9/22/2013,130922034,9/22/2013,2:36 PM,,False Alarm
40,Assist Other Agency,Southwest Fisheries,9/22/2013,130922035,9/22/2013,3:28 PM,Assistance needed in locating fallen glider,Checks OK
41,Medical Aid,Brennan Hall,9/22/2013,130922037,9/22/2013,4:38 PM,Young adult female complaining of severe stomach pain,Transported To Hospital
42,Illegal Parking,Lot 306,9/22/2013,130922038,9/22/2013,4:49 PM,,Information Only
43,Suspicious Person,Villa La Jolla Dr/La Jolla Village Dr,9/22/2013,2013‐1466,9/22/2013,5:38 PM,Adult male harassing female students at bus stop,Permanent Stay Away Order Previously Issued‐Will Cooperate
44,Quiet Hours Contact,The Village Bldg 2,9/22/2013,130922043,9/22/2013,7:55 PM,,Information Only
45,Burglary To Vehicle,Lot 208,9/22/2013,2013‐1467,9/22/2013,7:07 PM‐8:07 PM,Amount of loss unknown at this time,Report Taken
46,Noise Disturbance,1 Miramar Bldg 4,9/22/2013,130922045,9/22/2013,8:13 PM,,Quiet On Arrival
47,Injury,Frankfurter Hall,9/22/2013,2013‐1469,9/22/2013,9:01 PM,"Young adult male tripped and fell, may have concussion",Transported To Hospital
48,Drunk In Public,RIMAC,9/22/2013,2013‐1468,9/22/2013,9:10 PM,Excessive alcohol,Transported To Hospital
49,Hazard Situation,Lot 502,9/22/2013,130922053,9/22/2013,9:22 PM,Overloaded vehicle,Information Only
50,Drunk In Public,Pangea Parking Structure,9/22/2013,2013‐1470,9/22/2013,9:27 PM,Excessive alcohol,Transported To Hospital
51,Alcohol Contact,Lot 502,9/22/2013,130922055,9/22/2013,9:41 PM,,Information Only
52,Marijuana Contact,Sixth College Apartments,9/22/2013,130922059,9/22/2013,9:49 PM,Odor of marijuana in area,Unfounded
53,Drunk In Public,RIMAC,9/22/2013,2013‐1473,9/22/2013,9:51 PM,Public intoxication,Transported To Detox
54,Drunk In Public,RIMAC,9/22/2013,2013‐1475,9/22/2013,10:08 PM,Public intoxication,Transported To Detox
55,Drunk In Public,Voigt Dr/Engineer Ln,9/22/2013,2013‐1476,9/22/2013,10:16 PM,Public intoxication,Transported To Detox
56,Injury,Tioga Hall,9/22/2013,2013‐1477,9/22/2013,10:17 PM,Excessive alcohol,Transported To Hospital
57,Suspicious Person,Pangea Parking Structure,9/22/2013,130922068,9/22/2013,10:28 PM,,Information Only
58,Medical Aid,Brennan Hall,9/22/2013,130922073,9/22/2013,11:18 PM,Female having panic attack at location,Checks OK
59,Suspicious Person,The Village West Bldg 1,9/22/2013,2013‐1478,9/22/2013,11:27 PM,"Young adult male banging on reporting party's door, subject is possible intoxicated",Transported To Detox
60,Hazard Situation,Earth Hall North,9/22/2013,130922078,9/22/2013,11:45 PM,Resident Advisor requesting assistance contacting subjects on roof,Gone on Arrival
61,Marijuana Contact,Sixth College Apartments,9/30/2013,130930007,9/30/2013,12:43 AM,,Information Only
62,Suspicious Vehicle,Lot 702,9/30/2013,130930013,9/30/2013,4:23 AM,,Field Interview
63,Suspicious Person,La Jolla Institute For Allergy,9/30/2013,130930032,9/30/2013,8:50 AM,,Unable To Locate
64,Non Injury Accident,Torrey Pines Center South,9/30/2013,130930033,9/30/2013,8:51 AM,"UC shuttle bus vs. sign, no report desired",Information Only
65,Incomplete Wireless 911 Call,UNEX C,9/30/2013,130930036,9/30/2013,9:20 AM,,Checks OK
66,Citizen Contact,UCSD,9/30/2013,2013‐1543,9/28/2013‐9/30/2013,2:00 AM‐9:25 AM,Unknown suspect(s) accessed victim's private user accounts for various websites and networks,Report Taken
67,Burglary To Vehicle,1 Miramar Bldg 6‐Parking,9/30/2013,2013‐1544,9/26/2013‐9/27/2013,9:28 AM‐8:00 AM,Loss/damage: $800.00,Report Taken
68,Information,Southwest Fisheries/La Jolla Shores Dr,9/30/2013,130930042,9/27/2013‐9/30/2013,Unknown,"Report of guard rail/shrubbery & sign damaged from over the weekend, no report wanted",Information Only
69,Medical Aid,York Hall,9/30/2013,130930046,9/30/2013,11:12 AM,Young adult female feeling ill and vomiting,Transported To Hospital
70,Skateboard Stop,Café Ventanas,9/30/2013,130930050,9/30/2013,12:05 PM,,Verbal Warning Issued
71,Bicyclist Stop,Cuzco Hall,9/30/2013,130930053,9/30/2013,12:36 PM,,Verbal Warning Issued
72,Bicyclist Stop,Scholars Dr North/The Village,9/30/2013,130930054,9/30/2013,12:42 PM,,Verbal Warning Issued
73,Stolen Vehicle,Round Table Pizza,9/30/2013,2013‐1545,9/27/2013‐9/28/2013,8:00 PM‐1:00 PM,,Report Taken
74,Bicyclist Stop,Gilman Dr/Library Walk,9/30/2013,130930059,9/30/2013,1:28 PM,,Verbal Warning Issued
75,Suspicious Package,Student Services Center,9/30/2013,130930063,9/30/2013,4:03 PM,,Information Only
76,Citizen Contact,Warren Literature,9/30/2013,130930065,9/30/2013,5:09 PM,Bike locked to reporting party's bike,Information Only
77,"Disturbance, Argument",Lot 401,9/30/2013,130930066,9/30/2013,6:51 PM,"Second hand information, reporting party told by female motorist that she was being harassedby another motorist",Unable To Locate
78,Medical Aid,Coast Apartments,9/30/2013,130930067,9/30/2013,8:52 PM,Adult female having trouble breathing,Field Interview
79,Petty Theft,Matthews Apartments,9/30/2013,2013‐1546,9/30/2013,12:00 PM‐2:30 PM,"Theft of bicycle, loss: $600.00",Report Taken
80,Vandalism,Mandeville Center,9/30/2013,2013‐1547,9/30/2013,9:43 PM,"Graffiti, loss: $100.00",Report Taken
81,Welfare Check,La Jolla Village Dr/Villa La Jolla Dr,9/30/2013,130930070,9/30/2013,9:58 PM,Female subject appears to possibly be in distress,Referred To Other Agency‐San Diego Police
82,Disturbance,Genesee Ave,9/30/2013,130930074,9/30/2013,11:13 PM,Loud party,Field Interview
83,Noise Disturbance,North Mesa Apartments,9/30/2013,130930075,9/30/2013,11:40 PM,Loud laughing and noise,Quiet On Arrival
84,Information Only,Gilman Parking Structure,9/1/2013,130901003,9/1/2013,12:52 AM,Suspicious vehicle,Information Only
85,Suspicious Person,1 Miramar Bldg 3,9/1/2013,130901009,9/1/2013,2:43 AM,,Gone On Arrival
86,Assist Other Agency,Thornton Hospital,9/1/2013,130901010,9/1/2013,4:56 PM,Discharged patient refusing to leave,Information Only
87,Vandalism,Pepper Canyon Hall,9/1/2013,130901011,9/1/2013,5:25 AM,Bathroom possibly vandalized,Checks OK
88,Security Alarm,Discovery Wy/T42,9/1/2013,130901019,9/1/2013,11:31 AM,,False Alarm
89,Security Alarm,SIO Director's Office,9/1/2013,130901020,9/1/2013,11:38 AM,,False Alarm
90,Unknown Injury Accident,El Paseo/Kennel Way,9/1/2013,130901022,9/1/2013,12:10 PM,,Referred To Other Agency
91,Illegal Parking,Lot 351,9/1/2013,130901025,9/1/2013,4:49 PM,,Will Cooperate
92,Assist Other Agency,La Jolla Shores Dr/Naga Wy,9/1/2013,130901026,9/1/2013,5:05 PM,Animal Control,Information Only
93,Drunk In Public,Blacks Beach Gate,9/1/2013,2013‐1382,9/1/2013,5:33 PM,,Transported to Detox
94,Non Injury Accident,La Jolla Shores Dr/North Torrey Pines Rd,9/1/2013,2013‐1383,9/1/2013,5:40 PM,Vehicle collision with no injuries,Report Taken
95,Robbery,Voigt Dr/Matthews Ln,9/1/2013,2013‐1384,9/1/2013,6:24 PM,"Other crimes committed, assault with a deadly weapon; not fire arm, and conspiracy to commitcrime, loss: $3.00",Report Taken
96,Medical Aid,Cuzco Hall,9/1/2013,130901041,9/1/2013,10:48 PM,Female having difficulty breathing and experiencing chest pains,Fire/Medic Responded-Medical Aid Refused
97,Disturbance,The Village East 3,9/24/2013,130924002,9/24/2013,12:34 AM,Group of 5 to 10 people drinking on roof,Information Only
98,Welfare Check,Sun God,9/24/2013,130924003,9/24/2013,12:36 AM,Male passed out,Checks OK
99,"Disturbance, Fight",Applied Physics & Mathematics,9/24/2013,2013‐1493,9/24/2013,12:38 AM,,Closed By Adult Arrest
100,Alcohol Contact,Revelle Apartments,9/24/2013,130924005,9/24/2013,12:43 AM,,Information Only
101,Trespass,Stewart Hall,9/24/2013,130924006,9/24/2013,12:47 AM,Reporting party hears people walking on roof,Checks OK
102,Alcohol Contact,Oceanview Terrace,9/24/2013,130924009,9/24/2013,1:34 AM,,Information Only
103,Quiet Hours Contact,Muir Apartments,9/24/2013,130924010,9/24/2013,1:44 AM,,Information Only
104,Assist Other Agency,The Village Bldg 6,9/24/2013,130924011,9/24/2013,1:48 AM,Loud group of about 20 people,Information Only
105,Alcohol Contact,The Village Bldg 1,9/24/2013,130924014,9/24/2013,2:10 AM,,Field Interview
106,Quiet Hours Contact,Tioga Hall,9/24/2013,130924015,9/24/2013,2:20 AM,,Will Cooperate
107,Noise Disturbance,Kathmandu,9/24/2013,130924019,9/24/2013,2:38 AM,"Someone banging on reporting party's door for last 30 minutes, possibly RP's ex‐boyfriend",Checks Ok
108,Bicyclist Stop,Gilman Dr/Myers Dr,9/24/2013,130924030,9/24/2013,8:49 AM,,Verbal Warning Issued
109,Lost Property,Warren Mall,9/24/2013,130924045,9/19/2013,Unknown,Lost passport,Information Only
110,Citizen Contact,UCSD Police Department,9/24/2013,130924051,9/24/2013,11:55 AM,Out of state caller concerned about privacy information possibly being violated,Information Only
111,Medical Aid,Campus Point Dr/Medical Center Dr. North,9/24/2013,130924052,9/24/2013,12:18 PM,Elderly adult female fell down after feeling faint,Transported To Hospital
112,Lost Property,Student Services Center,9/24/2013,130924061,9/21/2013,Unknown,Lost passport,Information Only
113,Petty Theft,Marshall Res Life Office,9/24/2013,2013‐1495,9/23/2013‐9/24/2013,7:00 PM‐1:00 PM,"Theft of bicycle, loss: $330.00",Report Taken
114,Hit & Run No Injuries,Hopkins Parking Structure,9/24/2013,130924074,9/24/2013,Unknown,Parties exchanged information,Information Only
115,"Disturbance, Psych Subject",Galbraith Hall,9/24/2013,130924075,9/24/2013,5:51 PM,"Adult male student acting paranoid, concerned he may become violent",Field Interview
116,Preserve The Peace,UNEX X,9/24/2013,130924076,9/24/2013,5:53 PM,,Information Only
117,Hit & Run No Injuries,Lot 207,9/24/2013,2013‐1497,9/24/2013,Unknown,,Report Taken
118,Fire Alarm,Pacific Hall,9/24/2013,130924078,9/24/2013,6:52 PM,,False Alarm
119,Fire Alarm,Café Ventanas,9/24/2013,130924084,9/24/2013,9:21 PM,,False Alarm
120,Bicyclist Stop,Gilman Dr/Voigt Dr,9/24/2013,130924089,9/24/2013,10:33 PM,,Verbal Warning Issued
121,Bicyclist Stop,Gilman Dr/Voigt Dr,9/24/2013,130924089,9/24/2013,10:33 PM,,Verbal Warning Issued
122,Alcohol Contact,Tenaya Hall,9/24/2013,130924092,9/24/2013,10:50 PM,,Information Only
123,Assist Other Agency,Genesee Ave,9/24/2013,130924096,9/24/2013,11:22 PM,San Diego Police out with large group drinking outside residence,Information Only
124,Noise Disturbance,Bates Hall,9/24/2013,130924097,9/24/2013,11:25 PM,Large group playing basket ball at basketball courts,Will Cooperate
125,Injury,Stewart Hall,9/24/2013,2013‐1498,9/24/2013,11:35 PM,Juvenile injured while playing basketball,Transported To Hospital
126,Injury,Bookstore,9/24/2013,2013‐1499,9/24/2013,11:35 PM,Bicyclist injured from falling off bicycle,Transported To Hospital
127,Disturbance,Campus Point Dr/Genesee Ave,9/24/2013,130924100,9/24/2013,11:50 PM,Large group from party broken up by San Diego Police,Information Only
128,Quiet Hours Contact,Village East 4,9/24/2013,130924103,9/24/2013,11:55 PM,,Will Cooperate
129,Petty Theft,RIMAC,9/22/2013,2013‐1494,9/22/2013,4:30 PM‐5:40 PM,Loss: $35.00,Online Report Taken
130,Suspicious Person,Parking Lot 359,9/11/2013,130911003,9/11/2013,1:17 AM,,Field Interview
131,Bicyclist Stop,Voigt Drive,9/11/2013,130911007,9/11/2013,7:52 AM,,Verbal Warning Issued
132,Bicyclist Stop,Gilman Drive/Russell Lane,9/11/2013,130911012,9/11/2013,8:49 AM,,Verbal Warning Issued
133,Bicyclist Stop,Gilman Drive/Voigt Drive,9/11/2013,130911021,9/11/2013,9:25 AM,,Verbal Warning Issued
134,Bicyclist Stop,Parking Lot 705,9/11/2013,130911024,9/11/2013,9:40 AM,,Verbal Warning Issued
135,Bicyclist Stop,Biomedical Sciences Building,9/11/2013,130911038,9/11/2013,11:56 AM,,Verbal Warning Issued
136,Bicyclist Stop,Parking Lot 601,9/11/2013,130911043,9/11/2013,12:58 PM,,Verbal Warning Issued
137,Suspicious Person,Gilman Parking Structure,9/11/2013,130911045,9/11/2013,1:06 PM,,Field Interview
138,Skateboard Stop,Gilman Drive/Parking Lot 602,9/11/2013,130911053,9/11/2013,2:51 PM,,Field Interview
139,Unknown Injury Accident,Gilman Drive/Osler Lane,9/11/2013,130911059,9/11/2013,4:12 PM,,Information Only
140,Citizen Flagdown,Main Gym,9/11/2013,130911061,9/11/2013,4:48 PM,Directions,Information Only
141,Suspicious Person,Parking Lot 502,9/11/2013,2013-1416,9/11/2013,7:54 PM,,Report Taken
142,Vandalism,Parking Lot 502,9/9/2013,2013-1414,9/5/2013,8:30 AM - 4:15 PM,Value Damaged:  $50.00,Online Report
143,Theft of Bicycle,Coast Apartments Bike Rack,9/9/2013,2013-1417,8/21/2013,5:55 AM - 11:55 PM,Loss:  $600.00,Online Report
144,Theft of Bicycle,Leichtag,9/9/2013,2013-1418,9/9/2013,5:00 PM - 8:00 PM,Loss:  $700.00,Online Report
145,Theft of Bicycle,Bonner Hall,9/10/2013,2013-1419,9/9/2013,9:00 AM - 11:00 PM,Loss:  $900.00,Online Report
146,Theft of Bicycle,Engineering Building,9/11/2013,2013-1420,9/10/2013,11:30 AM - 11:20 PM,Loss:  $299.00,Online Report
147,Disturbance,Goldberg Hall,9/29/2013,130929001,9/29/2013,12:02 AM,Group of students smoking on first floor,Gone On Arrival
148,Drunk In Public,Lot 357,9/29/2013,2013‐1532,9/29/2013,12:23 AM,Excessive Alcohol,Transported To Hospital
149,Quiet Hours Contact,Goldberg Hall,9/29/2013,130929003,9/29/2013,12:23 AM,,Information Only
150,Alcohol Contact,Earth Hall North,9/29/2013,130929005,9/29/2013,12:46 AM,,Information Only
151,Quiet Hours Contact,Cuzco Hall,9/29/2013,130929007,9/29/2013,1:02 AM,,Will Cooperate
152,Noise Disturbance,1 Miramar Bldg 2,9/29/2013,130929009,9/29/2013,1:21 AM,Loud music,Quiet On Arrival
153,Suspicious Vehicle,Lot 357,9/29/2013,130929012,9/29/2013,1:37 AM,,Field Interview
154,Citizen Flagdown,1 Miramar Bldg 1,9/29/2013,2013‐1533,9/29/2013,2:28 AM,"Per taxi cab driver, passenger assaulted him and ran off without paying cab fare",Closed By Adult Arrest
155,Welfare Check,Lot 208,9/29/2013,130929017,9/29/2013,3:39 AM,Male shouting at himself,Field Interview
156,Quiet Hours Contact,Tamarack Apartments,9/29/2013,130929020,9/29/2013,4:39 AM,,Information Only
157,Petty Theft,Revelle Apartments,9/29/2013,2013‐1534,9/28/2013‐9/29/2013,7:30 PM‐8:15 AM,"Theft of bicycle, loss: $100.00",Report Taken
158,Security Alarm,Robinson 3‐Computer Lab,9/29/2013,130929031,9/29/2013,10:10 AM,,False Alarm
159,Burglary To Vehicle,1 Miramar Parking Structure,9/29/2013,2013‐1535,9/27/2013‐9/29/2013,11:30 PM‐10:25 AM,Damage/Loss: $680.00,Report Taken
160,Reckless Driving,1 Miramar Parking Structure,9/29/2013,130929033,9/29/2013,11:03 AM,Going towards regents,Unable To Locate
161,Citizen Flagdown,Regents Rd/La Jolla Village DR,9/29/2013,130929034,9/29/2013,11:09 AM,Found property,Information Only
162,Drunk Driving No Injuries,Central Mesa Apartments,9/29/2013,2013‐1536,9/29/2013,11:03 AM,,Closed By Adult Arrest
163,Fire Alarm,Applied Physics & Mathematics,9/29/2013,130929038,9/29/2013,12:26 PM,,False Alarm
164,Vandalism To Vehicle,Pangea Parking Structure,9/29/2013,2013‐1537,9/27/2013‐9/29/2013,5:00 PM‐3:00 PM,"Damage: $2,000.00",Report Taken
165,Injury,Sixth College Res Halls,9/29/2013,2013‐1538,9/29/2013,3:35 PM,Young adult male bleeding due to hitting head on clothing hook inside bathroom,Transported To Hospital
166,Burglary To Vehicle,Lot 401,9/29/2013,2013‐1540,9/22/2013‐9/29/2013,Unknown,Amount of loss unknown at this time,Report Taken
167,Petty Theft,Galathea Hall,9/29/2013,2013‐1539,9/28/2013‐9/29/2013,10:30 PM‐8:00 AM,"Theft of bicycle, loss: $500.00",Report Taken
168,Security Alarm,Robinson 3‐Computer Lab,9/29/2013,130929048,9/29/2013,5:25 PM,,False Alarm
169,Non Injury Accident,Central Mesa Apartments,9/29/2013,2013‐1541,9/29/2013,Unknown,"UC vehicle involved, not sure if vehicle hit stationary object or hit/was hit by other vehicle",Report Taken
170,Medical Aid,Rita Atkinson Residences,9/29/2013,130929051,9/29/2013,6:21 PM,"Adult male complaining his head hurts, may have been hit in back of head last night",Transported To Hospital
171,Citizen Contact,VA Hospital,9/29/2013,130929054,9/29/2013,6:37 PM,Reporting party has concerns about his car that was lent to his son,Information Only
172,Assist Other Agency,Glider Port,9/29/2013,130929055,9/29/2013,7:22 PM,"San Diego Police out on multi vehicle collision, possible DUI, need help with traffic control",Information Only
173,Medical Aid,The Village Bldg 1,9/29/2013,2013‐1542,9/29/2013,9:58 PM,Subject with head injury that is bleeding,Transported To Hospital
174,Noise Disturbance,Warren Basketball Court,9/29/2013,130929060,9/29/2013,10:18 PM,Loud basketball game,Information Only
175,Quiet Hours Contact,Tamarack Apartments,9/29/2013,130929061,9/29/2013,10:40 PM,,Will Cooperate
176,Illegal Parking,Lot 206,9/29/2013,130929068,9/29/2013,11:23 PM,,Cited
177,Bicyclist Stop,Lot 113,9/29/2013,130929069,9/29/2013,11:29 PM,,Verbal Warning Issued
178,Disturbance,Natatorium,9/16/2013,130916001,9/16/2013,12:15 AM,Large group of people in jacuzzi,Field Interview
179,Injury,Argo Hall,9/16/2013,2013‐1435,9/16/2013,1:30 AM,Skateboarding injury,Paramedics Responded/Transportation Declined
180,Non Injury Accident,SIO Forum,9/16/2013,130916006,9/16/2013,6:45 AM,UC vehicle vs. parked vehicle,Information Only
181,Suspicious Person,Blake Hall,9/16/2013,130916007,9/16/2013,7:48 AM,,Field Interview
182,Petty Theft,Tioga Hall,9/16/2013,2013‐1437,9/12/2013‐9/13/2013,6:00 PM‐9:00 AM,"Theft of bicycle, loss: $419.00",Report Taken
183,Petty Theft,South Mesa Apartments,9/16/2013,130916020,9/15/2013,Unknown,"Theft of bicycle, loss unknown",Information Only
184,Illegal Parking,Rupertus WY/Russell Ln,9/16/2013,130916031,9/16/2013,10:51 AM,,Cited
185,Non Injury Accident,Lot P18/La Jolla Village Dr,9/16/2013,130916036,9/16/2013,11:58 AM,"Second hand information from VA hospital, 2 vehicles",Unable To Locate
186,Burglary,York Hall,9/16/2013,2013‐1438,9/14/2013‐9/16/2013,4:00 PM‐10:00 AM,Loss: $3000.00,Report Taken
187,Non Injury Accident,RIMAC Loading Dock,9/16/2013,2013‐1439,9/16/2013,3:00 PM,UC vehicle vs. stationary object,Report Taken
188,Hazard Situation,Bonner Hall,9/16/2013,130916050,9/16/2013,3:53 PM,,Referred To Other Agency‐Facilities Management
189,Fire Alarm,Applied Physics & Mathematics,9/16/2013,130916051,9/16/2013,4:08 PM,,False Alarm
190,Security Alarm,Engineering Bldg Unit 1,9/16/2013,130916057,9/16/2013,6:10 PM,,False Alarm
191,Animal Call,Torrey Pines Center North,9/16/2013,130916059,9/16/2013,6:32 PM,Raccoon stuck in trash can,Information Only
192,Assist Other Agency,Stewart Hall,9/16/2013,130916063,9/16/2013,8:55 PM,Someone possibly living in a room that should be empty,Checks OK
193,Medical Aid,Douglas Hall,9/16/2013,130916066,9/16/2013,10:32 PM,Young adult female complaining of severe back and leg pains,Transported To Hospital
194,Suspicious Vehicle,Lot 502,9/16/2013,130916068,9/16/2013,11:06 PM,,Checks OK
195,Suspicious Vehicle,North Mesa Apartments,9/16/2013,130916070,9/16/2013,11:44 PM,,Checks OK
196,Theft Of Bicycle,1 Miramar,9/12/2013,2013‐1441,9/11/2013‐9/12/2013,11:30 PM‐2:00 PM,Loss: $250.00,Online Report
197,Petty Theft,Student Service Center,9/13/2013,2013‐1442,9/9/2013,10:25 AM‐10:30 AM,Loss: $650.00,Online Report
198,Theft Of Bicycle,Bates Hall,9/13/2013,2013‐1443,9/12/2013‐9/13/2013,6:00 PM‐10:45 AM,Loss: $400.00,Online Report
199,Illegal Parking,Scholars Dr North,9/23/2013,130923011,9/23/2013,12:19 AM,,Cited
200,Bicyclist Stop,Voigt Dr/Lot 701,9/23/2013,130923012,9/23/2013,12:24 AM,,Verbal Warning Issued
201,Assist Other Agency,Cuzco Hall,9/23/2013,130923014,9/23/2013,12:31 PM,Large group of 60 people in front of location,Checks OK
202,Assist Other Agency,Lot 104,9/23/2013,130923017,9/23/2013,1:01 AM,"Per Resident Advisor, approximately 6 subjects stumbling in parking lot",Checks Ok
203,Noise Disturbance,Brennan Hall,9/23/2013,130923018,9/23/2013,1:03 AM,Loud talking and laughing,Quiet On Arrival
204,Citizen Contact,Scholars Dr North,9/23/2013,2013‐1480,9/23/2013,1:35 AM,Heavily intoxicated subject refusing to identify self to Residential Security Officer,Closed By Adult Arrest
205,Citizen Contact,The Village West Bldg 2,9/23/2013,130923027,9/23/2013,2:33 AM,Distraught male,Field Interview
206,Quiet Hours Contact,Brennan Hall,9/23/2013,130923028,9/23/2013,2:54 AM,,Information Only
207,Bicyclist Stop,Lot 602,9/23/2013,130923043,9/23/2013,10:21 AM,,Verbal Warning Issued
208,Lost Property,Unknown,9/23/2013,130923046,9/23/2013,10:36 AM,Report of lost passport,Information Only
209,Illegal Parking,Tioga Hall,9/23/2013,130923049,9/23/2013,10:41 AM,,Information Only
210,Petty Theft,Marshall Res Life,9/23/2013,2013‐1481,9/22/2013‐9/23/2013,11:00 PM‐11:00 AM,"Theft of bicycle, loss: $250.00",Report Taken
211,Petty Theft,RIMAC Field,9/23/2013,2013‐1482,9/22/2013,9:00 PM,Loss: $398.00,Report Taken
212,Burglary To Vehicle,Hopkins Parking Structure,9/23/2013,2013‐1483,9/22/2013‐9/23/2013,11:30 PM‐12:19 PM,"Petty theft, loss: $400.00",Report Taken
213,Injury,Revelle Provost,9/23/2013,2013‐1484,9/23/2013,1:30 PM,Golf cart drove through window and struck adult female,Report Taken
214,Bicyclist Stop,Osler Ln/Gilman Dr,9/23/2013,130923065,9/23/2013,2:35 PM,,Verbal Warning Issued
215,Non Injury Accident,RIMAC Loading Dock,9/23/2013,2013‐1488,9/23/2013,3:01 PM,UC vehicle vs. parked vehicle,Report Taken
216,Suspicious Person,Lot 508,9/23/2013,130923067,9/23/2013,4:13 PM,,Field Interview
217,Burglary To Vehicle,Pangea Parking Structure,9/23/2013,2013‐1489,9/22/2013,9:30 PM‐11:30 PM,Loss: $50.00,Report Taken
