,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
42,Non Injury Accident,La Jolla Village Dr/Regents Rd,9/7/2012,120907038,9/7/2012,9:09 PM,"Collision, involved motorists exchanging information",Information Only
43,Suspicious Person,Scholars Dr North,9/7/2012,120907043,9/7/2012,11:38 PM,,Information Only
44,Welfare Check,Muir Apartments,9/17/2012,120917006,9/17/2012,6:01 AM,Caller unable to get ahold of brother over telephone,Information Only
45,Information,Bellakaren Place,9/17/2012,120917009,9/17/2012,7:49 AM,UC vehicle left in the same spot for over a month,Referred To Other Agency‐Garage
46,Grand Theft,Lot 603/Construction Site,9/17/2012,2012‐1043,8/10/2012‐9/17/2012,4:00 PM‐6:30 AM,"Loss: $3,800.00",Report Taken
47,Burglary Alarm,Leichtag Biomedical,9/17/2012,120917032,9/17/2012,5:08 PM,,False Alarm
48,Disturbance,South Mesa Apartments,9/17/2012,120917041,9/17/2012,10:33 PM,Loud party,Will Cooperate
49,Noise Disturbance,Central Mesa Apartments,9/11/2012,120911002,9/11/2012,12:27 AM,Loud talking and smoking,Will Cooperate
50,Hit & Run,Cardiovascular Center,9/11/2012,2012‐1023,9/07/2012‐09/08/2012,6:45 PM‐4:00 AM,,Report Taken
51,Non Injury Accident,Lot 017,9/11/2012,120911011,9/11/2012,7:20 AM,Involved motorists exchanged information,Information Only
52,Petty Theft,Natural Sciences Bldg,9/11/2012,120911016,9/11/2012,9:01 AM,Suspicious person seen walking away with television,Unable To Locate
53,Grand Theft,Pharmaceutical Sciences‐ Construction Site,9/11/2012,120911021,9/11/2012,11:20 AM,"Loss: $10,000.00",Report Taken
54,Citizen Contact,Humanities and Social Sciences,9/11/2012,120911024,9/11/2012,11:51 AM,Complaint of transient possibly living inside building,Information Only
55,Unknown Injury Accident,Villa La Jolla Dr/Gilman Dr,9/11/2012,2012‐1024,9/11/2012,11:50 AM,Two vehicle involved collision with minor injuries,Report Taken
56,Medical Aid,Rebecca and John Moores Cancer Center,9/11/2012,120911029,9/11/2012,1:21 PM,Elderly adult male requesting medics for pain,Referred To Other Agency‐Moores Security/Medics
57,Citizen Flagdown,Gilman Dr/Voigt Dr,9/11/2012,120911037,9/11/2012,5:11 PM,Suspicious person,Checks OK
58,Information,Center For Molecular Medicine,9/11/2012,120911038,9/11/2012,5:23 PM,Reporting party concerned about a water leak that may be a potential fire hazard,Referred To Other Agency‐EH&S
59,Assist Other Agency,Redwood Dr,9/11/2012,120911039,9/11/2012,8:00 PM,Bird inside office hitting window/attempting to fly out,Checks OK
60,Animal Call,Lot 701,9/11/2012,120911040,9/11/2012,8:03 PM,Rattlesnake by side of the road,Referred To Other Agency‐Animal Control
61,Noise Disturbance,Del Sol Apartments,9/11/2012,120911043,9/11/2012,10:00 PM,Loud talking,Will Cooperate
62,Disturbance,Bates Hall,9/11/2012,120911045,9/11/2012,10:55 PM,Glass bottles being thrown from 3rd floor balcony,Unable To Locate
63,Marijuana Contact,Lot 406,9/24/2012,120924003,9/24/2012,12:08 AM,,Information Only
64,Alcohol Contact,Sixth College Apartments,9/24/2012,120924005,9/24/2012,12:15 AM,,Information
65,Assist Other Agency,Asante Hall‐I Walk,9/24/2012,120924006,9/24/2012,12:16 AM,Resident Advisor requesting assistance with breaking up group on I walk,Information Only
66,Alcohol Contact,Cuzco Hall,9/24/2012,2012‐1066,9/24/2012,12:27 AM,,Closed By Adult Arrest
67,Alcohol Contact,Lot 406,9/24/2012,120924010,9/24/2012,12:28 AM,,Information Only
68,Quiet Hours Contact,Village East 1,9/24/2012,120924011,9/24/2012,12:31 AM,,Will Cooperate
69,Quiet Hours Contact,Sixth College Apartments,9/24/2012,120924013,9/24/2012,12:48 AM,,Will Cooperate
70,Quiet Hours Contact,Stewart Hall,9/24/2012,120924018,9/24/2012,1:11 AM,,Information Only
71,Welfare Check,Gilman Parking Structure,9/24/2012,2012‐1067,9/24/2012,1:18 AM,Public intoxication,Transported to Detox
72,Marijuana Contact,The Village Bldg 1,9/24/2012,120924020,9/24/2012,1:20 AM,Strong smell of marijuana,Will Cooperate
73,Quiet Hours Contact,Frankfurter Hall,9/24/2012,120924021,9/24/2012,1:26 AM,,Information Only
74,Quiet Hours Contact,Frankfurter Hall,9/24/2012,120924022,9/24/2012,1:32 AM,,Information Only
75,Vandalism,Marshall Apartments East,9/24/2012,2012‐1068,9/24/2012,1:30 AM,"Pine cone through second floor window, damage: $150.00",Report Taken
76,Alcohol Contact,Village East 2,9/24/2012,120924025,9/24/2012,1:45 AM,,Field Interview
77,Quiet Hours Contact,Harlan Hall,9/24/2012,120924028,9/24/2012,2:06 AM,,Information Only
78,Quiet Hours Contact,Brennan Hall,9/24/2012,120924029,9/24/2012,2:13 AM,,Will Cooperate
79,Disturbance,Cuzco Hall,9/24/2012,120924030,9/24/2012,2:18 AM,Loud party,Will Cooperate
80,Assist Other Agency,The Village Bldg 5,9/24/2012,120924031,9/24/2012,2:30 AM,"Assistance with identifying two subjects, unable to prove affiliation",Information Only
81,Assist Other Agency,The Village Bldg 2,9/24/2012,120924034,9/24/2012,2:56 AM,"Disturbance/party, Resident Advisor making  contact requesting assistance",Information Only
82,Alcohol Contact,Sixth College Apartments,9/24/2012,120924037,9/24/2012,3:59 AM,,Information Only
83,Medical Aid,Sixth College Apartments,9/24/2012,120924039,9/24/2012,4:38 AM,Young adult female with rapid heart rate,Transported To Hospital
84,Recovered Stolen Vehicle,Campus Services Complex Bldg C,9/24/2012,2012‐1069,9/24/2012,8:00 AM,,Report Taken
85,Information,Blacks Beach Gate,9/24/2012,120924060,9/24/2012,8:45 AM,Found gate lock cut,Referred To Other Agency‐Facilities Management
86,Animal Call,Hopkins Parking Structure,9/24/2012,120924062,9/24/2012,9:41 AM,Dog inside vehicle unoccupied,Cited
87,Illegal Camping,Coast/Expedition Way: Wooded Area,9/24/2012,120924063,9/24/2012,9:56 AM,,Referred To Other Agency‐Facilities Management
88,Injury,Argo Hall,9/24/2012,2012‐1070,9/24/2012,10:00 AM,"Young adult female slipped and fell in shower, hit head on tiled step",Transported To Hospital
89,Stolen Vehicle,Lot 705,9/24/2012,2012‐1071,9/23/2012‐9/24/2012,9:00 PM‐10:45 AM,,Report Taken
90,Illegal Parking,Regents Rd/Genesee Ave,9/24/2012,120924069,9/24/2012,11:37 AM,,Cited
91,Information,Student Services Center,9/24/2012,120924071,9/24/2012,11:45 AM,"Known subject in area, known to cause disturbances",Information Only
92,Incomplete Wireless 911 Call,Thurgood Marshall Activity Center,9/24/2012,120924072,9/24/2012,11:58 AM,,Checks OK
93,Preserve The Peace,UCTR,9/24/2012,2012‐1072,9/24/2012,12:15 PM,,Information Only
94,Annoying/Harassing Phone Call,IGPP,9/24/2012,2012‐1072,9/24/2012,12:42 PM,,Report Taken
95,Suicide Attempt,The Village Bldg 7,9/24/2012,120924076,9/24/2012,12:57 PM,Subject made suicidal threats to reporting party,Checks OK
96,Burglary Alarm,Engineering Bldg Unit 3A,9/24/2012,120924079,9/24/2012,2:54 PM,,False Alarm
97,Welfare Check,Hopkins Parking Structure,9/24/2012,120924080,9/24/2012,3:04 PM,"Suspicious person, appears to be confused/disoriented",Checks OK
98,Citizen Contact,UCSD Police Department,9/24/2012,120924081,9/24/2012,4:08 PM,Temporary restraining order notification,Information Only
99,Petty Theft,Engineering Bldg Unit 3A,9/24/2012,120924084,9/24/2012,6:15 PM,Reporting party stated will make online report,Gone On Arrival
100,Burglary Alarm,Outback Adventures,9/24/2012,120924085,9/24/2012,6:29 PM,,Checks OK
101,Bicyclist Stop,Voigt Dr/Lyman Ln,9/24/2012,120924087,9/24/2012,7:32 PM,,Verbal Warning Issued
102,Incomplete Wireless 911 Call,Marshall Field,9/24/2012,120924088,9/24/2012,7:55 PM,,Unable To Locate
103,Alcohol Contact,The Village West Bldg 1,9/24/2012,120924096,9/24/2012,9:56 PM,,Information Only
104,Incomplete Wireless 911 Call,Muir Apartments,9/24/2012,120924102,9/24/2012,11:08 PM,"No answer on call back, left voice message",Unable To Locate
105,Quiet Hours Contact,The Village West Bldg 8,9/24/2012,120924104,9/24/2012,11:15 PM,,Will Cooperate
106,Welfare Check,Village East 3,9/24/2012,120924106,9/24/2012,11:21 PM,"Possibly intoxicated subject, not answering door",Transported To Hospital
107,Disturbance,The Village West Bldg 1,9/24/2012,120924111,9/24/2012,11:55 PM,"Fight, unknown number of people",Unable To Locate
108,Citizen Contact,Revelle Apartments,9/24/2012,120924112,9/24/2012,11:56 PM,Resident Advisor requesting assistance with contact,Information Only
109,Citizen Flagdown,Voigt Dr/Health Sciences Dr,9/1/2012,120901014,9/1/2012,10:11 AM,Directions needed,Information Only
110,Citizen Flagdown,Rupertus Wy,9/1/2012,120901016,9/1/2012,10:52 AM,Looking for guided tour information,Information Only
111,Suspicious Person,VA Hospital,9/1/2012,120901017,9/1/2012,11:07 AM,,Field Interview
112,Ticket Sign Off,Lot 705,9/1/2012,120901021,9/1/2012,2:32 PM,,Information Only
113,Incomplete Phone Call/911 Hang‐Up,La Jolla Village Dr/Costa Verde Blvd,9/1/2012,120901026,9/1/2012,4:14 PM,,Referred To Other Agency‐San Diego Police
114,Burglary Alarm,La Jolla Playhouse,9/1/2012,120901029,9/1/2012,5:40 PM,,False Alarm
115,Ticket Sign Off,UCSD Police Department,9/1/2012,120901035,9/1/2012,7:36 PM,,Information Only
116,Illegal Parking,1 Miramar Bldg 4,9/1/2012,120901039,9/1/2012,8:58 PM,,Information Only
117,Burglary Alarm,Geisel Library,9/30/2012,120930001,9/30/2012,12:04 AM,,False Alarm
118,Citizen Contact,South Mesa Apartments,9/30/2012,2012‐1110,9/30/2012,12:19 AM,Camera found attached to bathroom window,Report Taken
119,Quiet Hours Contact,Village East 1,9/30/2012,120930003,9/30/2012,12:19 AM,,Will Cooperate
120,Alcohol Contact,Sixth College Bldg 707,9/30/2012,120930006,9/30/2012,12:37 AM,,Information Only
121,Medical Aid,Meteor Hall,9/30/2012,120930007,9/30/2012,12:38 AM,"Subject vomiting, no medics wanted",Information Only
122,Citizen Contact,Sixth College Bldg 709,9/30/2012,120930011,9/30/2012,1:08 AM,,Information Only
123,Citizen Contact,Frankfurter Hall,9/30/2012,120930012,9/30/2012,1:18 AM,,Information Only
124,Alcohol Contact,Geneva Hall,9/30/2012,120930013,9/30/2012,1:21 AM,,Checks OK
125,Citizen Contact,Earls Place,9/30/2012,120930014,9/30/2012,1:23 AM,,Information Only
126,Citizen Contact,Douglas Hall,9/30/2012,120930015,9/30/2012,1:26 AM,,Information Only
127,Quiet Hours Contact,Douglas Hall,9/30/2012,120930016,9/30/2012,1:33 AM,,Will Cooperate
128,Alcohol Contact,Social Sciences Bldg,9/30/2012,120930017,9/30/2012,1:35 AM,,Field Interview
129,Alcohol Contact,Sixth College Apartments,9/30/2012,120930019,9/30/2012,1:51 AM,,Information Only
130,Alcohol Contact,Sixth College Apartments,9/30/2012,120930022,9/30/2012,2:00 AM,,Information Only
131,Assist Other Agency,Cuzco Hall,9/30/2012,120930025,9/30/2012,2:04 AM,Large crowd on I‐Walk,Information Only
132,Quiet Hours Contact,Sixth College Apartments,9/30/2012,120930027,9/30/2012,2:08 AM,,Will Cooperate
133,Quiet Hours Contact,Cuzco Hall,9/30/2012,120930033,9/30/2012,2:24 AM,,Will Cooperate
134,Citizen Contact,Village East 4,9/30/2012,120930034,9/30/2012,2:27 AM,,Information Only
135,Noise Disturbance,Stewart Hall,9/30/2012,120930037,9/30/2012,2:54 AM,Sound of glass breaking and other unknown loud noise,Unable To Locate
136,Suspicious Vehicle,Lot 502,9/30/2012,120930038,9/30/2012,2:55 AM,,Checks OK
137,Quiet Hours Contact,Stewart Hall,9/30/2012,120930040,9/30/2012,3:06 AM,,Will Cooperate
138,Quiet Hours Contact,Stewart Hall,9/30/2012,120930041,9/30/2012,3:14 AM,,Will Cooperate
139,Quiet Hours Contact,Douglas Hall,9/30/2012,120930042,9/30/2012,3:21 AM,,Will Cooperate
140,Suspicious Vehicle,Café Ventanas,9/30/2012,120930043,9/30/2012,3:41 AM,,Information Only
141,Drunk In Public,Tioga Hall,9/30/2012,120930044,9/30/2012,4:09 AM,Released to care of roommate,Checks OK
142,Medical Aid,Village East 1,9/30/2012,120930045,9/30/2012,4:39 AM,Excessive alcohol,Transported To Hospital
143,Information,Regents Rd,9/30/2012,120930047,9/30/2012,7:43 AM,Protest in area,Information Only
144,Illegal Parking,Blacks Beach Gate,9/30/2012,120930051,9/30/2012,9:31 AM,,Cited
145,Injury,The Village Bldg 5,9/30/2012,120930054,9/30/2012,9:47 AM,Adult male with possible twisted ankle,Transported To Hospital
146,Hit & Run,Lot 502,9/30/2012,2012‐1112,9/30/2012,10:31 AM,,Report Taken
147,Burglary Alarm,Robert Paine Cancer Center,9/30/2012,120930060,9/30/2012,11:53 AM,,False Alarm
148,Non Injury Accident,North Torrey Pines Rd/La Jolla Shores Dr,9/30/2012,120930063,9/30/2012,1:27 PM,,Information Only
149,Assist Other Agency,Blacks Beach Gate,9/30/2012,120930072,9/30/2012,6:42 PM,Open Gate for San Diego Police,Information Only
150,Gas/Water/Sewer Leak,Sixth College Bldg 710,9/30/2012,120930083,9/30/2012,8:45 PM,Smell of gasoline outside,Unable To Locate
151,Bicyclist Stop,Gilman Dr/Mandeville Ln,9/30/2012,120930091,9/30/2012,9:58 PM,,Verbal Warning Issued
152,Citizen Flagdown,Scholars Dr North,9/30/2012,120930094,9/30/2012,10:30 PM,,Information Only
153,Suspicious Vehicle,Pangea Parking Structure,9/30/2012,120930097,9/30/2012,10:54 PM,,Information Only
154,Suspicious Person,Price Center,9/30/2012,120930099,9/30/2012,11:16 PM,,Field Interview
155,Alcohol Contact,Asante Hall,9/29/2012,120929001,9/29/2012,12:03 PM,,Information Only
156,Disturbance,The Village West Bldg 1,9/29/2012,120929003,9/29/2012,12:26 AM,Party,Information Only
157,Alcohol Contact,Earls Place,9/29/2012,120929004,9/29/2012,12:36 AM,,Information Only
158,Noise Disturbance,La Jolla Del Sol Apartments,9/29/2012,120929005,9/29/2012,12:36 AM,Small group of people in pool being loud,Will Cooperate
159,Alcohol Contact,Earls Place,9/29/2012,120929006,9/29/2012,12:37 AM,,Information Only
160,Welfare Check,Asante Hall,9/29/2012,2012‐1105,9/29/2012,12:50 AM,Excessive alcohol,Transported To Hospital
161,Alcohol Contact,The Village West Bldg 2,9/29/2012,120929013,9/29/2012,12:56 AM,,Field Interview
162,Alcohol Contact,Sixth College Apartments,9/29/2012,120929014,9/29/2012,12:58 AM,,Information Only
163,Quiet Hours Contact,The Village Bldg 2,9/29/2012,120929016,9/29/2012,1:12 AM,,Will Cooperate
164,Disturbance,Sixth College Bldg 708,9/29/2012,120929019,9/29/2012,1:26 PM,Subject interfering with Resident Advisor's marijuana checks,Information Only
165,Assist Other Agency,Cuzco Hall,9/29/2012,120929022,9/29/2012,1:42 AM,Clearing a party,Information Only
166,Noise Disturbance,The Village West Bldg 2,9/29/2012,120929024,9/29/2012,1:46 AM,,Will Cooperate
167,Welfare Check,Lot 406,9/29/2012,120929026,9/29/2012,1:53 AM,Subject passed out in vehicle,Field Interview
168,Quiet Hours Contact,The Village West Bldg 2,9/29/2012,120929027,9/29/2012,2:01 AM,,Will Cooperate
169,Injury,Europe Hall,9/29/2012,2012‐1106,9/29/2012,2:10 AM,"Excessive alcohol, subject fell and hit head",Transported To Hospital
170,Quiet Hours Contact,Sixth College Apartments,9/29/2012,120929029,9/29/2012,2:06 AM,,Will Cooperate
171,Disturbance,Groundworks,9/29/2012,120929032,9/29/2012,2:19 AM,,Checks OK
172,Drunk In Public,Sixth College Apartments,9/29/2012,2012‐1107,9/29/2012,2:25 AM,,Transported To Detox
173,Drunk Driving No Injuries,College Ave/Adams Ave,9/29/2012,2012‐1108,9/29/2012,1:59 AM,,Closed By Adult Arrest
174,Quiet Hours Contact,Frankfurter Hall,9/29/2012,120929042,9/29/2012,3:06 AM,,Will Cooperate
175,Noise Disturbance,Sixth College Apartments,9/29/2012,120929043,9/29/2012,3:22 AM,Loud talking and music,Information Only
176,Disturbance,Lot 308,9/29/2012,2012‐1109,9/29/2012,10:10 AM,Verbal domestic disturbance,Report Taken
177,Citizen Contac,UCSD Police Department,9/29/2012,120929060,9/29/2012,1:09 PM,Ticket sign off,Information Only
178,Incomplete Wireless 911 Call,Price Center,9/29/2012,120929061,9/29/2012,1:46 PM,,Checks OK
179,Ticket Sign Off,UCSD Police Department,9/29/2012,120929062,9/29/2012,4:22 PM,,Checks OK
180,Illegal Parking,Lot 357,9/29/2012,120929089,9/29/2012,9:45 PM,,Cited
181,Medical Aid,Kathmandu,9/29/2012,120929090,9/29/2012,9:50 PM,Adult male experiencing sharp pains on his side,Transported To Hospital
182,Illegal Parking,Rita Atkinson Residences,9/29/2012,120929091,9/29/2012,9:57 PM,,Information Only
183,Citizen Flagdown,Voigt Dr/Gilman Dr,9/29/2012,120929094,9/29/2012,10:30 PM,Directions,Information Only
184,Assist Other Agency,Muir Apartments,9/29/2012,120929095,9/29/2012,10:39 PM,Resident advisor's requesting assistance,Information Only
185,Assist Other Agency,Marshall Res Halls,9/29/2012,120929102,9/29/2012,11:10 PM,,Information Only
186,Drunk In Public,Tioga Hall,9/29/2012,120929106,9/29/2012,11:44 PM,Released To Sober Friend,Checks OK
187,Noise Disturbance,Village East 1,9/29/2012,120929107,9/29/2012,11:47 PM,Loud music,Will Cooperate
188,Theft Of Bicycle,La Jolla Del Sol Apartments,9/26/2012,2012‐1113,9/25/2012‐9/26/2012,9:05 PM‐7:00 PM,Loss: $590.00,Online Report
189,Noise Disturbance,1 Miramar Bldg 3,9/6/2012,120906003,9/6/2012,1:03 AM,Loud music,Quiet On Arrival
190,Illegal Parking,Rita Atkinson Residences,9/6/2012,120906006,9/6/2012,1:59 AM,,Cited
191,Noise Disturbance,The Village Bldg 3,9/6/2012,120906007,9/6/2012,2:29 AM,Loud yelling,Will Cooperate
192,"Disturbance, Psych Subject",Rita Atkinson Residences,9/6/2012,120906008,9/6/2012,3:09 AM,Second hand information of subject consuming an excessive amount of unknown pills,Unfounded
193,Medical Aid,Jacobs Medical Center‐Construction Site,9/6/2012,120906011,9/6/2012,6:53 AM,Adult male passed out,Transported To Hospital
194,Welfare Check,Thornton Hospital,9/6/2012,120906026,9/6/2012,10:04 AM,Handicapped child locked inside vehicle,Checks OK‐Child Able To Unlock Door From Inside
195,Medical Aid,Urey Hall,9/6/2012,120906028,9/6/2012,11:32 AM,Adult female with hear palpitations,Transported To Hospital
196,Medical Aid,Torrey Pines Center South,9/6/2012,120906031,9/6/2012,2:46 PM,Young adult female complaint of breathing difficulties,Transported To Thornton
197,Injury,T40‐Discovery Wy,9/6/2012,120906032,9/6/2012,3:35 PM,Adult male stung by sting ray,Transported To Hospital
198,Illegal Parking,1 Miramar Bldg 3,9/6/2012,120906036,9/6/2012,9:31 PM,,Information Only
199,Petty Theft,Social Sciences Bldg,9/5/2012,2012‐1016,9/5/2012,10:30 AM‐12:00 PM,Loss: $500.00,Online Report
200,Alcohol Contact,Sixth College Apartments,9/23/2012,120923007,9/23/2012,12:52 AM,Assisting Resident Advisor,Unable To Locate
201,Noise Disturbance,1 Miramar Bldg 4,9/23/2012,120923009,9/23/2012,1:01 AM,Loud music,Information Only
202,Alcohol Contact,Matthews Apartments,9/23/2012,120923011,9/23/2012,1:09 AM,,Information Only
203,Suspicious Person,North Mesa Apartments,9/23/2012,120923012,9/23/2012,1:13 AM,,Unable To Locate
204,Alcohol Contact,Sixth College Apartments‐Res Life Office,9/23/2012,2012‐1057,9/23/2012,2:00 AM,,Closed By Adult Arrest
205,Quiet Hours Contact,Tamarack Apartments,9/23/2012,120923019,9/23/2012,1:46 AM,,Will Cooperate
206,Quiet Hours Contact,Tamarack Apartments,9/23/2012,120923020,9/23/2012,1:48 AM,,Will Cooperate
207,Noise Disturbance,Hopkins Parking Structure,9/23/2012,120923025,9/23/2012,2:48 AM,Loud talking and music,Will Cooperate
208,Quiet Hours Contact,Muir Commons,9/23/2012,120923026,9/23/2012,3:02 AM,,Will Cooperate
209,Suspicious Circumstances,Revelle Apartments,9/23/2012,120923028,9/23/2012,3:19 AM,"Subject carrying bag with smoke coming from it, subjected stated it was dry ice",Unable To Locate
210,Illegal Parking,Plaza Café,9/23/2012,120923030,9/23/2012,3:53 AM,,Information Only
211,Suspicious Person,Gilman Dr/VA Hospital,9/23/2012,120923035,9/23/2012,9:06 AM,,Unable To Locate
212,Disturbance,Thornton ER,9/23/2012,120923038,9/23/2012,12:02 PM,Adult male causing disturbance with staff and security,Information Only
213,Drunk In Public,Gilman Dr/Voigt Dr,9/23/2012,2012‐1058,9/23/2012,8:02 PM,,Transported to Detox
214,Incomplete Wireless 911 Call,Lot 101/Scholars Dr South,9/23/2012,120923049,9/23/2012,8:18 PM,,Checks OK
215,Non Injury Accident,Black Hall,9/23/2012,120923051,9/23/2012,8:29 PM,Parties exchanged information,Information Only
216,Welfare Check,Challenger Hall,9/23/2012,120923052,9/23/2012,8:30 PM,Young female with red bumps on body,Transported To Hospital
217,Drunk In Public,Matthews Ln,9/23/2012,2012‐1059,9/23/2012,9:10 PM,,Transported to Detox
218,Alcohol Contact,Tioga Hall,9/23/2012,120923061,9/23/2012,9:18 PM,,Field Interview
219,Alcohol Contact,Sixth College Apartments,9/23/2012,120923062,9/23/2012,9:39 PM,,Information Only
220,Disturbance,Tioga Hall,9/23/2012,120923065,9/23/2012,9:39 PM,Male and female arguing,Checks OK
221,Welfare Check,Marshal Apartments West,9/23/2012,2012‐1061,9/23/2012,9:42 PM,Excessive alcohol,Two Transported To Hospital
222,Information,Lot 705,9/23/2012,120923067,9/23/2012,9:43 PM,Possibly intoxicated subjects running across street,Information Only
223,Drunk In Public,Lot 206,9/23/2012,2012‐1060,9/23/2012,9:53 PM,Subject passed out,Transported To Hospital
224,Welfare Check,Applied Physics and Mathematics,9/23/2012,120923071,9/23/2012,9:55 PM,Possible intoxicated subject,Checks OK
225,Alcohol Contact,Pangea Parking Structure,9/23/2012,120923073,9/23/2012,9:58 PM,,Information Only
226,Drunk In Public,Biology Bldg,9/23/2012,2012‐1062,9/23/2012,10:16 PM,Excessive Alcohol,Transported To Hospital
227,Citizen Contact,Lot 206,9/23/2012,2012‐1063,9/23/2012,10:15 PM,Excessive Alcohol,Transported To Hospital
