,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
42,Medical Aid,Lot 103,1/25/2018,1801250040,1/25/2018,1:39 PM,Adult male with rapid heart rate,Transported To Hospital
43,Grand Theft ‐ Bicycle,La Jolla Del Sol,1/25/2018,2018‐0118,1/21/2018‐1/24/2018,5:00 PM‐12:00 AM,"Loss $1,800.00",Report Taken
44,Ticket Sign Off,Regents Park Row,1/25/2018,1801250044,1/25/2018,4:06 PM,,Service Provided
45,Information,Structural & Material Engineering Building,1/25/2018,1801250047,1/25/2018,4:19 PM,"Undergrad student did not show up for research lab, unusual behavior, not answering phone",Checks OK
46,Suspicious Person,Pacific Hall,1/25/2018,1801250055,1/25/2018,7:07 PM,,Unable To Locate
47,Fire Alarm,Rita Atkinson Residences,1/25/2018,1801250057,1/25/2018,7:35 PM,,Referred To Other Agency
48,Bicyclist Stop,Scholars Dr North,1/25/2018,1801250065,1/25/2018,10:37 PM,,Verbal Warning Issued
49,Animal Call,The Village East ‐ Bistro,1/25/2018,1801250066,1/25/2018,10:58 PM,Report of dead mouse seen at unknown building,Unable To Locate
50,Illegal Parking,Lot 418,1/25/2018,1801250067,1/25/2018,11:13 PM,,Service Provided
51,Petty Theft ‐ Bicycle,Social Sciences Research Building,1/25/2018,2018‐0120,1/22/2018,1:30 PM‐6:00 PM,Loss $329.00,Online Report
52,Petty Theft,Mayer Hall,1/25/2018,2018‐0121,1/25/2018,10:40 AM ‐ 10:50 AM,"Victim noticed $25 in cash and credit card missing from wallet, after being notified of fraudulent charges made on credit card",Online Report
53,Petty Theft ‐ Bicycle,Geisel Library,1/25/2018,2018‐0126,1/24/2018,6:30 PM ‐ 9:00 PM,Loss $600.00,Online Report
54,Disturbance ‐ Psych Subject,UCSD Medical Center ‐ Hillcrest,1/25/2018,HC18‐01‐24‐0119,1/24/2018,6:51 PM,Psych patient pushed another patient and to hit security with closed fist,Referred To Other Agency ‐ San Diego Police Department
55,Suspicious Person,Price Center,1/31/2018,1801310002,1/31/2018,12:13 AM,Transient sleeping in commuter lounge,Will Cooperate
56,Noise Disturbance,Atlantis Hall,1/31/2018,1801310006,1/31/2018,12:59 AM,Stomping,Quiet On Arrival
57,Marijuana Contact,Black Hall,1/31/2018,1801310013,1/31/2018,2:36 AM,,Referred To Student Conduct
58,Noise Disturbance,1 Miramar Building 2,1/31/2018,1801310014,1/31/2018,2:47 AM,Banging and slamming,Quiet On Arrival
59,Reckless Driving,Pangea Parking Structure,1/31/2018,1801310015,1/31/2018,2:53 AM,"Motorcycle speeding through structure, setting off alarms",Field Interview
60,Citizen Contact,Glider Port,1/31/2018,1801310018,1/31/2018,4:44 AM,Beach fire not in approved container,Citation Issued
61,Burglary,Nierenberg Hall,1/31/2018,1801310022,1/31/2018,6:36 AM,Report of possible casers,Gone On Arrival
62,Suspicious Person,Lot 017,1/31/2018,2018‐0155,1/31/2018,7:20 AM,Report of male sleeping next to trash can,Stay Away Order Issued
63,Petty theft,East Campus Soccer Field,1/31/2018,2018‐0156,1/5/2018‐1/12/2018,5:00 PM‐9:30 AM,"Unknown suspect(s) removed artificial turf from field, loss $250.00",Report Taken
64,Trespass,Price Center,1/31/2018,1801310026,1/31/2018,8:49 AM,Two male transients sleeping in commuter lounge,Field Interview
65,Suicide Attempt,Galbraith Hall,1/31/2018,1801310029,1/31/2018,10:06 AM,,Field Interview
66,Assist Other Agency,UCTR 201,1/31/2018,1801310030,1/31/2018,10:14 AM,Smoldering coming from non‐occupied vehicle,Checks OK
67,Lost Property,UCSD Police Department,1/31/2018,1801310034,1/31/2018,10:28 AM,Report of lost passport,Information Only
68,Medical Aid,UNEX O,1/31/2018,181310036,1/31/2018,11:01 AM,Young adult female possible had seizure,Transported To Hospital
69,Welfare Check,Sun God,1/31/2018,181310041,1/31/2018,12:07 PM,Motorist appears to be lost,Unable To Locate
70,Lost Property,UCSD Police Department,1/31/2018,1801310043,1/31/2018,3:35 PM,Report of lost passport,Information Only
71,Suspicious Vehicle,Glider Port,1/31/2018,181310046,1/31/2018,4:38 PM,,Checks OK
72,UC Policy Violation,Price Center ‐ Burning Man,1/31/2018,181310049,1/31/2018,6:03 PM,Smoking contact,Field Interview
73,UC Policy Violation,Price Center ‐ Burning Man,1/31/2018,1801310050,1/31/2018,6:09 PM,Smoking contact,Field Interview
74,Grand Theft,Leichtag Biomedical Building,1/31/2018,2018‐0157,1/31/2018,5:10 PM‐6:30 PM,"Unknown suspect(s) entered victim's unlocked office and stole a laptop and wallet, loss $2,018.00",Report Taken
75,Medical Aid,Muir Commons ‐ Pines,1/31/2018,1801310053,1/31/2018,6:55 PM,"Young adult male with nose bleed, feeling light headed",Paramedics Responded
76,Suspicious Person,Center For Magnetic Recording & Research,1/31/2018,1801310055,1/31/2018,8:37 PM,,Field Interview
77,Bicyclist Stop,Voigt Dr/Lot 701,1/31/2018,1801310056,1/31/2018,8:45 PM,,Verbal Warning Issued
78,Citizen Contact,Geisel Library,1/31/2018,1801310057,1/31/2018,9:05 PM,Reporting party concerned about unknown person using her picture on Tinder profile,Cancelled
79,Bicyclist Stop,Scholars Dr North,1/31/2018,1801310065,1/31/2018,10:49 PM,,Verbal Warning Issued
80,Information,Pangea Parking Structure,1/31/2018,181310066,1/31/2018,10:52 PM,Vehicle booted for unpaid parking citations,Information Only
81,Noise Disturbance,Pacific Hall,1/31/2018,1801310068,1/31/2018,11:37 PM,Large group making loud noise,Checks OK
82,Information,La Jolla Del Sol Apartments,1/31/2018,1801310069,1/31/2018,11:54 PM,"Per RSO, Spa low on water and not refilling properly",Referred To Other UCSD Department
83,Petty Theft ‐ Bicycle,Center Hall,1/31/2018,2018‐0159,1/30/2018,2:00 PM‐7:50 PM,Loss $250.00,Online Report
84,Clery Incident Report ‐ Stalking,On Campus Residential,1/31/2018,2018‐0160,1/31/2018,4:00 PM,,Information Only
85,Disturbance ‐ Psych Subject / Battery,UCSD Medical Center ‐ Hillcrest,1/31/2018,HC18‐01‐30‐0173,1/30/2018,8:53 PM,"Patient being physically abusive towards staff and spit on nurse, victim will report to San Diego Police",Hospital Security Report Taken
87,Suspicious Person,Price Center,1/10/2018,1801100001,1/10/2018,12:05 AM,,Field Interview
88,Suspicious Vehicle,Structural & Material Engineering Building,1/10/2018,1801100002,1/10/2018,1:56 AM,,Field Interview
89,Medical Aid,North America Hall,1/10/2018,1801100003,1/10/2018,3:30 AM,"Report of intoxicated female passed out, female was evaluated by paramedics and released into care of roommate",Report Taken
90,Suspicious Person,Visual Arts 2,1/10/2018,1801100010,1/10/2018,7:59 AM,,Field Interview
91,Vandalism,Sixth College Res Halls,1/10/2018,2018‐0038,1/10/2018,7:00 PM‐9:00 AM,"Unknown suspect(s) vandalized a window, possibly with a BB or Pellet gun, damage $250.00",Report Taken
92,Citizen Contact,Biomedical Sciences,1/10/2018,1801100020,1/10/2018,10:01 AM,Report of people smoking by trees,Unable To Locate
93,Lost Property,UCSD Police Department,1/10/2018,1801100022,1/10/2018,10:16 AM,Report of lost foreign passport,Information Only
94,Illegal Parking,VA Hospital,1/10/2018,1801100029,1/10/2018,1:35 PM,,Unable To Locate
95,Citizen Contact,Center Hall,1/10/2018,1801100034,1/10/2018,2:55 PM,Group of subjects smoking cigarettes,Checks OK
96,Assist Other Agency,Villa La Jolla Dr/La Jolla Village Dr,1/10/2018,1801100035,1/10/2018,2:59 PM,"San Diego Police handling a male transient walking in middle of road, south of UCSD Campus",Field Interview
97,Ticket Sign Off,UCSD Police Department,1/10/2018,1801100039,1/10/2018,3:50 PM,,Service Provided
98,Welfare Check,Brown Hall,1/10/2018,2018‐0039,1/10/2018,4:05 PM,Reporting party concerned for friend who had expressed his difficulties with school,Checks OK
99,Lost Property,Price Center,1/10/2018,1801100041,1/10/2018,4:12 PM,Evaluation for possible bicycle theft,Unfounded
100,Information,Biomedical Sciences Building,1/10/2018,1801100051,1/10/2018,7:15 PM,"Visiting staff members were supposed to leave Dean's office at 7:00 pm, but stayed longer, reporting party concerned alarm may go off",Information Only
101,Hazard Situation,Marshall Provost,1/10/2018,1801100055,1/10/2018,7:41 PM,"Light police down blocking Ridgewalk, no injuries",Referred To Other UCSD Department
102,Found Property,Price Center ‐ PD Store Front,1/10/2018,1801100057,1/10/2018,8:10 PM,backpack found left inside a classroom,Service Provided
103,Bicyclist Stop,Voigt Dr,1/10/2018,1801100061,1/10/2018,9:54 PM,,Verbal Warning Issued
104,Noise Disturbance,Meteor Hall,1/10/2018,1801100072,1/10/2018,11:09 PM,Loud yelling and shouting,Referred To Student Conduct
105,Medical Aid,Mesa Nueva Building E,1/10/2018,1801100073,1/10/2018,11:21 PM,Adult female experiencing difficulty breathing after ingesting marijuana edibles,Paramedics Responded
106,Quiet Hours Contact,Meteor Hall,1/10/2018,1801100074,1/10/2018,11:23 PM,,Referred To Student Conduct
107,Citizen Contact,UCSD Police Department,1/10/2018,1801100075,1/10/2018,11:43 PM,"Request for welfare check of CSO at Price Center, unable to contact",Service Provided
108,Disturbance ‐ Party,Kathmandu,1/10/2018,1801100077,1/10/2018,11:55 PM,,Checks OK
109,Burglary/Vandalism,Tenaya Hall,1/7/2018,2018‐0020,1/7/2018,12:20 AM,"Unknown suspect(s) broke into vending machines, unknown if any items stolen, damage",Report Taken
110,Excessive Alcohol,Middle Earth Hall,1/7/2018,2018‐0019,1/7/2018,12:32 AM,Residential Security Officer found intoxicated and unresponsive male,Transported To Hospital
111,Alcohol Contact,Revelle Apartments,1/7/2018,1801070005,1/7/2018,1:06 AM,,Referred To Student Conduct
112,Alcohol Contact,The Village East Building 1,1/7/2018,1801070007,1/7/2018,1:35 AM,,Checks OK
113,Property Impound,Blake Hall,1/7/2018,2018‐0021,1/7/2018,3:16 AM,Male student found in possession of fake I.D.,Property Impounded
114,Welfare Check,Lot 701,1/7/2018,1801070017,1/7/2018,6:39 AM,,Field Interview
115,Collision Counter Report,Warren College,1/7/2018,2018‐0022,11/26/2017‐12/12/2017,10:00 AM‐7:00 PM,,Report Taken
116,Grand Theft,Jacobs Medical Center,1/7/2018,2018‐0023,1/7/2018,1:22 PM,"Unknown suspect(s) entered patient room and stole money from victim's purse, loss $3,500.00",Report Taken
117,Citizen Flagdown,Voigt Dr/Matthews Ln,1/7/2018,1801070028,1/7/2018,3:55 PM,Directions provided,Information Only
118,Drunk In Public,Gilman Dr/Myers Dr,1/7/2018,1801070033,1/7/20187,5:52 PM,"Original call for welfare check for male seen walking in roadway fall down, subject possibly intoxicated",Closed By Adult Arrest
119,Noise Disturbance,Sixth College Apartments,1/7/0018,1801070035,1/7/2018,6:48 PM,Vehicle alarm going off intermittently for last 20 minutes,Checks OK
120,Injury,Challenger Hall,1/7/2018,2018‐0025,1/7/2018,8:04 PM,"Young adult male lost consciousness while working out, hit his head and is bleeding",Transported To Hospital
121,Citizen Contact,Tenaya Hall,1/7/2018,1801070046,1/7/2018,8:55 PM,Two students attempting to take items from vending machines that were vandalized previous night,Referred To Student Conduct
122,Citizen Flagdown,Mesa Nueva Building A,1/7/2018,1801070048,1/7/2018,9:10 PM,Vehicle escort to Thornton Hospital,Service Provided
123,Information,Trader Joes,1/7/2018,1801070051,1/7/2018,9:15 PM,"Per San Diego Police, robbery occurred at location, male shop lifting pushed employee to ground when leaving",Information Only
124,Petty Theft,UCSD Medical Center ‐ Hillcrest,1/7/2018,HC18‐01‐06‐0027,1/6/2018,9:20 PM,Discharged patient stole urine sample belonging to another patient,Gone On Arrival
125,Battery,UCSD Medical Center ‐ Hillcrest,1/7/2018,HC18‐01‐07‐0029,1/6/2018,10:57 PM,Doctor struck in face by combative patient,Referred To Other Agency ‐ San Diego Police Department
126,Citizen Contact,Sixth College,1/16/2018,1801160002,1/16/2018,12:44 AM,,Checks OK
127,Citizen Contact,Sixth College Res Halls,1/16/2018,1801160003,1/16/2018,12:51 AM,,Checks OK
128,Drunk In Public,Internal Medicine Group,1/16/2018,2018‐0069,1/16/2018,2:42 AM,,Closed By Adult Arrest
129,Fire Alarm,Altman Ctri Building,1/16/2018,1801160023,1/16/2018,7:44 AM,,False Alarm
130,Citizen Flagdown,Voigt Dr/Campus Point Dr,1/16/2018,1801160026,1/16/2018,8:05 AM,Bus driver needs assistance guiding bus,Service Provided
131,Drunk In Public,Rita Atkinson Residences,1/16/2018,1801160029,1/16/2018,8:30 AM,"Second hand information of a male found in apartment, appeared intoxicated, left walking towards SOM",Unable To Locate
132,Illegal Camping,VA Hospital,1/16/2018,1801160032,1/16/2018,9:23 AM,,Field Interview
133,Information,Lot 208,1/16/2018,1801160033,1/16/2018,9:32 AM,"Caller possible witnessed hit & run collision, unknown if suspect vehicle left note for other vehicle",Information Only
134,Revelle Commons,Unknown Location,1/16/2018,1801160036,1/16/2018,10:12 AM,,Written Warning Issued
135,Injury,UCSD Police Department A,1/16/2018,1801160037,1/16/2018,10:12 AM,Adult male fell to ground and struck temple,Transported To Hospital
136,Property Damage,Lot 703,1/16/2018,2018‐0071,1/8/2018,8:30 AM,Side mirror of UC shuttle bus broken by unknown means,Report Taken
137,Injury,Cognitive Sciences Building,1/16/2018,2018‐0072,1/16/2018,10:15 AM,"Female twisted ankle while walking down a hill, transported to student health",Report Taken
138,Information,Lot 208,1/16/2018,1801160040,1/16/2018,10:51 AM,Reporting party was in verbal disputer with another motorist over parking space,Information Only
139,Bicyclist Stop,Main Gym,1/16/2018,1801160041,1/16/2018,11:04 AM,,Verbal Warning Issued
140,Citizen Contact,UCSD Police Department,1/16/2018,1801160042,1/16/2018,11:04 AM,Report of possibly lost or stolen license plates,Service Provided
141,Skateboard Stop,Urey Hall,1/16/2018,1801160043,1/16/2018,11:06 AM,,Verbal Warning Issued
142,Bicyclist Stop,Bonner Hall,1/16/2018,1801160045,1/16/2018,11:26 AM,,Verbal Warning Issued
143,Ticket Sign Off,UCSD Police Department,1/16/2018,1801160047,1/16/2018,12:37 PM,,Service Provided
144,Fire Alarm,Thornton Pavilion,1/16/2018,1801160051,1/16/2018,1:23 PM,,False Alarm
145,Found Property,Price Center,1/16/2018,1801160052,1/16/2018,1:40 PM,Cell phone,Information Only
146,UC Policy Violation,Price Center ‐ Burning Man,1/16/2018,1801160058,1/16/2018,3:04 PM,Smoking contacts,Verbal Warning Issued
147,Welfare Check,1 Miramar Building 4,1/16/2018,2018‐0073,1/16/2018,3:14 PM,Female resident became angry and started to threaten staff after Residence Services questioned her need for an additional replacement key,Report Taken
148,UC Police Violation,Price Center ‐ Burning Man,1/16/2018,1801160060,1/16/2018,3:15 PM,Smoking contact,Information Only
149,Non Injury Collision,Campus Services Complex Bldg G,1/16/2018,1801160061,1/16/2018,3:25 PM,,Cancelled
150,Gas/Water/Sewer Leak,CAL IT2,1/16/2018,1801160062,1/16/2018,3:32 PM,Flood alert in kitchen,Referred To Other UCSD Department
151,Information,Galbraith Hall,1/16/2018,1801160064,1/16/2018,3:46 PM,"Reporting party states social group hates on him daily in class because of his disability and religion, by purposely sitting next to him and making loud noises, being annoying and distracting him from taking notes, RP requesting documentation only",Information Only
152,Suspicious Person,Villa La Jolla Dr,1/16/2018,1801160065,1/16/2018,3:59 PM,,Field Interview
153,Animal Call,Lot 359,1/16/2018,1801160066,1/16/2018,4:03 PM,Small dog inside vehicle with windows closed,Checks OK
154,Medical Aid,SIO Pier,1/16/2018,1801160068,1/16/2018,4:23 PM,Juvenile female fainted and fell on her head,Service Provided
155,Marijuana Contact,Price Center,1/16/2018,1801160069,1/16/2018,4:37 PM,Report of a group of subjects seen smoking marijuana in wooded area,Information Only
156,Petty Theft ‐ Bicycle,Biomedical Library,1/16/2018,2018‐0074,1/16/2018,2:30 PM‐5:00 PM,Loss $600.00,Report Taken
157,Security Alarm,SIO Library,1/16/2018,1801160071,1/16/2018,5:47 PM,,Service Provided
158,Citizen Contact,Health Sciences Biomedical Research Facility,1/16/2018,1801160072,1/16/2018,5:55 PM,Employer/Employee dispute,Service Provided
159,Information,Rebecca & John Moores Cancer Center,1/16/2018,1801160073,1/16/2018,6:08 PM,Request for medical aid for patient,Information Only
160,Information,VA Hospital,1/16/2018,1801160074,1/16/2018,7:14 PM,"Report of adult male with autism, that went missing from VA Parking",Found
161,Disturbance ‐ Argument,Geisel Library,1/16/2018,1801160075,1/16/2018,7:56 PM,"Male arguing with security at circulation desk, refusing to show ID",Field Interview
162,Citizen Contact,UCSD Police Department,1/16/2018,1801160076,1/16/2018,8:01 PM,Reporting party saw male changing in parking lot at Muir College,Information Only
163,Collision With Injury,Voigt Dr/Lot 701,1/16/2018,2018‐0075,1/16/2018,9:19 PM,Solo bicyclist accident,Transported To Hospital
164,Security Alarm,Bookstore,1/16/2018,1801160091,1/16/2018,11:20 PM,,False Alarm
165,Marijuana Contact,Goldberg Hall,1/16/2018,1801160092,1/16/2018,11:36 PM,,Referred To Student Conduct
166,Vandalism,Rebecca & John Moores Cancer Center,1/16/2018,LJ 18‐01‐15‐0061,1/15/2018,2:30 PM,Laboratory door damaged by unknown tool,Information Only
167,Grand Theft,Jacobs Hall,1/16/2018,2018‐0076,1/12/2018 ‐ 1/15/2018,2:00 PM‐11:00 AM,"Two laptops stolen from victim's open office, loss $1,100.00",Online Report
168,Petty Theft ‐ Bicycle,Tuolumne Apartments,1/16/2018,2018‐0077,1/1/2018,1:00 AM‐8:00 AM,Loss $300.00,Online Report
169,Injury,Scholars Dr North/Norty Point Dr,1/1/2018,2018‐0001,1/1/2018,12:10 AM,Solo skateboarding accident,Transported To Hospital
170,Information,Central Plant,1/1/2018,1801010006,1/1/2018,1:47 AM,"Male called and stated he was going to put a rock inside one of the big belly trashcans on campus, subject sounded intoxicated",Information Only
171,Information,UCSD Police Department,1/1/2018,1801010007,1/1/2018,2:12 AM,"Male caller believes his professor to be stalking him, because he saw him at same hotel, also believed attic is bugged",Information Only
172,Ticket Sign Off,UCSD Police Department,1/1/2018,1801010023,1/1/2018,2:09 PM,,Service Provided
173,Chemical Spill,UCSD Police Department,1/1/2018,1801010024,1/1/2018,2:45 PM,,Referred To Other UCSD Department
174,Missing Person,Marsahll Apartments East,1/1/2018,2018‐0002,1/1/2018,5:34 PM,"Female subject from previous attempt to contact report on 12/31/2017, still not located",Report Taken
175,Suspicious Person,Central Mea Apartments,1/23/2018,1801230002,1/23/2018,12:49 AM,,Unable To Locate
176,Suspicious Vehicle,Lot 784,1/23/2018,1801230004,1/23/2018,1:21 AM,,Checks OK
177,Disturbance ‐ Psych Subject,La Jolla Shores Dr,1/23/2018,1801230007,1/23/2018,5:05 AM,Male yelling at passing cars,Field Interview
178,Trespass,Engineering Building,1/23/2018,1801230008,1/23/2018,5:23 AM,Male sleeping on couch inside of lobby,Unable To Locate
179,Suspicious Person,Stewart Hall,1/23/2018,1801230015,1/23/2018,7:08 AM,,Unable To Locate
180,Security Alarm,Pepper Canyon Hall,1/23/2018,1801230018,1/23/2018,7:45 AM,,False Alarm
181,Citizen Contact,UCSD Police Department,1/23/2018,1801230023,1/23/2018,9:33 AM,Subject in lobby requesting correction on citation,Service Provided
182,Bicyclist Stop,Voigt Dr/Matthews Ln,1/23/2018,1801230030,1/23/2018,10:29 AM,,Verbal Warning Issued
183,Property Damage,Lot 347,1/23/2018,2018‐0103,1/22/2018,10:30 AM,"Report of vehicle damage, scratch on bumper",Report Taken
184,Assist Other Agency,Gilman Dr/La Jolla Village Dr,1/23/2018,1801230033,1/23/2018,11:22 AM,VA Hospital police pursuing subject that was on psych. evaluation hold,Field Interview
185,Citizen Contact,Price Center,1/23/2018,1801230036,1/23/2018,12:42 PM,Request for officer regarding possible ill person(s) not taking medication,Information Only
186,Citizen Contact,Price Center,1/23/2018,1801230038,1/23/2018,1:01 PM,Smoking contact,Information Only
187,Bicyclist Stop,Hopkins Dr/Voigt Dr,1/23/2018,1801230042,1/23/2018,1:57 PM,,Verbal Warning Issued
188,Bicyclist Stop,Lyman Ln/Voigt Dr,1/23/2018,1801230043,1/23/2018,2:09 PM,,Verbal Warning Issued
189,Bicyclist Stop,Voigt Dr/Gilman Dr,1/23/2018,1801230044,1/23/2018,2:23 PM,,Verbal Warning Issued
190,Bicyclist Stop,Voigt Dr/Gilman Dr,1/23/2018,1801230045,1/23/2018,2:28 PM,,Verbal Warning Issued
191,Citizen Contact,Pangea Paring Structure,1/23/2018,1801230047,1/23/2018,2:44 PM,Reporting party trying to locate his rental vehicle,Cancelled
192,Bicyclist Stop,Voigt Dr/Lot 701,1/23/2018,1801230048,1/23/2018,2:48 PM,,Verbal Warning Issued
193,Non Injury Collision,La Jolla Village Dr/ Interstate 5 ‐ Bridge,1/23/2018,1801230049,1/23/2018,3:01 PM,,Information Only
194,Suspicious Vehicle,Lot 510,1/23/2018,1801230052,1/23/2018,4:12 PM,,Checks OK
195,Security Alarm,Bookstore,1/23/2018,1801230060,1/23/2018,7:48 PM,,False Alarm
196,Information,Revelle College Dr/Scholars Dr South,1/23/2018,1801230064,1/23/2018,9:26 PM,Stalled vehicle on east side of street,Information Only
197,Disturbance,Thornton Pavilion,1/23/2018,2018‐0107,1/23/2018,9:57 PM,Subject refusing to leave hospital after being discharged,"Closed By Citation, Adult"
198,Marijuana Contact,Marshall Apartments East,1/23/2018,1801230071,1/23/2018,11:11 PM,,Referred To Student Conduct
199,Bicyclist Stop,Gilman Dr/La Jolla Village Dr,1/23/2018,1801230076,1/23/2018,11:57 PM,,Verbal Warning Issued
200,Marijuana Contact,La Jolla Farms Rd,1/29/2018,1801290001,1/29/2018,12:02 AM,Group of males smoking marijuana,Referred To Other Agency ‐ San Diego Police
201,Quiet Hours Contact,The Village West,1/29/2018,1801290005,1/29/2018,12:36 AM,,Will Cooperate
202,Illegal Parking,Mesa Nueva Building B,1/29/2018,1801290009,1/29/2018,2:01 AM,,Citation Issued
203,Illegal Parking,Rita Atkinson Residences,1/29/2018,1801290013,1/29/201,2:41 AM,,Citation Issued
204,Disturbance,Bonner Hall,1/29/2018,1801290023,1/29/2018,6:47 AM,Verbal argument between two males,Field Interview
205,Burglary,SIO Library,1/29/2018,2018‐0140,1/26/2018‐1/29/2018,4:30 PM‐6:30 AM,"Unknown suspect(s) stole items from locked coffee cart, loss $245.50",Report Taken
206,Citizen Contact,Price Center,1/29/2018,1801290025,1/29/2018,8:48 AM,Smoking contacts,Verbal Warning Issued
