,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
98,Information,Blacks Beach Gate,9/11/2011,110911041,9/11/2011,9:25 PM,Bonfire south of the road.,Information Only
99,Possession Of Marijuana,Geneva Hall,9/24/2011,110924002,9/24/2011,12:21 AM,,Information Only
100,Information,1 Miramar Bldg 2,9/24/2011,110924011,9/24/2011,1:07 AM,Small snake near bike rack,Information Only
101,Citizen Contact,The Village Bldg 1,9/24/2011,110924012,9/24/2011,1:08 AM,Urinating in public,Information Only
102,Medical Aid,Muir Apartments,9/24/2011,110924013,9/24/2011,1:09 AM,Burns on right thigh,Transported To Kaiser
103,Incomplete Phone Call/911 Hang Up,Miramar Parking Structure,9/24/2011,110924014,9/24/2011,1:14 AM,,Checks OK
104,Suspicious Person,The Village Bldg 1,9/24/2011,110924018,9/24/2011,1:33 AM,,Verbal Warning
105,Quiet Hours Contact,Geneva Hall,9/24/2011,110924023,9/24/2011,2:02 AM,,Will Cooperate
106,Citizen Contact,International Ln,9/24/2011,110924026,9/24/2011,2:38 AM,Urinating in public,Field Interview
107,Throwing Objects At Moving Vehicle,1 Miramar Bldg 2,9/24/2011,110924028,9/24/2011,2:43 AM,,Unable To Locate
108,Suspicious Person,Medical Teaching Facility,9/24/2011,110924029,9/24/2011,2:52 AM,Looking at bikes,Field Interview
109,Alcohol Contact,The Village Bldg 1,9/24/2011,2011‐1207,9/24/2011,3:20 AM,Public intoxication,Transported to Detox
110,Illegal Parking,Biomedical Library,9/24/2011,110924043,9/24/2011,10:06 AM,,Information Only
111,Petty Theft,Bookstore,9/24/2011,2011‐1208,9/24/2011,2:10 PM,Loss: $340.00,"Closed By Citation, Adult"
112,Unknown Injury Accident,Russell Ln/Gilman Dr,9/24/2011,110924049,9/24/2011,1:43 PM,Bicyclist down,Information Only
113,Burglary Alarm,Telemedicine Bldg,9/24/2011,110924050,9/24/2011,2:26 PM,,False Alarm
114,Citizen Contact,Goldberg Hall,9/24/2011,110924059,9/24/2011,6:37 PM,Odor of marijuana,Information Only
115,Burglary Alarm,Admissions Office,9/24/2011,110924064,9/24/2011,7:43 PM,,False Alarm
116,Illegal Parking,Lot 359,9/24/2011,110924069,9/24/2011,8:19 PM,,Parking Citation
117,Vehicle Burglary,Lot 208,9/24/2011,2011‐1209,9/24/2011,12:00 AM‐8:30 PM,,Report Taken
118,Medical Aid,Robert Paine Center,9/24/2011,110924073,9/24/2011,8:48 PM,80 year old male with chest pain,Transported To Hospital
119,Noise Disturbance,South Mesa Apartments,9/24/2011,110924076,9/24/2011,9:51 PM,Music and loud talking,Will Cooperate
120,Alcohol Contact,Mesa Verde Hall,9/24/2011,110924081,9/24/2011,10:40 PM,,Information Only
121,Suspicious Person,Hopkins Parking Structure,9/24/2011,110924083,9/24/2011,10:50 PM,,Unable To Locate
122,Suspicious Person,Lot 401,9/24/2011,110924087,9/24/2011,11:25 PM,,Field Interview
123,Alcohol Contact,Marshall Res Halls,9/24/2011,110924091,9/24/2011,11:35 PM,,Field Interview
124,Disturbance,The Village Bldg 6,9/24/2011,110924094,9/24/2011,11:58 PM,,Field Interview
125,Burglary Alarm,Café Ole Cart,9/1/2011,110901001,9/1/2011,12:07 AM,,False Alarm
126,Disturbance,Village East,9/1/2011,110901002,9/1/2011,12:16 AM,Someone smoking.,Will Cooperate
127,Disturbance,Village East,9/1/2011,110901003,9/1/2011,12:22 AM,People smoking.,Will Cooperate
128,Welfare Check,Lot 207,9/1/2011,110901004,9/1/2011,1:09 AM,Sleeper in vehicle.,Checks OK
129,Noise Disturbance,Gilman Parking Structure,9/1/2011,110901006,9/1/2011,1:56 AM,Alarm sounding in parking structure.,Referred To Other Agency.
130,Noise Disturbance,Miramar Street,9/1/2011,110901007,9/1/2011,2:11 AM,Party bus dropping off group of people.,Checks OK
131,Burglary Alarm,General Store,9/1/2011,110901019,9/1/2011,9:04 AM,,False Alarm
132,Information,Gilman Parking Structure,9/1/2011,110901021,9/1/2011,9:05 AM,Possible hit and run.,Information left on parked vehicle
133,Illegal Camping,Center Hall,9/1/2011,110901035,9/1/2011,11:46 AM,Transient in restroom.,Will Cooperate
134,Medical Aid,Student Health,9/1/2011,110901037,9/1/2011,1:32 PM,"Male with unknown problem, reporting party requesting medics.",Transported To Hospital
135,Panic/Silent Alarm,Rimac,9/1/2011,110901038,9/1/2011,1:50 PM,,False Alarm
136,Burglary Alarm,Center For Molecular Medicine,9/1/2011,110901040,9/1/2011,3:30 PM,,False Alarm
137,Petty Theft,Stein Clinical Research Bldg,9/1/2011,2011‐1121,9/1/2011,3:30 PM,Unknown suspect(s) stole victim's locked bicycle. Loss: $425.00.,Report Taken
138,Burglary Alarm,Robinson 1‐Computer Lab,9/1/2011,110901042,9/1/2011,6:23 PM,,False Alarm
139,Skateboard Stop,Lot 104,9/1/2011,110901044,9/1/2011,7:53 PM,,Gone On Arrival
140,Suspicious Person,Student Center Bldg A,9/1/2011,110901050,9/1/2011,10:04 PM,,Unable To Locate
141,Fire Alarm,Galbraith Hall,9/1/2011,110901053,9/1/2011,11:14 PM,,False Alarm
142,Noise Disturbance,Miramar Bldg 4,9/1/2011,110901054,9/1/2011,11:19 PM,Loud talking and music.,Will Cooperate
143,Noise Disturbance,Mesa Verde Hall,9/30/2011,110930004,9/30/2011,1:11 AM,Yelling and Skateboarding,Quiet On Arrival
144,Alcohol Contact,Kathmandu,9/30/2011,110930005,9/30/2011,1:27 AM,,Field Interview
145,Noise Disturbance,The Village Bldg 7,9/30/2011,110930006,9/30/2011,1:45 AM,Loud talking and laughing,Information Only
146,Assist Other Agency,I‐15,9/30/2011,110930007,9/30/2011,2:01 AM,"Officer needs help, per CHP",Information Only
147,Quiet Hours Contact,Village East 7,9/30/2011,110930009,9/30/2011,2:07 AM,,Will Cooperate
148,Noise Disturbance,Coast Apartments,9/30/2011,110930014,9/30/2011,3:15 AM,Laughing and yelling,Cancelled After Dispatched
149,Welfare Check,Village East 4,9/30/2011,110930016,9/30/2011,3:51 AM,Subject passed out,Checks OK
150,Ticket Sign Off,UCSD Police Department,9/30/2011,110930026,9/30/2011,7:34 AM,,Information Only
151,Disturbance,Rady School Of Management,9/30/2011,110930036,9/30/2011,9:37 AM,Welfare check,Subject Gone On Arrival
152,Assist Other Agency,Stein Clinical Research Bldg,9/30/2011,110930046,9/30/2011,10:51 AM,Assist in removal of transient property,Information Only
153,Incomplete Wireless Call,York Hall,9/30/2011,110930049,9/30/2011,11:05 AM,Accidental dial,Checks OK
154,Assist Other Agency,Thurgood Marshall Activity Center,9/30/2011,110930052,9/30/2011,11:24 AM,Assist with locating hazardous tree,Information Only
155,Information,UCTR 109,9/30/2011,110930055,9/30/2011,11:34 AM,Concerned about former UCSD affiliate coming on campus,Information Only
156,Injury,Voigt Dip,9/30/2011,2011‐124,9/30/2011,12:30 PM,Skateboard accident,Transported To Thornton Hospital
157,Reckless Driving,Lot 202,9/30/2011,2011‐1246,9/30/2011,1:24 PM,Subject attempted to hit several people with his vehicle,Closed By Adult Arrest
158,Disturbance,Marshall Res Halls,9/30/2011,110930071,9/30/2011,5:44 PM,Suspicious person shouting out threats,Unable To Locate
159,Burglary Alarm,Robinson Complex Bldg 2,9/30/2011,110930073,9/30/2011,6:15 PM,,False Alarm
160,Citizen Contact,UCSD Police Department,9/30/2011,2011‐1247,9/30/2011,6:43 PM,Reporting party concerned about possibly being stalked by former employee,Report Taken
161,Medical Aid,Marshall Apartments,9/30/2011,110930079,9/30/2011,9:43 PM,2 year old child having difficulty breathing,Transported To Thornton Hospital By Parents
162,Suspicious Person,North Torrey Pines Bus Stop,9/6/2011,110906002,9/6/2011,12:30 AM,,Field Interview
163,Gas/Water/Sewer Leak,Science and Engineering Research,9/6/2011,110906003,9/6/2011,4:57 AM,Odor of gas believed to be coming from dry sewer trap.,Referred To Other Agency
164,Fire Alarm,Pepper Canyon Hall,9/6/2011,110906007,9/6/2011,7:07 AM,,False Alarm
165,No Injury Collision,Miramar Street/Regents Road,9/6/2011,2011‐1129,9/6/2011,7:25 AM,UCSD vehicle vs. fixed object.,Report Taken
166,Fire Alarm,1 Miramar Bldg 3,9/6/2011,110906024,9/6/2011,10:25 AM,,False Alarm
167,Report of Vandalism,Unex F,9/6/2011,110906027,9/6/2011,12:02 PM,"Small tear in screen, no vandalism or burglary.",Information Only
168,Assist Other Agency,Inyaha Ln,9/6/2011,110906034,9/6/2011,4:06 PM,Assist San Diego Police Department with locating possible burglary suspects.,Information Only
169,Burglary Alarm,Student Center,9/6/2011,110906035,9/6/2011,5:45 PM,,False Alarm
170,Report of Annoying/Harassing Phone Call,Cell Phone/Internet,9/6/2011,2011‐1131,05/2011‐09/06/2011,Unknown,Reporting party receiving numerous unwanted phone calls and e‐mails from former friend.,Report Taken
171,Suspicious Person,Harlan Hall,9/6/2011,110906038,9/6/2011,8:24 PM,,Checks OK
172,Information,Sixth College Apartments,9/6/2011,110906041,9/6/2011,10:49 PM,Bobcat seen.,Information Only
173,Information,Village East 1,9/23/2011,110923001,9/23/2011,12:02 AM,Residents smoking hookah,Checks OK
174,Non Injury Accident,Regents Rd/La Jolla Village Dr,9/23/2011,110923003,9/23/2011,12:13 AM,"No medics needed, San Diego PD en‐route",Referred To Other Agency
175,Traffic Control,Villa La Jolla Dr/ La Jolla Village Dr,9/23/2011,110923005,9/23/2011,12:15 AM,San Diego PD will handle,Referred To Other Agency
176,Assist Other Agency,Torrey Pines Rd,9/23/2011,110923006,9/23/2011,12:17 AM,Traffic control needed until tow truck arrives,Referred To Other Agency
177,Alcohol Contact,Earth Hall,9/23/2011,110923007,9/23/2011,12:23 AM,,Checks OK
178,Noise Disturbance,Village East 5,9/23/2011,110923012,9/23/2011,12:33 AM,Loud music,Quiet On Arrival
179,Person Down,Stairwell Near Villa La Jolla Dr,9/23/2011,110923017,9/23/2011,1:42 AM,Medics not needed,Field Interview
180,Alcohol Contact,Village East 7,9/23/2011,110923019,9/23/2011,2:04 AM,Excessive Alcohol,Transported To Thornton Hospital
181,Noise Disturbance,Village East 1,9/23/2011,110923022,9/23/2011,2:33 AM,Loud talking,Will Cooperate
182,Quiet Hours Contact,Village East 2,9/23/2011,110923023,9/23/2011,2:43 AM,,Will Cooperate
183,Quiet Hours Contact,Village East 2,9/23/2011,110923025,9/23/2011,2:51 AM,,Will Cooperate
184,Burglary Alarm,UCTR 301,9/23/2011,110923029,9/23/2011,7:55 AM,,False Alarm
185,Skateboard Stop,Matthews Apartments,9/23/2011,110923045,9/23/2011,12:37 PM,Jumping off 2nd floor across from Price Center,Gone On Arrival
186,Medical Aid,Pepper Canyon Hall,9/23/2011,110923050,9/23/2011,2:52 PM,Cramps and can't walk,Going To Student Health Services
187,Information,Engineer Ln,9/23/2011,110923054,9/23/2011,6:42 PM,Suspicious person,Information Only
188,Incomplete Wireless Call,Revelle Apartments,9/23/2011,110923065,9/23/2011,10:47 PM,,Field Interview
189,Possession Of Marijuana,Equality Ln,9/23/2011,110923066,9/23/2011,11:12 PM,Group possibly smoking marijuana,Gone On Arrival
190,Alcohol Contact,Porters Pub,9/23/2011,2011‐1205,9/23/2011,11:20 PM,Disorderly conduct: alcohol,Closed By Adult Arrest
191,Disturbance,1 Miramar Bldg 3,9/23/2011,110923069,9/23/2011,11:38 PM,Loud party,Will Cooperate
192,Alcohol Contact,Marshall Res Halls,9/23/2011,110923071,9/23/2011,11:53 PM,,Field Interview
193,Possession Of Marijuana,Blake Hall,9/23/2011,2011‐1206,9/23/2011,11:59 PM,Marijuana confiscated,Report Taken
194,Noise Disturbance,The Village Bldg 1,9/16/2011,110916001,9/16/2011,12:02 AM,Loud talking.,Will Cooperate
195,Noise Disturbance,Lebon,9/16/2011,110916003,9/16/2011,12:21 AM,Loud talking,Quiet On Arrival
196,Citizen Contact,Sixth College Apartments,9/16/2011,110916006,9/16/2011,1:16 AM,,Field Interview
197,Alcohol Contact,The Village Bldg 6,9/16/2011,110916010,9/16/2011,3:18 AM,,Field Interview
198,Burglary Alarm,Medical Teaching Facility,9/16/2011,110916011,9/16/2011,5:31 AM,,False Alarm
199,Welfare Check,Gilman Parking Structure,9/16/2011,110916012,9/16/2011,5:38 AM,2 subjects sleeping.,Field Interview
200,Burglary Alarm,Price Center,9/16/2011,110916019,9/16/2011,9:13 AM,,False Alarm
201,Petty Theft,Spanos Athletic Training Facility,9/16/2011,2011‐1163,09/03/2011‐09/06/2011,2:30 PM‐6:00 AM,"Unknown person(s) damaged and removed a part from a UCSD street sweeper. Damage:$200.00, Loss: $20.00.",Report Taken
202,Vandalism,Revelle Lab Bldg 2000,9/16/2011,2011‐1164,09/15/2011‐09/16/2011,12:30 PM‐9:30 AM,Graffiti damage: $300.00.,Report Taken
203,Non Injury Accident Report,Garnet Avenue,9/16/2011,2011‐1165,9/16/2011,3:35 PM,Bike fell of shuttle bus and was ran over.,Report Taken
204,Non Injury Accident Report,Shuttle Trailer,9/16/2011,2011‐1165,9/16/2011,3:35 PM,,
205,Information,California Institute for Telecommunication and Information Technology,9/16/2011,110916034,9/16/2011,5:24 PM,Suspicious person.,information Only
206,Burglary Alarm,Dean's Office,9/16/2011,110916035,9/16/2011,5:38 PM,,False Alarm
207,Fire Alarm,Engineering Bldg Unit 3A,9/16/2011,110916036,9/16/2011,6:08 PM,Broken valve,False Alarm
208,Lost Property,Pharmaceutical Sciences,9/16/2011,110916040,9/16/2011,8:08 PM,iPhone,Information Only
209,Welfare Check,Muir Apartments,9/16/2011,110916044,9/16/2011,9:06 PM,"Reporting party looking for son, possibly playing on tennis courts.",Information Only
210,Suspicious Vehicle,Coast Apartments,9/16/2011,110916047,9/16/2011,9:38 PM,,Checks OK
211,Quiet Hours Contact,Harlan Hall,9/16/2011,110916052,9/16/2011,10:21 PM,,Field Interview
212,Alcohol Contact,Earth Hall North,9/16/2011,110916053,9/16/2011,10:26 PM,,Information Only
213,Lost Property,Lot 751,9/16/2011,110916054,9/16/2011,10:35 PM,Keys,Information Only
214,Informational Report,Challenger Hall,9/16/2011,2011‐1166,9/16/2011,10:42 PM,Marijuana confiscated.,Report Taken
215,Alcohol Contact,Middle East Hall,9/16/2011,110916057,9/16/2011,11:10 PM,,Field Interview
216,Chemical Spill,Natural Sciences Bldg,9/16/2011,110916058,9/16/2011,11:15 PM,Photo chemicals leaking into hallway.,Referred To Other Agency
217,Alcohol Contact,Stewart Hall,9/16/2011,110916059,9/16/2011,11:26 PM,,Field Interview
218,Traffic Hazard,Hopkins Parking Structure,9/28/2011,110928019,9/28/2011,9:08 AM,Vehicle stopped in middle of lane,Written Warning Issued
219,Bicyclist Stop,Warren Student Activity Center,9/28/2011,110928020,9/28/2011,9:14 AM,,Verbal Warning Issued
220,Bicyclist Stop,Lot 207,9/28/2011,110928025,9/28/2011,10:13 AM,,Verbal Warning Issued
221,Incomplete Wireless Call,Cal IT2,9/28/2011,110928026,9/28/2011,10:26 AM,,Checks OK
222,Vandalism,Torrey Pines Scenic Dr,9/28/2011,2011‐1231,09/24/2011‐09/26/2011,12:00 PM‐7:00 AM,"Graffiti, Damage: $100.00",Report Taken
223,Incomplete Wireless Call,Warren Field,9/28/2011,110928030,9/28/2011,10:51 AM,,Checks OK
224,Citizen Contact,UCSD Police Department,9/28/2011,110928037,9/28/2011,1:26 PM,Request to use replica guns on campus,Referred To Risk Management
225,Collision,Peterson Hall,9/28/2011,2011‐1232,9/28/2011,1:30 PM‐1:40 PM,UCSD shuttle bus vs. Parked vehicle,Report Taken
226,Citizen Contact,Price Center,9/28/2011,110928043,9/28/2011,3:14 PM,"Annoying phone calls, caller trying to contact previous owner of phone number",Checks OK
227,Hit & Run,Lot 753,9/28/2011,2011‐1233,9/28/2011,9:00 AM‐3:00 PM,,Report Taken
228,Ticket Sign‐Off,UCSD Police Department,9/28/2011,110928045,9/28/2011,5:55 PM,,Information Only
229,Incomplete Wireless Call,Plaza Café,9/28/2011,110928046,9/28/2011,6:04 PM,,Checks OK
230,Welfare Check,Rupertus Wy/Myers Dr,9/28/2011,110928051,9/28/2011,8:39 PM,"Female near bus skinned her knee, paramedics requested",Information Only
231,Incomplete Wireless Call,Voigt Dr/Equality Ln,9/28/2011,110928055,9/28/2011,9:22 PM,,Checks OK
