,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
41,Information,Douglas Hall,9/22/2017,1709220057,9/22/2017,10:28 PM,Elevator problem,Referred to Other Department
42,Noise Disturbance,South Mesa Apartments,9/22/2017,1709220058,9/22/2017,10:33 PM,Loud talking,Will Cooperate
43,Citizen Flagdown,Mesa Nueva Building C,9/22/2017,1709220061,9/22/2017,10:48 PM,,Information Only
44,Driving with Suspended License,Villa La Jolla Drive/VA Hospital,9/22/2017,2017-1433,9/22/2017,2:25 PM,,"Closed By Citation, Adult"
45,Public Intoxication,Coast Apartments,9/16/2017,2017-1410,9/16/2017,12:03 AM,Subject transported to hospital for treatment due to excess consumption of alcohol,Transported to Hospital
46,Trespass,Black Hall,9/16/2017,2017-1411,9/16/2017,2:40 AM,"Unknown suspect entered student's bedroom window, no items taken",Report Taken
47,Trespass,Sixth College Building 710,9/16/2017,2017-1413,9/16/2017,2:57 AM,Front window broken with unknown object and vandalized wall. Cost of damage $50,Report Taken
48,Illegal Camping,Scripps Memorial Hospital,9/16/2017,1709160006,9/16/2017,8:35 AM,Transient campsite and location,Field Interview
49,Discharging a Firearm,Canyonview Pool,9/16/2017,1709160012,9/16/2017,8:56 AM,Secondhand information that someone possibly heard 3-6 gunshots and people screaming,Unfounded
50,Suspicious Vehicle,Great Hall,9/16/2017,1709160021,9/16/2017,3:29 PM,,Will Cooperate
51,Disturbance,South Mesa Apartments,9/16/2017,1709160024,9/16/2017,4:32 PM,Two males in bed of truck drinking,Field Interview
52,Fire Alarm,Rita Atkinson Residences,9/16/2017,1709160028,9/16/2017,6:36 PM,"Burnt pizza in microwave, no damage or injuries",Information Only
53,Suspicious Package,1 Miramar Building 3,9/16/2017,1709160034,9/16/2017,7:35 PM,Tote bag sitting near apartment since the morning,Checks OK
54,Fire Alarm,Mesa Nueva Building A,9/16/2017,1709160040,9/16/2017,8:25 PM,"Burnt food, no damage",Checks OK
55,Suspicious Person,The Village West Building 1,9/16/2017,1709160045,9/16/2017,9:14 PM,Nonaffiliated subject at location,Field Interview
56,Citizen Contact,Sixth College Building 709,9/16/2017,1709160050,9/16/2017,11:50 PM,Someone possibly living inside suite,Referred to Other Department
57,Noise Disturbance,South Mesa Apartments,9/16/2017,1709160051,9/16/2017,11:53 PM,Loud talking for past several hours,Student Conduct Referral
58,Stay Away Order,Stein Clincal Research Building,9/16/2017,2017-1412,9/16/2017,11:00 AM - 12:00 PM,Subject illegally lodging,Report Taken
59,Suicide Attempt,Mesa Nueva Building A,9/4/2017,1709040001,9/4/2017,1:18 AM,Reporting person concerned about subject who wanted to commit suicide,Checks OK
60,Citizen Contact,Cuzco Hall,9/4/2017,1709040004,9/4/2017,1:59 AM,Regarding a dog that a resident has,Information Only
61,Incomplete Phone Call/911 Hang Up,Guava,9/4/2017,1709040023,9/4/2017,1:23 PM,Abondoned call with nothing heard,Information Only
62,Ticket Sign Off,UCSD Police Department,9/4/2017,1709040024,9/4/2017,1:35 PM,,Service Provided
63,Security Alarm,Keck Som,9/4/2017,170904030,9/4/2017,3:25 PM,,False Alarm
64,Information,Oceanview Terrace,9/4/2017,1709040031,9/4/2017,3:28 PM,Sprinklers going on for excessive amount,Referred to Other Department
65,Suspicious Vehicle,Health Sciences Drive,9/4/2017,2017-1352,9/4/2017,3:53 PM,Vehicle parked in bicycle lane,Report Taken
66,Security Alarm,Keck Som,9/4/2017,1709040040,9/4/2017,4:43 PM,,False Alarm
67,Illegal Parking,Hopkins Parking Structure,9/4/2017,1709040041,9/4/2017,6:00 PM,Vehicle with expired registration,Citation Issued
68,Water Leak,J. Craig Venter Institute,9/4/2017,1709040050,9/4/2017,8:26 PM,Water pipe gushing out water,Referred to Other Department
69,Ticket Sign Off,Gilman Parking Structure,9/4/2017,1709040055,9/4/2017,8:50 PM,,Service Provided
70,Trespass,Hubbs Hall,9/4/2017,1709040056,9/4/2017,10:05 PM,Two subjects at location,Field Interview
71,Suspicious Vehicle,Horizon Way/La Jolla Shores Drive,9/4/2017,1709040065,9/4/2017,11:06 PM,,Checks OK
72,Citizen Flagdown,VA Hospital,9/4/2017,1709040068,9/4/2017,11:23 PM,,Service Provided
73,Security Alarm,Biomedical Library,9/13/2017,1709130006,9/13/2017,3:55 AM,,Checks OK
74,Bicyclist Stop,Voigt Drive/Gilman Drive,9/13/2017,1709130008,9/13/2017,4:49 AM,No bicycle lights,Verbal Warning Issued
75,Disturbance,Student Services Center,9/13/2017,1709130026,9/13/2017,12:52 PM,"Uncooperative parent, upset regarding tuition",Cancelled
76,Invasion of Privacy,Engineering Building Unit 1,9/13/2017,2017-1394,9/13/2017,1:08 PM,Subject possibly taking video aimed at female's private parts,Citation Issued
77,Citizen Flagdown,Muir College Drive/Muir Lane,9/13/2017,1709130032,9/13/2017,2:17 PM,Subject with broken leg requesting transportation,Service Provided
78,Security Alarm,Geisel Library,9/13/2017,1709130033,9/13/2017,2:33 PM,,Cancelled
79,Information,Rebecca and John Moores Cancer Center,9/13/2017,1709130034,9/13/2017,3:12 PM,Subject having a seizure,Referred to Other Agency
80,Citizen Flagdown,Guava,9/13/2017,1709130037,9/13/2017,3:55 PM,Alarm on vehicle going on and off all day,Checks OK
81,Citizen Contact,Jacobs Medical Center,9/13/2017,1709130043,9/13/2017,6:41 PM,Reporting party receiving harassing phone calls,Service Provided
82,Information,Marshall Apartments,9/13/2017,2017-1395,9/13/2017,7:30 PM - 10:45 PM,Subject in vehicle making harassing comments towards female students,Report Taken
83,Citizen Flagdown,Lot 704/Voigt Drive,9/13/2017,1709130049,9/13/2017,9:42 PM,Provided directions,Service Provided
84,Bicyclist Stop,Voigt Drive/Lot 702,9/13/2017,1709130051,9/13/2017,10:11 PM,Citizen assist,Service Provided
85,Security Alarm,Student Services Center,9/13/2017,1709130055,9/13/2017,10:38 PM,,Cancelled
86,Lost Property,Tuolumne Apartments,9/13/2017,1709130059,9/13/2017,11:43 PM,Bicycle found,Service Provided
87,Suspicious Vehicle,T29 Biological Grade,9/13/2017,1709130061,9/13/2017,11:55 PM,Unoccupied vehicle looks like transient might be living in it,Checks OK
88,Shoplifting,UCSD Bookstore,9/13/2017,SC #01159-2017,8/7/2017,4:27 PM,"Male student concealed and purposely failed to pay for electronic item, value <$99.99",Referred To Student Conduct
89,Shoplifting,UCSD Bookstore,9/13/2017,SC #01163-2017,8/22/2017,11:50 AM,"Two male students conspired together to conceal and purposely fail to pay for house hold item, value <$99.99",Referred To Student Conduct
90,Shoplifting,UCSD Bookstore,9/13/2017,SC #01165-2017,6/29/2017,5:10 PM,"Male student concealed and purposely failed to pay for several items of merchandise, value <$99.99",Referred To Student Conduct
92,Shoplifting,UCSd Bookstore / Sunshine Market,9/13/2017,SC #01183-2017,9/5/2017,10:26 AM,"Male student concealed and purposely failed to pay for several items of merchandise, value <$99.99",Referred To Student Conduct
94,Petty Theft,Powell-Focht Bioengineering Building,9/13/2017,2017-1396,9/13/2017,4:15 PM - 4:30 PM,"Apple watch taken, loss $300",Online Report
95,Disturbance - Party,The Village West Building 7,9/27/2017,1709270002,9/27/2017,12:04 AM,,Student Conduct Referral
96,Disturbance - Party,Cuzco Hall,9/27/2017,1709270004,9/27/2017,12:16 AM,Loud talking and stomping,Student Conduct Referral
97,Quiet Hours Contact,The Village West Building 1,9/27/2017,1709270005,9/27/2017,12:31 AM,,Service Provided
98,Bicyclist Stop,International Lane/Thurgood Marshall Lane,9/27/2017,1709270006,9/27/2017,12:35 AM,3 subjects on bicycles stopped,Service Provided
99,Information,Scholars Drive North,9/27/2017,1709270009,9/27/2017,12:52 AM,Two females sitting on windows of a vehicle,Information Only
100,Welfare Check,Scholars Drive North,9/27/2017,1709270011,9/27/2017,1:27 AM,Male vomiting on side of road,Service Provided
101,Citizen Contact,1 Miramar Building 1,9/27/2017,1709270012,9/27/2017,1:34 AM,Smoking contact,Student Conduct Referral
102,Disturbance - Party,Revelle Apartments,9/27/2017,1709270013,9/27/2017,1:35 AM,Loud talking,Student Conduct Referral
103,Detention,Kathmandu,9/27/2017,2017-1455,9/24/2017,1:42 AM,Original call for attempted suicide,Transported to Hospital
104,Citizen Contact,Frankfurter Hall,9/27/2017,1709270019,9/27/2017,2:03 AM,Subjects on the roof,Student Conduct Referral
105,Information,Pepper Canyon Hall,9/27/2017,1709270033,9/27/2017,8:17 AM,Odor of sewage/gas causing headaches,Referred to Other Department
106,Lost Property,Library Walk,9/27/2017,1709270034,9/27/2017,8:47 AM,"Stroller found with bag in it, owner later contacted",Information Only
107,Petty Theft,Campus Services Complex,9/27/2017,2017-1457,Unknown,Unknown,Stolen golf cart seat,Report Taken
108,Bicyclist Stop,Ridgewalk,9/27/2017,1709270038,9/27/2017,9:27 AM,Failure to stop,Cited
109,Collision No Injuries,Villa La Jolla Drive/La Jolla Village Drive,9/27/2017,2017-1458,9/27/2017,9:35 AM,UCSD shuttle bus v. privately owned vehicle,Report Taken
110,Information,Lemonade,9/27/2017,1709270041,9/27/2017,10:25 AM,Reporting party found student ID at location,Information Only
111,Information,Lot 410,9/27/2017,1709270043,9/27/2017,10:55 AM,"Original call for possible burglary to vehicle, backpack thought to be in vehicle was later located",Information Only
112,Sex Offender Registration,UCSD Police Department,9/27/2017,2017-1459,9/27/2017,11:00 AM,,Report Taken
113,Disturbance,Rimac,9/27/2017,1709270045,9/27/2017,11:16 AM,4 subjects driving golf cart recklessly,Information Only
114,Fire Alarm,Black Hall,9/27/2017,1709270047,9/27/2017,12:42 PM,,False Alarm
115,Welfare Check,Rita Atkinson Residences,9/27/2017,1709270051,9/27/2017,2:42 PM,Subject feels threatened and is afraid to go anywhere after wallet was stolen,Checks OK
116,Found Property,Pepper Canyon Hall,9/27/2017,2017-1462,9/27/2017,4:04 PM,Found Taser,Report Taken
117,Fire Alarm,Social Sciences Research Building,9/27/2017,1709270065,9/27/2017,5:56 PM,,False Alarm
118,Public Intoxication,Canyonview Pool,9/27/2017,2017-1463,9/27/2017,6:27 PM,Two subjects transported,Transported to Detox
119,Drunk in Public,Lot 018,9/27/2017,1709270073,9/27/2017,7:55 PM,Subject overly intoxicated,Field Interview
120,Noise Disturbance,Mesa Nueva Building A,9/27/2017,1709270077,9/27/2017,8:59 PM,Loud music and bass,Service Provided
121,Fire Alarm,Robert Paine Center,9/27/2017,1709270084,9/27/2017,9:47 PM,,False Alarm
122,Information,La Jolla Shores Drive,9/27/2017,1709270086,9/27/2017,10:04 PM,Large party bus dropping off multiple people,Information Only
123,Citizen Contact,Marshall Residential Hall,9/27/2017,1709270094,9/27/2017,10:38 PM,"Reporting party blackmailed by female in Philippines, no report wanted at this time",Service Provided
124,Suspicious Vehicle,South Mesa Apartments,9/27/2017,1709270096,9/27/2017,10:44 PM,Unoccupied vehicle with door open,Information Only
125,Stay Away Order,Stein Clinical Research Building,9/27/2017,2017-1456,9/27/2017,3:59 AM,Subject sleeping at location,Report Taken
126,Alcohol Contact,Black Hall,9/27/2017,SC #01203-2017,9/21/2017,8:14 PM,Underage female students dropped and broke glass container containing alcohol,Referred To Student Conduct
127,Clery Incident Report: Rape & Dating Violence,UCSD Residential Area,9/27/2017,SC #01206-2017,5/1/2017,12:00 PM,Reported to CSA on 9/8/2017,Referred To Student Conduct
128,Alcohol Contact,The Village East Building 1,9/27/2017,SC #01231-2017,9/25/2017,11:20 PM,"Apartment originally contacted for noise, Resident Advisors found alcohol where underage students were present",Referred To Student Conduct
129,Alcohol Contact,The Village West Building 2,9/24/2017,1709240005,9/24/2017,12:47 AM,,Student Conduct Referral
130,Lost Property,Kathmandu,9/24/2017,1709240006,9/24/2017,12:56 AM,Backpack with documents found at location,Service Provided
131,Smoking Contact,Scholars Drive North/North Point Drive,9/24/2017,1709240011,9/24/2017,1:37 AM,Three subjects smoking,Student conduct Referral
132,Animal Call,Lot 402,9/24/2017,1709240014,9/24/2017,3:10 AM,Dead rabbit at location,Referred to Other Department
133,Tow Request,VA Hospital,9/24/2017,2017-1438,9/24/2017,10:13 AM,Vehicle appeared abandoned,Report Taken
134,Tow Request,VA Hospital,9/24/2017,2017-1439,9/24/2017,10:41 AM,Vehicle appeared abandoned,Report Taken
135,Citizen Flagdown,Engineer Lane/Voigt Drive,9/24/2017,1709240027,9/24/2017,11:23 AM,Special events parking concerned over illegal parking at location,Information Only
136,Security Alarm,Warren Lecture Hall,9/24/2017,1709240040,9/24/2017,4:37 PM,,False Alarm
137,Grand Theft,Central Mesa Apartments,9/24/2017,2017-1440,9/24/2017,2:00 PM - 5:30 PM,"Suspect took hard top to victim's Jeep, loss $1500",Report Taken
138,Noise Disturbance,Revelle Apartments,9/24/2017,1709240048,9/24/2017,7:11 PM,Loud music playing in area,Referred to Other Agency
139,Lost Property,Athena Parking Structure,9/24/2017,1709240050,9/24/2017,7:27 PM,Tarp with belongings possibly belonging to transient,Unable to Locate
140,Noise Disturbance,Revelle Apartments,9/24/2017,1709240052,9/24/2017,7:39 PM,Loud music,Will Cooperate
141,Public Overintoxication,The Village West Building 1,9/24/2017,2017-1441,9/24/2017,7:39 PM,,Transported to Hospital
142,Citizen Contact,Marshall Residential Halls,9/24/2017,1709240062,9/24/2017,9:24 PM,Subject with a lit candle,Student Conduct Referral
143,Illegal Parking,Lot 202,9/24/2017,1709240069,9/24/2017,9:42 PM,,Verbal Warning Issued
144,Smoking Contact,Geneva Hall,9/24/2017,1709240070,9/24/2017,9:43 PM,,Student Conduct Referral
145,Public Intoxication,Warren Mall,9/24/2017,2017-1443,9/24/2017,10:10 PM,,Report Taken
146,Noise Disturbance,Mesa Nueva Building C,9/24/2017,1709240074,9/24/2017,10:17 PM,Loud music and talking for over an hour,Quiet On Arrival
147,Noise Disturbance,La Jolla Del Sol Apartments,9/24/2017,1709240074,9/24/2017,10:17 PM,Amplied music at location,Gone On Arrival
148,Security Alarm,Warren Lecture Hall,9/24/2017,1709240085,9/24/2017,11:07 PM,,False Alarm
149,Possession of Marijuana,Marshall Apartments East,9/24/2017,1709240086,9/24/2017,11:11 PM,,Student Conduct Referral
150,Noise Disturbance,Mesa Nueva Building C,9/24/2017,1709240088,9/24/2017,11:23 PM,Loud talking for over an hour,Will Cooperate
151,Possession of Marijuana,Marshall Apartments West,9/24/2017,1709240091,9/24/2017,11:43 PM,,Student Conduct Referral
152,Possession of Marijuana,Marshall Apartments West,9/24/2017,1709240093,9/24/2017,11:58 PM,,Student Conduct Referral
153,Found Property,UCSD Police Department,9/24/2017,2017-1442,9/24/2017,10:40 PM,Found wallet,Report Taken
154,Suspicious Vehicle,Glider Port,9/9/2017,1709090001,9/9/2017,12:13 AM,Unoccupied vehicle at location,Checks OK
155,Suspicious Vehicle,Glider Port,9/9/2017,1709090003,9/9/2017,12:25 AM,Subject in vehicle at location,Checks OK
156,Assist Other Agency,Mission Bay Drive/Garnet Avenue,9/9/2017,1709090006,9/9/2017,1:49 AM,Covering SDPD on vehicle stop,Checks OK
157,Assist Other Agency,La Jolla Colony/Charmant Drive,9/9/2017,1709090013,9/9/2017,2:56 AM,With SDPD on possible DUI,Referred to Other Agency
158,Citizen Contact,The Village East Building 1,9/9/2017,1709090014,9/9/2017,2:57 AM,Illegal parking,Verbal Warning Issued
159,Security Alarm,Biomedical Library,9/9/2017,1709090018,9/9/2017,5:08 AM,,False Alarm
160,Bench Warrant Arrest,Gilman Parking Structure,9/9/2017,2017-1376,9/9/2017,5:47 AM,Original call was two possible bike casers,Closed by Adult Arrest
161,Welfare Check,Beagle Hall,9/9/2017,1709090023,9/9/2017,7:41 AM,"Reporting party requesting check on his daughter, he received a text last night regarding a male knocking at his daughter's door",Cancelled
162,Ticket Sign Off,UCSD Police Department,9/9/2017,1709090026,9/9/2017,9:21 AM,,Service Provided
163,Citizen Flagdown,Lot 701,9/9/2017,1709090033,9/9/2017,10:56 AM,Providing directions,Service Provided
164,Ticket Sign Off,UCSD Police Department,9/9/2017,1709090039,9/9/2017,12:06 PM,,Service Provided
165,Security Alarm,Student Business Services,9/9/2017,1709090044,9/9/2017,1:01 PM,,False Alarm
166,Non Injury Accident,VA Hospital,9/9/2017,1709090054,9/9/2017,2:43 PM,Information exchange between two vehicles,Information Only
167,Bicyclist Stop,Muir College Drive/Lot 303,9/9/2017,1709090055,9/9/2017,2:50 PM,Stop required,Verbal Warning Issued
168,Unknown Injury Accident,Allen Field,9/9/2017,1709090056,9/9/2017,2:56 PM,Vehicle v. vehicle,Referred to Other Agency
169,Information,La Jolla Village Drive/Torrey Pines Road,9/9/2017,1709090063,9/9/2017,5:18 PM,Vehicle swerving in traffic,Unable to Locate
170,Welfare Check,1 Miramar Building 3,9/9/2017,2017-1378,9/9/2017,5:35 PM,Friend has been sounding depressed lately,Transported to Hospital
171,Disturbance,Scholander Hall,9/9/2017,1709090071,9/9/2017,8:33 PM,Subject yelling leave me alone at another subject,Field Interview
172,Lost Property,Geneva Hall,9/9/2017,1709090082,9/9/2017,9:48 PM,Found student ID,Service Provided
173,Medical Aid,Mesa Nueva Building C,9/9/2017,1709090093,9/9/2017,10:32 PM,Female with possible stroke,Referred to Other Agency
174,Disturbance - Argument,La Jolla Shores Drive/Horizon Way,9/15/2017,1709150001,9/15/2017,12:19 AM,Subject yelling and swearing across the street,Verbal Warning Issued
175,Security Alarm,Offices of Graduate Studies,9/15/2017,1709150006,9/15/2017,5:09 AM,,False Alarm
176,Non Injury Accident,Gilman Drive,9/15/2017,2017-1405,9/15/2017,9:51 AM,UCSD vehicle v. vehicle,Report Taken
177,Non Injury Accident,Medical Center Drive North,9/15/2017,2017-1406,9/15/2017,10:11 AM,UCSD vehicle v. vehicle,Report Taken
178,Medical Aid,Rebecca and John Moores Cancer Center,9/15/2017,1709150018,9/15/2017,11:02 AM,Subject with low blood pressure,Referred to Other Agency
179,Illegal Camping,Stein Clinical Research Building,9/15/2017,1709150019,9/15/2017,11:08 AM,Possible transient camp,Checks OK
180,Medical Aid,Price Center,9/15/2017,1709150020,9/15/2017,11:16 AM,Subject seizing,Transported to Hospital
181,Acquiring Personal Information with Intent to Defraud,Humanities and Social Sciences,9/15/2017,2017-1407,9/15/2017,1:51 PM,"Original call for identity theft, subject provided personal information to fraudulent site",Report Taken
182,Fire Alarm,North Mesa Apartments,9/15/2017,1709150023,9/15/2017,2:02 PM,,False Alarm
183,Petty Theft,Torrey Pines Center North,9/15/2017,2017-1408,8/17/2017 - 9/15/2017,Unknown,"Property removed from office without permission, loss $180",Report Taken
184,Citizen Contact,Lot 502,9/15/2017,1709150026,9/15/2017,3:54 PM,"Parking enforcement, assist with information exchange",Information Only
185,Disturbance,Lot 503,9/15/2017,1709150029,9/15/2017,4:23 PM,Possible Uber driver parked in reserved space,Information Only
186,Disturbance,VA Hospital,9/15/2017,1709150035,9/15/2017,6:16 PM,Subject inside hospital yelling in the hallways,Will Cooperate
187,Lost Property,"Bakersfield, California",9/15/2017,1709150036,9/15/2017,7:13 PM,"Student wallet found at location, reporting party providing contact information",Information Only
188,Citizen Contact,Earl's Place,9/15/2017,1709150055,9/15/2017,11:28 PM,Bollard removed by driver,Checks OK
189,Bicyclist Stop,Voigt Drive,9/15/2017,1709150059,9/15/2017,11:53 PM,Stop required,Verbal Warning Issued
190,Disorderly Conduct - Illegal Lodging,VA Hospital,9/15/2017,2017-1409,9/15/2017,8:29 PM,,Report Taken
191,Illegal Camping,T31 Biological Grade,9/3/2017,1709030003,9/3/2017,12:21 AM,Subject sleeping at location,Field Interview
192,Citizen Contact,Lot 206,9/3/2017,1709030005,9/3/2017,12:44 AM,,Information Only
193,Noise Disturbance,Asante Hall,9/3/2017,1709030007,9/3/2017,2:06 AM,Loud talking for several hours,Student Conduct Referral
194,Vandalism,Matthew Apartments,9/3/2017,2017-1350,9/3/2017,8:56 AM,Graffiti written on walls of various rooms within apartment,Report Taken
195,Information,W Arbor Drive,9/3/2017,1709030011,9/3/2017,10:21 AM,Large water leak outside central plant,Referred to Other Department
196,Fraud,UCSD Network,9/3/2017,2017-1351,9/15/2016 - 9/3/2017,12:00 PM - 12:00 PM,Subject had homework stolen from laptop from computer hacking,Report Taken
197,Fraud,UCSD Network,9/3/2017,1709030028,9/3/2017,5:04 PM,"Someone hacked onto subject's personal accounts and blocked subject from accessing them, no report desired and will wait to speak with detectives",Information Only
198,Incomplete Phone Call/911 Hang up,Miramar Street,9/3/2017,1709030031,9/3/2017,7:33 PM,Open line,Cancelled
199,Security Alarm,Keck Som,9/3/2017,1709030032,9/3/2017,8:16 PM,,False Alarm
200,Fire Alarm,Revelle Apartments,9/3/2017,1709030034,9/3/2017,8:50 PM,,False Alarm
201,Medical Aid,Villa La Jolla Drive/VA Hospital,9/3/2017,1709030037,9/3/2017,9:16 PM,Male with chest pains and nausea,Transported to Hospital
202,Citizen Contact,Voigt Drive/Gilman Drive,9/3/2017,1709030041,9/3/2017,10:02 PM,,Information Only
203,Citizen Flagdown,Cafe Ventanas,9/3/2017,1709030042,9/3/2017,10:33 PM,,Service Provided
204,Bicyclist Stop,Voigt Drive/Gilman Drive,9/3/2017,1709030044,9/3/2017,10:58 PM,Stop required,Verbal Warning Issued
205,Illegal Camping,Nierenberg Hall,9/3/2017,1709030045,9/3/2017,11:12 PM,Transient sleeping on ground,Field Interview
206,Vehicle Disturbance,Tamarack Apartments,9/23/2017,1709230003,9/23/2017,12:28 AM,Vehicle playing loud music,Gone On Arrival
207,Possession of Marijuana,Coast Apartments,9/23/2017,1709230004,9/23/2017,1:18 AM,Subject smoking marijuana at location,Will Cooperate
208,Noise Disturbance,Central Mesa Apartments,9/23/2017,1709230006,9/23/2017,1:37 AM,Male screaming for last half an hour,Quiet On Arrival
209,Possession of Marijuana,North Mesa Apartments,9/23/2017,1709230010,9/23/2017,2:17 AM,Subjects at bench escorted off campus,Verbal Warning Issued
210,Welfare Check,Mesa Nueva Building B,9/23/2017,1709230010,9/23/2017,3:35 AM,Subject sleeping at location,Field Interview
211,Disturbance,North Mesa Apartments,9/23/2017,1709230012,9/23/2017,4:41 AM,Male throwing rocks at building from vehicle,Checks OK
212,Bicycle Theft,Oceanview Terrace,9/23/2017,2017-1435,9/22/2017 - 9/23/2017,6:00 PM - 7:50 AM,Loss $850,Report Taken
